,0
PCYB_031720,lethal
PCYB_123980,nonlethal
PCYB_146570,nonlethal
PCYB_073050,nonlethal
PCYB_113170,nonlethal
PCYB_052660,nonlethal
PCYB_042570,nonlethal
PCYB_051270,nonlethal
PCYB_092260,nonlethal
PCYB_143210,nonlethal
PCYB_126420,nonlethal
PCYB_062100,nonlethal
PCYB_124540,nonlethal
PCYB_063040,nonlethal
PCYB_093610,lethal
PCYB_071880,nonlethal
PCYB_113330,nonlethal
PCYB_041870,nonlethal
PCYB_122150,nonlethal
PCYB_135260,nonlethal
PCYB_132840,nonlethal
PCYB_053460,nonlethal
PCYB_113020,nonlethal
PCYB_091780,nonlethal
PCYB_062380,nonlethal
PCYB_125670,nonlethal
PCYB_073000,nonlethal
PCYB_121650,lethal
PCYB_084340,nonlethal
PCYB_021350,nonlethal
PCYB_081850,nonlethal
PCYB_052490,nonlethal
PCYB_052870,lethal
PCYB_062740,nonlethal
PCYB_135190,nonlethal
PCYB_012440,nonlethal
PCYB_042360,nonlethal
PCYB_112580,nonlethal
PCYB_127080,lethal
PCYB_102090,lethal
PCYB_144950,nonlethal
PCYB_051730,nonlethal
PCYB_052600,nonlethal
PCYB_145780,nonlethal
PCYB_142990,nonlethal
PCYB_052050,nonlethal
PCYB_142210,nonlethal
PCYB_145180,nonlethal
PCYB_147050,lethal
PCYB_131700,nonlethal
PCYB_102620,nonlethal
PCYB_042030,nonlethal
PCYB_093850,nonlethal
PCYB_112850,nonlethal
PCYB_145700,nonlethal
PCYB_111600,nonlethal
PCYB_127460,nonlethal
PCYB_146630,lethal
PCYB_123310,nonlethal
PCYB_111690,nonlethal
PCYB_022410,nonlethal
PCYB_132210,nonlethal
PCYB_102120,nonlethal
PCYB_071440,nonlethal
PCYB_084000,nonlethal
PCYB_121890,lethal
PCYB_142080,nonlethal
PCYB_141950,nonlethal
PCYB_011330,nonlethal
PCYB_081510,nonlethal
PCYB_146140,nonlethal
PCYB_143250,nonlethal
PCYB_011100,nonlethal
PCYB_041320,nonlethal
PCYB_095290,nonlethal
PCYB_021790,nonlethal
PCYB_102260,nonlethal
PCYB_012040,nonlethal
PCYB_123960,nonlethal
PCYB_122170,nonlethal
PCYB_141610,nonlethal
PCYB_094560,nonlethal
PCYB_031390,nonlethal
PCYB_125030,nonlethal
PCYB_074180,nonlethal
PCYB_142140,nonlethal
PCYB_112590,nonlethal
PCYB_081410,nonlethal
PCYB_063100,nonlethal
PCYB_021580,nonlethal
PCYB_111180,nonlethal
PCYB_021770,nonlethal
PCYB_132060,nonlethal
PCYB_115290,nonlethal
PCYB_141770,lethal
PCYB_142500,lethal
PCYB_103980,lethal
PCYB_134680,lethal
PCYB_112970,lethal
PCYB_142590,lethal
PCYB_135450,nonlethal
PCYB_113480,lethal
PCYB_124380,nonlethal
PCYB_133100,nonlethal
PCYB_092640,nonlethal
PCYB_094790,lethal
PCYB_061680,nonlethal
PCYB_114730,nonlethal
PCYB_134650,lethal
PCYB_133540,nonlethal
PCYB_127610,nonlethal
AB444126.1,nonlethal
AB444123.1,nonlethal
PCYB_127810,nonlethal
PCYB_073540,nonlethal
PCYB_082010,nonlethal
PCYB_111890,nonlethal
PCYB_132780,nonlethal
PCYB_073560,nonlethal
PCYB_101860,nonlethal
PCYB_127570,nonlethal
PCYB_133170,nonlethal
PCYB_082210,nonlethal
PCYB_125240,nonlethal
PCYB_074100,nonlethal
PCYB_021300,lethal
PCYB_073400,nonlethal
PCYB_041970,nonlethal
PCYB_121430,nonlethal
PCYB_103050,nonlethal
PCYB_145790,nonlethal
PCYB_111300,nonlethal
PCYB_082750,lethal
PCYB_073630,nonlethal
PCYB_147570,lethal
PCYB_093880,nonlethal
PCYB_053150,lethal
PCYB_123800,lethal
PCYB_115310,lethal
PCYB_124210,lethal
PCYB_132670,lethal
PCYB_143740,nonlethal
PCYB_093470,lethal
PCYB_021940,lethal
PCYB_072420,nonlethal
PCYB_032810,nonlethal
PCYB_022220,nonlethal
PCYB_141260,nonlethal
PCYB_094710,lethal
PCYB_021440,nonlethal
PCYB_127140,nonlethal
PCYB_061590,nonlethal
PCYB_093320,nonlethal
PCYB_124770,lethal
PCYB_122560,lethal
PCYB_114200,nonlethal
PCYB_133320,nonlethal
PCYB_061150,nonlethal
PCYB_082570,nonlethal
PCYB_093060,nonlethal
PCYB_101650,nonlethal
PCYB_127620,nonlethal
PCYB_115050,nonlethal
