,genes,gene_assoc_w_other_rxns?
3HAD100_1,frozenset({<Gene PBANKA_1338200.1-p1 at 0x7f77b3625940>}),no
3HAD120_1,frozenset({<Gene PBANKA_1338200.1-p1 at 0x7f77b3625940>}),no
3HAD80_1,frozenset({<Gene PBANKA_1338200.1-p1 at 0x7f77b3625940>}),no
3OAS100_1,frozenset({<Gene PBANKA_0308200.1-p1 at 0x7f77b3625a58>}),no
3OAS120_1,frozenset({<Gene PBANKA_0308200.1-p1 at 0x7f77b3625a58>}),no
3OAS140_1,frozenset({<Gene PBANKA_0308200.1-p1 at 0x7f77b3625a58>}),no
3OAS160_1,frozenset({<Gene PBANKA_0308200.1-p1 at 0x7f77b3625a58>}),no
3OAS60_1,frozenset({<Gene PBANKA_0308200.1-p1 at 0x7f77b3625a58>}),no
3OAS80_1,frozenset({<Gene PBANKA_0308200.1-p1 at 0x7f77b3625a58>}),no
AATC,frozenset({<Gene PBANKA_0302300.1-p1 at 0x7f77b3625c88>}),no
AATG,frozenset({<Gene PBANKA_0302300.1-p1 at 0x7f77b3625c88>}),no
ABFPTh,frozenset({<Gene PBANKA_1122900.1-p1 at 0x7f77b3637a90>}),no
ACCOAth,frozenset({<Gene PBANKA_0519800.1-p1 at 0x7f77b36375c0>}),no
ACCOAtx,frozenset({<Gene PBANKA_0519800.1-p1 at 0x7f77b36375c0>}),no
ACOA100OR,frozenset({<Gene PBANKA_1319600.1-p1 at 0x7f77b3637860>}),no
ACOA120OR,frozenset({<Gene PBANKA_1319600.1-p1 at 0x7f77b3637860>}),no
ACOA140OR,frozenset({<Gene PBANKA_1319600.1-p1 at 0x7f77b3637860>}),no
ACOA160OR,frozenset({<Gene PBANKA_1319600.1-p1 at 0x7f77b3637860>}),no
ACOA40OR,frozenset({<Gene PBANKA_1319600.1-p1 at 0x7f77b3637860>}),no
ACOA60OR,frozenset({<Gene PBANKA_1319600.1-p1 at 0x7f77b3637860>}),no
ACOA80OR,frozenset({<Gene PBANKA_1319600.1-p1 at 0x7f77b3637860>}),no
ACOATA_1,frozenset({<Gene PBANKA_0308200.1-p1 at 0x7f77b3625a58>}),no
ACP1619ZD9DS,frozenset({<Gene PBANKA_1416600.1-p1 at 0x7f77b36377f0>}),no
ACP1819ZD9DS,frozenset({<Gene PBANKA_1416600.1-p1 at 0x7f77b36377f0>}),no
ACPh,frozenset({<Gene PBANKA_0936100.1-p1 at 0x7f77b36465f8>}),no
ACSp,frozenset({<Gene PBANKA_1126500.1-p1 at 0x7f77b36259b0>}),no
ADECn,frozenset({<Gene PBANKA_1227600.1-p1 at 0x7f77b3637cf8>}),no
ADSSh,frozenset({<Gene PBANKA_1131100.1-p1 at 0x7f77b36468d0>}),no
AGPAT1601819Zh,frozenset({<Gene PBANKA_1308200.1-p1 at 0x7f77b3625b70>}),no
AGPAT160h,frozenset({<Gene PBANKA_1308200.1-p1 at 0x7f77b3625b70>}),no
AGPAT1801819Zh,frozenset({<Gene PBANKA_1308200.1-p1 at 0x7f77b3625b70>}),no
AGPAT18111Z160h,frozenset({<Gene PBANKA_1308200.1-p1 at 0x7f77b3625b70>}),no
AGPAT18111Z1819Zh,frozenset({<Gene PBANKA_1308200.1-p1 at 0x7f77b3625b70>}),no
AGPAT1819Z160h,frozenset({<Gene PBANKA_1308200.1-p1 at 0x7f77b3625b70>}),no
AGPAT1819Z1619Zh,frozenset({<Gene PBANKA_1308200.1-p1 at 0x7f77b3625b70>}),no
AGPAT1819Z18111Zh,frozenset({<Gene PBANKA_1308200.1-p1 at 0x7f77b3625b70>}),no
AGPAT1819Z1819Zh,frozenset({<Gene PBANKA_1308200.1-p1 at 0x7f77b3625b70>}),no
AHAL,frozenset({<Gene PBANKA_1320900.1-p1 at 0x7f77b36306d8>}),no
ALLabcpp,frozenset({<Gene PBANKA_1218800.1-p1 at 0x7f77b363e860>}),no
AM6PTh,frozenset({<Gene PBANKA_1122900.1-p1 at 0x7f77b3637a90>}),no
AMITKPn,frozenset({<Gene PBANKA_1414600.1-p1 at 0x7f77b3630f28>}),no
APNn,"frozenset({<Gene PBANKA_1419800.1-p1 at 0x7f77b3646a20>, <Gene PBANKA_1419900.1-p1 at 0x7f77b36469e8>})",yes
APhi,frozenset({<Gene PBANKA_0936100.1-p1 at 0x7f77b36465f8>}),no
ASO4rt2rpp,frozenset({<Gene PBANKA_1354300.1-p1 at 0x7f77b3646128>}),no
ASPATh,frozenset({<Gene PBANKA_0302300.1-p1 at 0x7f77b3625c88>}),no
ASPCTn,frozenset({<Gene PBANKA_1406700.1-p1 at 0x7f77b3625dd8>}),no
ATAMh,"frozenset({<Gene PBANKA_0202300.1-p1 at 0x7f77b3637c88>, <Gene PBANKA_0202800.1-p1 at 0x7f77b3637cc0>, <Gene PBANKA_0717600.1-p1 at 0x7f77b3625be0>})",yes
ATDAMh,"frozenset({<Gene PBANKA_0202300.1-p1 at 0x7f77b3637c88>, <Gene PBANKA_0202800.1-p1 at 0x7f77b3637cc0>, <Gene PBANKA_0717600.1-p1 at 0x7f77b3625be0>})",yes
ATPS10rpp,"frozenset({<Gene PBANKA_0313800.1-p1 at 0x7f77b3629198>, <Gene PBANKA_1450300.1-p1 at 0x7f77b36291d0>, <Gene PBANKA_1409800.1-p1 at 0x7f77b3629160>})",yes
ATPS3g,"frozenset({<Gene PBANKA_1234000.1-p1 at 0x7f77b35d4400>, <Gene PBANKA_1355000.1-p1 at 0x7f77b35d4438>, <Gene PBANKA_1131000.1-p1 at 0x7f77b35d4470>, <Gene PBANKA_1410400.1-p1 at 0x7f77b35d44e0>, <Gene PBANKA_1003800.1-p1 at 0x7f77b35d4518>, <Gene PBANKA_1328100.1-p1 at 0x7f77b35d4320>, <Gene PBANKA_1405100.1-p1 at 0x7f77b35d4358>, <Gene PBANKA_1223800.1-p1 at 0x7f77b35d4550>, <Gene PBANKA_0908900.1-p1 at 0x7f77b35d4390>, <Gene PBANKA_0835300.1-p1 at 0x7f77b35d43c8>})",yes
ATPS3v,"frozenset({<Gene PBANKA_1234000.1-p1 at 0x7f77b35d4400>, <Gene PBANKA_1355000.1-p1 at 0x7f77b35d4438>, <Gene PBANKA_1131000.1-p1 at 0x7f77b35d4470>, <Gene PBANKA_1410400.1-p1 at 0x7f77b35d44e0>, <Gene PBANKA_1003800.1-p1 at 0x7f77b35d4518>, <Gene PBANKA_1328100.1-p1 at 0x7f77b35d4320>, <Gene PBANKA_1405100.1-p1 at 0x7f77b35d4358>, <Gene PBANKA_1223800.1-p1 at 0x7f77b35d4550>, <Gene PBANKA_0908900.1-p1 at 0x7f77b35d4390>, <Gene PBANKA_0835300.1-p1 at 0x7f77b35d43c8>})",yes
ATPS4rpp,"frozenset({<Gene PBANKA_0313800.1-p1 at 0x7f77b3629198>, <Gene PBANKA_1450300.1-p1 at 0x7f77b36291d0>, <Gene PBANKA_1409800.1-p1 at 0x7f77b3629160>})",yes
ATPS4rpp_1,"frozenset({<Gene PBANKA_0313800.1-p1 at 0x7f77b3629198>, <Gene PBANKA_1450300.1-p1 at 0x7f77b36291d0>, <Gene PBANKA_1409800.1-p1 at 0x7f77b3629160>})",yes
ATPSu,"frozenset({<Gene PBANKA_0313800.1-p1 at 0x7f77b3629198>, <Gene PBANKA_1450300.1-p1 at 0x7f77b36291d0>, <Gene PBANKA_1409800.1-p1 at 0x7f77b3629160>})",yes
BATHORHODOPSINI,frozenset({<Gene PBANKA_0910300.1-p1 at 0x7f77b3637c50>}),no
BCAROKT,frozenset({<Gene PBANKA_1416600.1-p1 at 0x7f77b36377f0>}),no
BTP,frozenset({<Gene PBANKA_0713300.1-p1 at 0x7f77b35d47f0>}),no
BUTSO3abcpp,frozenset({<Gene PBANKA_1010800.1-p1 at 0x7f77b3625d68>}),no
CA2abcpp,frozenset({<Gene PBANKA_0610400.1-p1 at 0x7f77b36465c0>}),no
CA2t3pp,frozenset({<Gene PBANKA_0102300.1-p1 at 0x7f77b3625da0>}),no
CBFC,frozenset({<Gene PBANKA_1303300.1-p1 at 0x7f77b36373c8>}),no
CBPSn,frozenset({<Gene PBANKA_1406700.1-p1 at 0x7f77b3625dd8>}),no
CDPDAGS18111Z160h,frozenset({<Gene PBANKA_1032600.1-p1 at 0x7f77b3625e48>}),no
CDPDAGS1819Z160h,frozenset({<Gene PBANKA_1032600.1-p1 at 0x7f77b3625e48>}),no
CEF,frozenset({<Gene PBANKA_1416600.1-p1 at 0x7f77b36377f0>}),no
CHITOBpts,frozenset({<Gene PBANKA_1332200.1-p1 at 0x7f77b35cde80>}),no
CHLDA1tu,frozenset({<Gene PBANKA_1443800.1-p1 at 0x7f77b3629860>}),no
CHLDA2tu,frozenset({<Gene PBANKA_1443800.1-p1 at 0x7f77b3629860>}),no
CHLabcpp,frozenset({<Gene PBANKA_1144100.1-p1 at 0x7f77b3630320>}),no
CHRS,frozenset({<Gene PBANKA_1121900.1-p1 at 0x7f77b3637b70>}),no
CHYA2,frozenset({<Gene PBANKA_1332800.1-p1 at 0x7f77b3630c88>}),no
CMK,frozenset({<Gene PBANKA_1102800.1-p1 at 0x7f77b36466d8>}),no
COLIPAabcpp,"frozenset({<Gene PBANKA_0608300.1-p1 at 0x7f77b3629e10>, <Gene PBANKA_1364800.1-p1 at 0x7f77b3629f28>, <Gene PBANKA_1311700.1-p1 at 0x7f77b3629fd0>, <Gene PBANKA_1353300.1-p1 at 0x7f77b3629e48>, <Gene PBANKA_1237800.1-p1 at 0x7f77b3629dd8>})",yes
CPPPGO_1,frozenset({<Gene PBANKA_0906600.1-p1 at 0x7f77b3646898>}),no
CRETINOLPMTACT,frozenset({<Gene PBANKA_1216200.1-p1 at 0x7f77b36378d0>}),no
CSp,frozenset({<Gene PBANKA_0506700.1-p1 at 0x7f77b3630eb8>}),no
CU1abcpp,frozenset({<Gene PBANKA_0416500.1-p1 at 0x7f77b363e588>}),no
CYO1_KT,"frozenset({<Gene PBANKA_MIT01900.1-p1 at 0x7f77b3637390>, <Gene PBANKA_1303300.1-p1 at 0x7f77b36373c8>})",yes
