,genes,gene_assoc_w_other_rxns?
3HAD100_1,frozenset({<Gene PfDd2_130028900-t41_1-p1 at 0x2b5575e115f8>}),no
3HAD120_1,frozenset({<Gene PfDd2_130028900-t41_1-p1 at 0x2b5575e115f8>}),no
3HAD80_1,frozenset({<Gene PfDd2_130028900-t41_1-p1 at 0x2b5575e115f8>}),no
3OAS100_1,frozenset({<Gene PfDd2_020014000-t41_1-p1 at 0x2b5575e11940>}),no
3OAS120_1,frozenset({<Gene PfDd2_020014000-t41_1-p1 at 0x2b5575e11940>}),no
3OAS140_1,frozenset({<Gene PfDd2_020014000-t41_1-p1 at 0x2b5575e11940>}),no
3OAS160_1,frozenset({<Gene PfDd2_020014000-t41_1-p1 at 0x2b5575e11940>}),no
3OAS60_1,frozenset({<Gene PfDd2_020014000-t41_1-p1 at 0x2b5575e11940>}),no
3OAS80_1,frozenset({<Gene PfDd2_020014000-t41_1-p1 at 0x2b5575e11940>}),no
AACP1819ZS,frozenset({<Gene PfDd2_020017700-t41_1-p1 at 0x2b5575e3e7f0>}),no
AACPS1_1,frozenset({<Gene PfDd2_020017700-t41_1-p1 at 0x2b5575e3e7f0>}),no
AACPS3_1,frozenset({<Gene PfDd2_020017700-t41_1-p1 at 0x2b5575e3e7f0>}),no
AACPS4_1,frozenset({<Gene PfDd2_020017700-t41_1-p1 at 0x2b5575e3e7f0>}),no
AACPS5_1,frozenset({<Gene PfDd2_020017700-t41_1-p1 at 0x2b5575e3e7f0>}),no
AACPS6_1,frozenset({<Gene PfDd2_020017700-t41_1-p1 at 0x2b5575e3e7f0>}),no
ABFPTh,frozenset({<Gene PfDd2_060028700-t41_1-p1 at 0x2b5575e3e978>}),no
ACCOAth,frozenset({<Gene PfDd2_100041800-t41_1-p1 at 0x2b5575e3e518>}),no
ACCOAtx,frozenset({<Gene PfDd2_100041800-t41_1-p1 at 0x2b5575e3e518>}),no
ACOA100OR,frozenset({<Gene PfDd2_140060300-t41_1-p1 at 0x2b5575e3e828>}),no
