,TgondiiGT1,TgondiiME49,Pfalciparum3D7_generic_biomass,Pfalciparum3D7_species_biomass,PbergheiANKA_generic_biomass,PbergheiANKA_species_biomass,PcynomolgiB_generic_biomass,PcynomolgiB_species_biomass,PvivaxSal1_generic_biomass,PvivaxSal1_species_biomass,ChominisTU502_2012,CparvumIowaII,PknowlesiH_generic_biomass,PknowlesiH_species_biomass,Pfalciparum3D7_without_ortho_generic_biomass,Pfalciparum3D7_without_ortho_species_biomass,PbergheiANKA_without_ortho_generic_biomass,PbergheiANKA_without_ortho_species_biomass,PcynomolgiB_without_ortho_generic_biomass,PcynomolgiB_without_ortho_species_biomass,PvivaxSal1_without_ortho_generic_biomass,PvivaxSal1_without_ortho_species_biomass,PknowlesiH_without_ortho_generic_biomass,PknowlesiH_without_ortho_species_biomass,pfal2018,pviv2018,pber2018,pkno2018,pcyn2018,ipfa2017,tg2015,iPfal19
OAAICITtm,0.9999999999998568,0.9999999999999986,1.0,1.0,0.9999999999999999,0.9999999999999999,0.9999999999999994,0.9999999999999994,1.0,1.0,0.9999999999999956,0.999999999999942,1.0000000000000002,1.0000000000000002,0.9999999999999899,0.9999999999999899,1.0000000000019271,1.0000000000019271,1.0,1.0,0.9999999999999668,0.9999999999999668,0.999999999999998,0.999999999999998,NA,NA,NA,NA,NA,NA,NA,NA
EXC_BOTH_C17568,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,NA
14GLUCANabcppc,0.9999999999998574,0.9999999999999983,NA,NA,NA,NA,0.9999999999999999,0.9999999999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9999999999999866,0.9999999999999866,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
OCDCEAtr,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9827938269015225,0.9827938269029696,0.9827938750514505,0.9827938269015234,0.9827938269013906,NA,NA,NA
NAMNPP,0.9999999999998569,1.0000000000000002,1.000000000000002,1.000000000000002,0.9999999999999989,0.9999999999999989,0.999999999999999,0.999999999999999,1.0000000000000002,1.0000000000000002,NA,NA,0.9999999999999991,0.9999999999999991,0.9999999999999901,0.9999999999999901,1.0000000000024145,1.0000000000024145,0.999999999999995,0.999999999999995,0.9999999999999498,0.9999999999999498,0.999999999999995,0.999999999999995,-5.46256728911582e-12,0.0,0.0,1.9387598478714213e-11,1.194740810284737e-11,NA,NA,4.556860933607789e-13
EXC_BOTH_C06409,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,NA
PTD1INOt,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.1411404669295583e-14,-2.1411404669295583e-14,-5.609093584348709e-13,-5.609093584348709e-13,1.445319741615003e-15,1.445319741615003e-15,0.0,0.0,0.0,0.0,NA,NA,NA,NA,NA,NA,NA,0.999999999999965
SO4OXAtex2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9999999999999626
EPMGH,0.9999999999998569,0.9999999999999852,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R08306_TGME49_311780,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,NA
