,TgondiiGT1,TgondiiME49,Pfalciparum3D7_generic_biomass,Pfalciparum3D7_species_biomass,PbergheiANKA_generic_biomass,PbergheiANKA_species_biomass,PcynomolgiB_generic_biomass,PcynomolgiB_species_biomass,PvivaxSal1_generic_biomass,PvivaxSal1_species_biomass,ChominisTU502_2012,CparvumIowaII,PknowlesiH_generic_biomass,PknowlesiH_species_biomass,Pfalciparum3D7_without_ortho_generic_biomass,Pfalciparum3D7_without_ortho_species_biomass,PbergheiANKA_without_ortho_generic_biomass,PbergheiANKA_without_ortho_species_biomass,PcynomolgiB_without_ortho_generic_biomass,PcynomolgiB_without_ortho_species_biomass,PvivaxSal1_without_ortho_generic_biomass,PvivaxSal1_without_ortho_species_biomass,PknowlesiH_without_ortho_generic_biomass,PknowlesiH_without_ortho_species_biomass,pfal2018,pviv2018,pber2018,pkno2018,pcyn2018,ipfa2017,tg2015,itgo2020,ipbe2019_blood,ipbe2019_liver,iPfal19
EXC_BOTH_C04633,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,NA,NA,NA,NA
T_c_to_e_C01245,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,NA,NA,NA,NA
Tc2eC16565_c,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.00000000000009,0.9999999999996978,NA
EXC_BOTH_C11929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,NA,NA,NA,NA
EX_3mb_e,NA,NA,NA,NA,NA,NA,NA,NA,0.9999999999999998,0.9999999999999998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9999999999999983,0.9999999999999983,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R04682_r,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9999999999999989,0.9999999999999032,0.9999999999996907,NA
G3PAT181_ap,NA,NA,NA,NA,1.0000000000000004,1.0000000000000004,1.0000000000000002,1.0000000000000002,0.9999999999999997,0.9999999999999997,NA,NA,1.0000000000000007,1.0000000000000007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9999999999999998
R00253_TGME49_273490,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,NA,NA,NA,NA
R00095_c,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,NA,NA,NA
BPNT2,1.0000000000000033,1.0000000000000007,NA,NA,NA,NA,NA,NA,NA,NA,0.9999999999999233,0.9999999999999833,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T_c_to_e_C00187,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,1.0,0.0,NA,NA,NA
R01354_c,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9999999999999998,NA,0.9999999999999997,0.9999999999998861,0.9999999999997036,NA
