,0
2AGPGAT120,1.0
2AGPGAT141,1.0
2AGPGAT180,1.0
3HAD160,1.0
3OAR120,1.0
3OAR141,1.0
3OAR161,1.0
3OAS140,1.0
3OAS161,1.0
AACPS5,1.0
AACPS6,1.0
AACPS9,1.0
ABTA,1.0
ACACT2r,1.0
ACACT3r,1.0
ACCOAL,1.0
ACOATA,1.0
ACOTA,1.0
ACPPAT141,1.0
ACPPAT161,1.0
ADCS,1.0
ADNK1,1.0
AGPAT180,1.0
ALATRS,1.0
AP5AH,1.0
ARGTRS,1.0
ASPTRS,1.0
CBPS,1.0
CFAS180E,1.0
DASYN161,1.0
DHFS,1.0
DUTPDP,1.0
DXPRIi,1.0
E4PD,1.0
EAR100x,1.0
EAR120y,1.0
EAR140y,1.0
EAR141x,1.0
EAR161y,1.0
EAR180x,1.0
EAR180y,1.0
EAR181y,1.0
EAR40y,1.0
EAR80y,1.0
ECOAH8,1.0
EPMEACPR,1.0
FUM,1.8423243401046312e-14
G1PACT,0.9999999999999981
G3PAT141,0.9999999999999981
G3PAT180,0.9999999999999981
GLNS,0.9999999999999981
GLUSy,0.9999999999999981
GLUTRS,0.9999999999999981
GLYCL,0.9999999999999981
GMAND,0.9999999999999981
GMHEPAT,0.9999999999999981
GPDDA2,0.9999999999999981
GRXR,0.9999999999999981
GTHOr,0.9647359676250202
GTHS,0.9999999999999996
GTPCI,0.9999999999999996
HBZOPT,0.9999999999999996
HYPOE,0.9999999999999996
I4FE4ST,0.9999999999999996
ILETA,0.9999999999999996
IMPD,0.9999999999999996
IPMD,0.9999999999999996
LEUTAi,0.9999999999999996
LIPATPT,0.9999999999999996
LYSTRS,0.9999999999999996
MACPD,0.9999999999999996
MAN1PT2,0.9999999999999996
MEPCT,0.9999999999999996
METAT,0.9999999999999996
MOADSUx,0.9999999999999996
MPTSS,0.9999999999999996
NDPK3,0.9999999999999996
NDPK5,0.9999999999999996
NDPK6,0.9999999999999996
NNAM,0.9999999999999996
NTD10,0.9999999999999996
NTD2,0.9999999999999996
NTD5,0.9999999999999996
NTD7,0.9999999999999996
NTD8,0.9999999999999996
NTP1,0.9999999999999996
NTPP1,0.9999999999999996
OCTDPS,0.9999999999999996
PFK,0.9999999999999969
PNTK,0.9999999999999969
PPBNGS,0.9999999999999969
PPCDC,0.9999999999999969
PPCK,0.9999999999999969
PSSA160,0.9999999999999969
PSSA180,0.9999999999999969
PYK,0.9999999999999969
RBFK,0.9999999999999969
RBK,6.967144515293084e-15
RNDR1b,1.0000000000000002
RNDR2b,1.0000000000000002
RNDR3,1.0000000000000002
RNDR3b,1.0000000000000002
RNDR4b,1.0000000000000002
RPI,1.0000000000000002
S2FE2SS2,1.0000000000000002
S4FE4ST,1.0000000000000002
SCYSDS,1.0000000000000002
SDPTA,1.0000000000000002
SELNPS,1.0000000000000002
SPMS,1.0000000000000002
SUCOAS,1.0000000000000002
T2DECAI,1.0000000000000002
THFAT,1.0000000000000002
TPI,0.9807915351509572
TRDR,1.0000000000000002
VALTRS,1.0000000000000002
THZPSN,1.0000000000000002
2HMHMBQMTm,1.0000000000000002
3DSPHR,1.0000000000000002
ACGAMPM,1.0000000000000002
AHCi,1.0000000000000002
AKGDam,1.0000000000000002
AMID2,1.0000000000000002
ARMT,1.0000000000000002
ASPGLU2m,1.0000000000000002
CITtcm,1.0000000000000002
CTPtm,1.0000000000000002
DESAT16,1.0000000000000002
D_LACDm,1.0000000000000002
ERGSTt,1.0000000000000002
FACOAL180,1.0000000000000002
FAS120,1.0000000000000002
FAS160,1.0000000000000002
FAS161,1.0000000000000002
FAS181,1.0000000000000002
GCC2cm,1.0000000000000002
GLUDxi,1.0000000000000002
GTPH1,1.0000000000000002
HEMEOSm,1.0000000000000002
ILETRSm,1.0000000000000002
LNS14DM,1.0000000000000002
MCITSm,1.0000000000000002
NAPRT,1.0000000000000002
NFTYROX,1.0000000000000002
ORNTA,1.0000000000000002
PDE5,1.0000000000000002
PI35BP5P_SC,1.0000000000000002
PIN3K_SC,1.0000000000000002
RNTR1,1.0000000000000002
RNTR2,1.0000000000000002
RNTR3,1.0000000000000002
SUCFUMtm,0.9999999999999999
SUCOASm,0.9999999999999999
THFGLUS,0.9999999999999999
THMPPt2m,0.9999999999999999
THRTRSm,0.9999999999999999
TMDPK,0.9999999999999999
TMDPPK,0.9999999999999999
VALTRSm,0.9999999999999999
ZYMSTESTH_SC,0.9999999999999999
ZYMSTt,0.9999999999999999
4M2OPLOXRD,0.9999999999999999
GCCa,0.9999999999999999
HEXTT,0.9999999999999999
KAS1,0.9999999999999999
KAS16,0.9999999999999999
KAS3,0.9999999999999999
KAS5,0.9999999999999999
KAS6,0.9999999999999999
KAS7,0.9999999999999999
MOBDabc,0.9999999999999999
SUCD1,0.9999999999999999
