,0
2AGPGAT120,1.0
2AGPGAT141,1.0
2AGPGAT180,1.0
3HAD160,1.0
3OAR120,1.0
3OAR141,1.0
3OAR161,1.0
3OAS140,1.0
3OAS161,1.0
AACPS5,1.0
AACPS6,1.0
AACPS9,1.0
ABTA,1.0
ACACT2r,1.0
ACACT3r,1.0
ACCOAL,1.0
ACOATA,1.0
ACOTA,1.0
ACPPAT141,1.0
ACPPAT161,1.0
ADCS,-1.8363336904237557e-15
ADNK1,0.9974577701045243
AGPAT180,1.0000000000000013
ALATRS,1.847781290983341e-15
APH140,1.0000000000000002
APH160,1.0000000000000002
APH161,1.0000000000000002
ARGTRS,-3.675584961858958e-15
ASPTA,0.9714437168169971
ASPTRS,1.6374715229214385e-16
CBPS,1.0
CFAS180E,1.0
CTECOAI6,1.0
DASYN161,9.991649979239573e-17
DHFS,-7.835557088982611e-16
DUTPDP,-6.836392091058656e-17
DXPRIi,-1.0096825242178935e-15
E4PD,0.9999999999999989
EAR100x,0.9999999999999989
EAR120y,0.9999999999999989
EAR140y,0.9999999999999989
EAR141x,0.9999999999999989
EAR161y,0.9999999999999989
EAR180x,0.9999999999999989
EAR180y,0.9999999999999989
EAR181y,0.9999999999999989
EAR40y,0.9999999999999989
EAR80y,0.9999999999999989
ECOAH1,0.9999999999999989
ECOAH2,0.9999999999999989
ECOAH6,0.9999999999999989
ECOAH8,0.9999999999999989
EPMEACPR,0.9999999999999989
FUM,0.9999999999999989
G1PACT,0.9999999999999989
G3PAT141,0.9999999999999989
G3PAT180,0.9999999999999989
GDMANE,0.9999999999999989
GLNS,0.9999999999999989
GLUSy,1.0000000000000016
GLUTRS,1.0000000000000016
GLYCL,1.0000000000000016
GMAND,1.0000000000000016
GMHEPAT,1.0000000000000016
GPDDA2,1.0000000000000016
GPDDA3,1.0000000000000016
GRXR,0.9998861754605451
GTHOr,1.0000000000000016
GTHS,2.298824457857009e-16
GTPCI,1.0000000000000013
HBZOPT,1.0000000000000013
HYPOE,1.0000000000000013
I4FE4ST,1.0000000000000013
IMPD,1.0000000000000013
IPMD,1.0000000000000013
LEUTAi,1.0000000000000013
LIPATPT,1.0000000000000013
LYSTRS,4.369033684303324e-15
MACPD,0.9999999999999984
MAN1PT2,0.9999999999999984
MEPCT,0.0
METAT,1.0000000000000002
MOADSUx,1.0000000000000002
MPTSS,1.0000000000000002
NDPK3,0.9978904386046086
NDPK5,1.0000000000000007
NDPK6,1.0000000000000007
NNAM,1.0000000000000007
NTD10,1.0000000000000007
NTD2,1.0000000000000007
NTD5,1.0000000000000007
NTD7,1.0000000000000007
NTD8,1.0000000000000007
NTP1,1.0000000000000007
NTPP1,1.0000000000000007
OCTDPS,7.233800162995788e-16
PFK,0.9999999999999721
PNTK,-8.928420455455695e-11
PPBNGS,1.000000000000001
PPCDC,6.191562869655002e-16
PPCK,1.0000000000000004
PSSA160,1.0000000000000004
PSSA180,1.0000000000000004
PYK,1.0000000000000004
PYNP2r,1.0000000000000004
RBFK,0.0
RNDR1b,1.0000000000000022
RNDR2b,1.0000000000000022
RNDR3,1.0000000000000022
RNDR3b,1.0000000000000018
RNDR4b,1.0000000000000022
RPI,0.9999880727754002
S2FE2SS2,1.0
S4FE4ST,1.0
SCYSDS,1.0
SDPTA,1.0
SELNPS,1.0
SPMS,1.0
SUCOAS,1.0
THFAT,1.0
TPI,0.999994814835919
TRDR,1.0
VALTRS,5.504612917409464e-15
HACD1i,1.000000000000002
HACD4i,1.000000000000002
HACD6i,1.000000000000002
THZPSN,1.000000000000002
2HMHMBQMTm,1.000000000000002
3DSPHR,1.000000000000002
ACGAMPM,1.000000000000002
AHCi,1.000000000000002
AKGDam,1.000000000000002
AMETtm,1.000000000000002
ARMT,1.000000000000002
ASPGLU2m,1.000000000000002
CITtcm,1.000000000000002
DESAT16,1.000000000000002
D_LACDm,1.000000000000002
ERGSTt,1.000000000000002
FACOAL180,1.000000000000002
FAS120,1.000000000000002
FAS160,1.000000000000002
FAS161,1.000000000000002
FAS181,1.000000000000002
GCC2cm,1.000000000000002
GLUDxi,1.0
GLYCt,0.9960484046491926
HEMEOSm,1.0000000000000004
HPROa,1.0000000000000004
HPROb,1.0000000000000004
ILETRSm,1.0000000000000004
LNS14DM,1.0000000000000004
MCITSm,1.0000000000000004
NAPRT,1.0000000000000004
NFTYROX,1.0000000000000004
ORNTA,1.0000000000000004
PDE5,1.0000000000000004
PI35BP5P_SC,1.0000000000000004
PIN3K_SC,1.0000000000000004
RNTR1,1.0000000000000004
RNTR2,1.0000000000000004
RNTR3,1.0000000000000004
SUCFUMtm,1.0000000000000004
SUCOASm,1.0000000000000004
THFGLUS,1.0000000000000004
THMPPt2m,1.0000000000000004
THRTRSm,1.0000000000000004
VALTRSm,1.0000000000000004
