,no_ortho_EcuniculiEC3,no_ortho_TevansiSTIB805,PfalciparumTG01,no_ortho_TgondiiARI,no_ortho_TcruziCLBrenerNon-Esmeraldo-like,no_ortho_TgondiiRUB,no_ortho_PfragileNilgiri,no_ortho_LdonovaniBPK282A1,no_ortho_TgondiiGAB2-2007-GAL-DOM2,no_ortho_CmurisRN66,no_ortho_CmeleagridisUKMEL1,PgaboniG01,no_ortho_TbruceigambienseDAL972,no_ortho_Vculicisfloridensis,PfalciparumGB4,no_ortho_PfalciparumGA01,PcoatneyiHackeri,no_ortho_NdisplodereJUm2807,no_ortho_TrangeliSC58,no_ortho_LturanicaLEM423,no_ortho_LenriettiiLEM3045,no_ortho_PknowlesiMalayanPk1A,no_ortho_Tgondiip89,no_ortho_TgondiiFOU,no_ortho_NausubeliERTm2,no_ortho_LgerbilliLEM452,no_ortho_PreichenowiCDC,no_ortho_TcongolenseIL3000,no_ortho_LaethiopicaL147,no_ortho_ChominisUdeA01,no_ortho_CsuisWienI,no_ortho_PbergheiANKA,no_ortho_TcruziDm28c2018,PgaboniSY75,no_ortho_PmalariaeUG01,no_ortho_EcuniculiEC1,PmalariaeUG01,no_ortho_PfalciparumSD01,no_ortho_LmajorLV39c5,no_ortho_SsalmonicidaATCC50377,no_ortho_TcruziDm28c2014,no_ortho_PfalciparumTG01,no_ortho_EmonterogeiiLV88,no_ortho_ChominisTU502,no_ortho_TcruziTCC,no_ortho_LmajorFriedlin,no_ortho_TcruziCLBrener,no_ortho_NcaninumLIV,PbillcollinsiG01,no_ortho_GintestinalisAssemblageADH,no_ortho_EtenellaHoughton,no_ortho_NceranaePA08_1199,PfalciparumKH01,PyoeliiyoeliiYM,no_ortho_PcynomolgiB,no_ortho_EbieneusiH348,no_ortho_PcoatneyiHackeri,PfalciparumIT,no_ortho_AalgeraePRA339,no_ortho_PinuiSanAntonio1,PvivaxP01,no_ortho_TcruziDm28c2017,no_ortho_TbruceiTREU927,no_ortho_Pyoeliiyoelii17XNL,PfalciparumSN01,no_ortho_NausubeliERTm6,no_ortho_HeriocheirGB1,no_ortho_PrelictumSGS1-like,Pchabaudichabaudi,no_ortho_VbrassicaformisCCMP3155,no_ortho_Pvinckeivinckeivinckei,no_ortho_EhistolyticaHM1IMSS-A,no_ortho_NceranaeBRL01,no_ortho_TcruzimarinkelleiB7,PcynomolgiB,no_ortho_CfasciculataCfCl,no_ortho_LpyrrhocorisH10,no_ortho_GintestinalisAssemblageBGS,PfalciparumML01,no_ortho_EaedisUSNM41457,no_ortho_EinvadensIP1,no_ortho_CveliaCCMP2878,no_ortho_EhepatopenaeiTH1,no_ortho_CtyzzeriUGA55,no_ortho_CcayetanensisCHN_HEN01,Pfalciparum7G8,no_ortho_Heriocheircanceri,no_ortho_EmoshkovskiiLaredo,no_ortho_HhammondiHH34,no_ortho_OcolligataOC4,PfalciparumHB3,no_ortho_TcruziSylvioX10-1-2012,PfalciparumCD01,PvivaxSal1,no_ortho_TbruceiLister427_2018,no_ortho_PvivaxP01,no_ortho_AspWSBS2006,no_ortho_PvinckeipetteriCR,no_ortho_EhistolyticaHM3IMSS,no_ortho_PfalciparumKH02,Pyoeliiyoelii17XNL,Pvivax-likePvl01,no_ortho_PconfusumCUL13,no_ortho_PblacklockiG01,no_ortho_EhellemSwiss,no_ortho_TparvaMuguga,no_ortho_GintestinalisAssemblageEP15,no_ortho_PfalciparumKH01,no_ortho_TtheileriEdinburgh,no_ortho_ThominisUnknown,no_ortho_LpanamensisMHOMCOL81L13,no_ortho_TgondiiVEG,no_ortho_ChominisTU502_2012,no_ortho_BbovisT2Bo,no_ortho_EpraecoxHoughton,no_ortho_EacervulinaHoughton,no_ortho_PgaboniG01,no_ortho_PknowlesiH,no_ortho_TequiWA,no_ortho_NparisiiERTm1,no_ortho_CfelisWinnie,no_ortho_BovataMiyake,no_ortho_LdonovaniCL-SL,no_ortho_PneurophiliaMK1,no_ortho_Pchabaudichabaudi,Pfalciparum3D7,no_ortho_GniphandrodesUnknown,PcynomolgiM,no_ortho_AcastellaniiNeff,Pgallinaceum8A,no_ortho_NbombycisCQ1,no_ortho_Slophii42_110,no_ortho_PfalciparumML01,PovalecurtisiGH01,no_ortho_BbigeminaBOND,no_ortho_Pyoeliiyoelii17X,no_ortho_TbruceiLister427,no_ortho_LpanamensisMHOMPA94PSC1,no_ortho_Pfalciparum7G8,PvinckeipetteriCR,no_ortho_LinfantumJPCM5,no_ortho_EintestinalisATCC50506,no_ortho_EhistolyticaHM1IMSS,PreichenowiG01,PrelictumSGS1-like,no_ortho_PgaboniSY75,PfalciparumGN01,Pvinckeivinckeivinckei,no_ortho_EhellemATCC50504,PknowlesiH,no_ortho_PfalciparumKE01,no_ortho_SneuronaSN3,no_ortho_PbillcollinsiG01,no_ortho_GintestinalisAssemblageBGS_B,no_ortho_NparisiiERTm3,no_ortho_TvivaxY486,no_ortho_PreichenowiG01,PfragileNilgiri,no_ortho_Chominis30976,no_ortho_TannulataAnkara,no_ortho_EdisparSAW760,PreichenowiCDC,PfalciparumDd2,no_ortho_TgondiiVAND,no_ortho_EnecatrixHoughton,no_ortho_AalgeraePRA109,no_ortho_EcanceriGB1,PblacklockiG01,no_ortho_BmicrotiRI,no_ortho_BsaltansLakeKonstanz,no_ortho_PfalciparumSN01,no_ortho_LbraziliensisMHOMBR75M2903,no_ortho_TgondiiRH,no_ortho_EcuniculiEC2,no_ortho_PfalciparumDd2,no_ortho_LmajorSD75,no_ortho_SneuronaSOSN1,no_ortho_Bdivergens1802A,no_ortho_TgondiiME49,no_ortho_LspMARLEM2494,no_ortho_Candersoni30847,no_ortho_GintestinalisAssemblageAWB,no_ortho_PcynomolgiM,no_ortho_PyoeliiyoeliiYM,PfalciparumKH02,no_ortho_EhistolyticaHM1IMSS-B,no_ortho_VcorneaeATCC50505,no_ortho_Pgallinaceum8A,no_ortho_MdaphniaeUGP3,no_ortho_CparvumIowaII,no_ortho_NfowleriATCC30863,no_ortho_TgrayiANR4,no_ortho_LbraziliensisMHOMBR75M2904,no_ortho_PfalciparumHB3,no_ortho_EcuniculiGBM1,no_ortho_TgondiiTgCatPRC2,PknowlesiMalayanPk1A,PfalciparumKE01,no_ortho_TvaginalisG3,no_ortho_LamazonensisMHOMBR71973M2269,PadleriG01,no_ortho_EmitisHoughton,PfalciparumSD01,no_ortho_TgondiiMAS,no_ortho_LtropicaL590,no_ortho_EfalciformisBayerHaberkorn1970,no_ortho_Pfalciparum3D7,no_ortho_PpraefalciparumG01,no_ortho_LseymouriATCC30220,Pyoeliiyoelii17X,no_ortho_PadleriG01,no_ortho_TcruziCLBrenerEsmeraldo-like,no_ortho_LarabicaLEM1108,no_ortho_Cubiquitum39726,no_ortho_EromaleaeSJ2008,no_ortho_PfalciparumCD01,no_ortho_TorientalisShintoku,no_ortho_Pvivax-likePvl01,no_ortho_EbrunettiHoughton,no_ortho_PfalciparumGN01,no_ortho_TcruziSylvioX10-1,no_ortho_EcuniculiEcunIII-L,no_ortho_LmexicanaMHOMGT2001U1103,no_ortho_EmaximaWeybridge,no_ortho_BayalaiB08-376,no_ortho_TgondiiGT1,no_ortho_LtarentolaeParrotTarII,no_ortho_PfalciparumGB4,no_ortho_PovalecurtisiGH01,PbergheiANKA,PinuiSanAntonio1,no_ortho_PvivaxSal1,no_ortho_PfalciparumIT,no_ortho_EnuttalliP19,PfalciparumGA01,PpraefalciparumG01,no_ortho_EhistolyticaKU27
MGDGW6DS1829Z12Z1644Z7Z10Z13Zc,,,1,1,,1,1,,1,,,1,,,1,1,1,,,,,1,1,1,,,1,,,,1,1,,1,1,,1,1,,,,1,,,,,,1,1,,1,,1,1,1,,1,1,,1,1,,,1,1,,,1,1,1,1,,,,1,,,,1,,,1,,,,1,,,1,,1,,1,1,,1,,1,,1,1,1,,1,,1,,1,,,,1,,1,,,1,1,1,,1,,,,1,1,,1,,1,1,,1,1,1,1,,,1,1,,,,1,1,1,1,1,,1,1,1,1,,,,1,1,,1,,1,1,1,1,,,1,1,,1,,,,1,,1,1,1,,,,1,1,1,,,1,,,,,,1,,1,1,1,,,1,,1,1,,1,1,1,,1,1,,,,,1,1,1,,1,,,,1,,1,,1,1,1,1,1,1,,1,1,
4MOPDC,,,,,,,,1,,1,1,,,,,,,,,1,1,,,,,1,,,1,1,,,,,,,,,1,,,,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,1,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,1,,,,1,,1,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,1,,,,1,1,,,,,,,,,1,,,1,,,,,,,1,,,,,1,,,,1,,,,1,1,,,,,,,,,1,,,,1,,,,,,,,,,
EX_all__D_e,1,,,1,,,,,,,,,,,,,,,,1,1,,,,,,,,1,,,1,,,,1,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,1,,,1,,,1,,1,,,1,,,,,1,,,1,1,,1,,,1,,,,,,,1,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,1,,1,,1,,,,,1,,,,,,,,,1,,,1,1,,,1,,,,,,1,,,,,,,,1,,1,,1,,,,,1,1,,,,1,,,1,,,,,,,
THRTHRARGt,,,,,,,1,,,,1,,,,,1,,,,,,1,,,1,,,,,1,,,,,,,,1,,,,1,,,,,1,,,,1,1,,,1,,1,,1,1,,,,1,,1,,1,,,,,1,,,,,,,,,,,1,1,,,,,,,,,,,,,1,,1,,,,1,,,,1,,1,,,1,,,,1,1,,,,1,,,1,1,,,,,,1,1,,1,,,,1,,,,,,,1,,,,,1,,1,,,,1,,1,,,,,,1,,,,,,1,,,,1,,,1,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,1,1,,,1,,,,,1,,,,1,,,,1,,,,1,,,,,1,1,,,
LEUSERTRPr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LPEAT_HDE_LNA_sn2_c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTNt2i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHSTEROLt3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EX_hxan_e,,,1,,,,,,,,,1,,,1,1,1,,,,,1,,,,,,,,,,,,1,,,1,1,,,,1,,,,,,,1,,,,1,1,,,,1,,,1,,,,1,,,,1,1,,,,,1,,,,1,,,1,,,,1,,,,,1,,1,1,,,,,,1,1,1,1,,,,,1,,,,,,,,,,1,,,,,,,,1,,1,,1,,,1,1,,,,,1,1,,,,1,1,,1,1,,1,1,,,,,,,1,,,,1,1,,,,,1,,1,1,,,,1,,,,,,,,,,1,1,,,,,,,,1,,,1,1,1,,1,,1,,,,1,,,1,,,,,,1,,,,1,,,,,,,,1,,1,1,,1,,1,1,
NTP12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PLDPE_HDE_DHA_c,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
LYSt2r,,,1,,,,,,,,,1,,,1,,1,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,1,,,,1,1,,,,1,,,1,,,,1,,,,1,,,,,,1,,,,1,,,,,,,1,,,,,1,,1,1,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,1,,,,1,,,,,,1,,,,1,1,,1,1,,1,,,,,,,,1,,,,1,1,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,1,1,,1,,1,,,,,,,1,,,,1,,,,,,,,,,,,,,,,1,1,,,,1,1,
PLDAGAT_OLE_EPA_EPA_PE_10_c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
