,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107
no_ortho_EcuniculiEC3,PANTS,CERS226,CERS126,ALATA_D2,DIPS,HBZOPT6,FEDCabc,AGPAT120,L_LACD,ENLIPIDAt1exc,OHPHM6nc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_TevansiSTIB805,2AGPGAT141,HEMEOSm,CD2t4,2AGPGAT161,AHSERL3,2AGPEAT141,2HP6MPMOm,FTHFLmi,LYSTRSm,METTRSm,PPTTm,HBZOPT6,HBZOPT6m_1,APAPTm,HEMEOSm_1,2AGPEAT161,APCS,DOLASNT,ACSERL,NDP3ex,THIORDXm,CYSS_m,ENLIPIDAt1exc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PfalciparumTG01,HEMEOSm,ILETRSm,THRTRSm,VALTRSm,CDGGGPP3,CD2t4,ASNTRSm,HISTRSm,PHETRSm,AGPAT190,GHMT2rm,LYSTRSm,METTRSm,PPTTm,HBZOPT6,FEDCabc,APAPTm,HEMEOSm_1,ASPTRSm,CRNCARtm,CDGGGPP4,DOLASNT,HEMELm,HCGALm,SECYSTL,CYO1bpp_sync,ENLIPIDAt1exc,CYO1b2pp_sync,THZPSN_mt2,THZPSNm,GHMT2r_ap,GHMT2r_m,DOLPMT3,FCLT_ap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_TgondiiARI,2AGPGAT141,THRTRSm,VALTRSm,MEGLYXYLAMH,DHPS2,HISTRSm,PHETRSm,LIDOAMH,2AGPEAT141,DHORD2,LYSTRSm,METTRSm,PPTTm,GLCR1TRB1,HBZOPT6,HBZOPT6m_1,ALATL,HEMEOSm_1,LIPO3S24_BS,MCPST,ASPTRSm,GLCR1TRA1,DOLASNT,HEMELm,SECYSTL,CYSS_m,MLDEP1ppc,MLDEP2ppc,DVPCHLD450ORc,ENLIPIDAt1exc,PCHLD450ORc,DVPCHLD646ORc,PCHLD646ORc,FE3DCITexs,GTHAMPORh,AACPDAGAT_HDE_HDE_PALM_h,ACP1619ZD9DS,ACP1819ZD9DS_h,ACHMSSELCYSLh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_TcruziCLBrenerNon-Esmeraldo-like,FAS141ACPm,FAS181ACPm,HEMEOSm,UPLA4FNT,FAS182ACPm,NALN6,AGAIAGT,2HP6MPMOm,FAS80ACPm_L,FTHFLmi,LYSTRSm,PPTTm,UPLA4NT,HBZOPT6,HBZOPT6m_1,FEDCabc,APAPTm,HEMEOSm_1,APCS,FAS161ACPm,TPK1,DOLASNT,NDP3ex,ASNNe,NDH1_3uc,NDH1_4ppc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_TgondiiRUB,2AGPGAT141,THRTRSm,VALTRSm,MCBTS3,DHPS2,HISTRSm,PHETRSm,MCBTS2,MCBTS,2AGPEAT141,LYSTRSm,METTRSm,PPTTm,GLCR1TRB1,HBZOPT6,HBZOPT6m_1,ALATL,HEMEOSm_1,LIPO3S24_BS,MCPST,ASPTRSm,GLCR1TRA1,DOLASNT,HEMELm,SECYSTL,CYSS_m,DVPCHLD450ORc,ENLIPIDAt1exc,PCHLD450ORc,DVPCHLD646ORc,PCHLD646ORc,FE3DCITexs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_PfragileNilgiri,HEMEOSm,ILETRSm,THRTRSm,VALTRSm,NTRARf,CD2t4,DHPS2,ASNTRSm,HISTRSm,LEUTRSm,PHETRSm,FTHFLmi,GHMT2rm,LYSTRSm,METTRSm,PPTTm,HBZOPT6,FEDCabc,ALATL,APAPTm,HEMEOSm_1,ASPTRSm,CRNCARtm,DOLASNT,HEMELm,SECYSTL,HCGALm,CBFCc,ENLIPIDAt1exc,biomass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_LdonovaniBPK282A1,THRTRSm,VALTRSm,SQD2_160,SQD2_183_9_12_15,CD2t4,SQD2_183_6_9_12,SQD2_181,2HP6MPMOm,FTHFLmi,GHMT2rm,LYSTRSm,METTRSm,PPTTm,HBZOPT6m_1,SQD2_161,SQD2_181_9,SQD2_182_9_12,ALATL,APAPTm,HEMEOSm_1,LIPO3S24_BS,CRNCARtm,TPK1,SQD2_180,SQD2_184_6_9_12_15,DOLASNT,SULOm,SECYSTL,NDP3ex,ENLIPIDAt1exc,LPSSYN_HPc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_TgondiiGAB2-2007-GAL-DOM2,2AGPGAT141,THRTRSm,VALTRSm,DHPS2,HISTRSm,PHETRSm,2AGPEAT141,LYSTRSm,METTRSm,PPTTm,GLCR1TRB1,HBZOPT6,HBZOPT6m_1,FEDCabc,ALATL,HEMEOSm_1,LIPO3S24_BS,MCPST,ASPTRSm,GLCR1TRA1,DOLASNT,HEMELm,SECYSTL,CYSS_m,ENLIPIDAt1exc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_CmurisRN66,FAS141ACPm,FAS181ACPm,THRTRSm,VALTRSm,PREPTHS2,MCBTS3,GRTT2,MEGLYXYLAMH,PTOR,CD2t4,UPLA4FNT,FAS182ACPm,HEMEOMOm,HISTRSm,TRPTRSm,MCBTS2,MCBTS,AGPAT190,LIDOAMH,GRTT,2HP6MPMOm,FAS80ACPm_L,GHMT2rm,LYSTRSm,METTRSm,PPTTm,HBZOPT6,HBZOPT6m_1,FEDCabc,ALATL,THZPSN3,CRNCARtm,FAS161ACPm,AGPAT160190,DOLASNT,IPDPUPT,SECYSTL,AGPAT1601819Zhc,AGPAT18111Z1819Zhc,AGPAT1801819Zhc,FPPShc,AGPAT1819Z1819Zhc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
