,0
2AGPGAT120,1.0
2AGPGAT141,1.0
2AGPGAT180,1.0
3HAD160,1.0
3OAR120,1.0
3OAR141,1.0
3OAR161,1.0
3OAS140,1.0
3OAS161,1.0
AACPS5,1.0
AACPS6,1.0
AACPS9,1.0
ABTA,1.0
ACACT2r,1.0
ACACT3r,1.0
ACCOAL,1.0
ACOATA,1.0
ACOTA,1.0
ACPPAT141,1.0
ACPPAT161,1.0
ADCS,1.0
ADNK1,1.0
AGPAT180,0.0
ALATRS,0.9999999999999984
AP5AH,0.9999999999999984
ARGTRS,0.9999999999999984
ASPTRS,0.9999999999999984
CBPS,0.9999999999999984
CFAS180E,0.9999999999999984
DASYN161,2.891126068726067e-15
DHFS,1.0000000000000009
DUTPDP,-2.17525612866663e-15
DXPRIi,4.35051225733326e-15
E4PD,1.0000000000000002
EAR100x,1.0000000000000002
EAR120y,1.0000000000000002
EAR140y,1.0000000000000002
EAR141x,1.0000000000000002
EAR161y,1.0000000000000002
EAR180x,1.0000000000000002
EAR180y,1.0000000000000002
EAR181y,1.0000000000000002
EAR40y,1.0000000000000002
EAR80y,1.0000000000000002
ECOAH8,1.0000000000000002
EPMEACPR,1.0000000000000002
FUM,1.0000000000000002
G1PACT,1.0000000000000002
G3PAT141,8.811372817113163e-16
G3PAT180,-6.082489116632886e-13
GLNS,0.9999999999999983
GLUSy,0.9999999999999983
GLUTRS,0.9999999999999983
GLYCL,0.9999999999999983
GMAND,0.9999999999999983
GMHEPAT,0.9999999999999983
GPDDA2,0.9999999999999983
GRXR,0.9999873528162904
GTHOr,0.9999999999999992
GTHS,0.9999999999999992
GTPCI,0.9999999999999992
HBZOPT,0.9999999999999992
HYPOE,0.9999999999999992
I4FE4ST,0.9999999999999992
ILETA,0.9999999999999992
IMPD,0.0
IPMD,0.9999999999999964
LEUTAi,0.9999999999999964
LIPATPT,0.9999999999999964
LYSTRS,0.9999999999999964
MACPD,0.9999999999999964
MAN1PT2,0.9999999999999964
MEPCT,0.0
METAT,1.0000000000000047
MOADSUx,1.0000000000000047
MPTSS,1.0000000000000047
NDPK3,1.0000000000000047
NDPK5,1.0000000000000047
NDPK6,1.0000000000000047
NNAM,1.0000000000000047
NTD10,1.0000000000000047
NTD2,1.0000000000000047
NTD5,1.0000000000000047
NTD7,1.0000000000000047
NTD8,1.0000000000000047
NTP1,1.0000000000000047
NTPP1,1.0000000000000047
OCTDPS,0.0
PFK,0.9999999999999959
PNTK,0.9999999999999959
PPBNGS,0.9999999999999959
PPCDC,0.9999999999999959
PPCK,0.9999999999999959
PSSA160,0.9999999999999959
PSSA180,0.9999999999999959
PYK,0.9999999999999994
RBFK,0.0
RBK,-1.924244173152554e-14
RNDR1b,0.9999999999999999
RNDR2b,0.9999999999999999
RNDR3,0.9999999999999999
RNDR3b,0.9999999999999999
RNDR4b,0.9999999999999999
RPI,0.9999999999999999
S2FE2SS2,0.9999999999999999
S4FE4ST,0.9999999999999999
SCYSDS,0.9999999999999999
SDPTA,0.9999999999999999
SELNPS,0.9999999999999999
SPMS,0.9999999999999999
SUCOAS,0.9999999999999999
T2DECAI,0.9999999999999999
THFAT,0.9999999999999999
TPI,0.9889477489173059
TRDR,0.9999999999999997
VALTRS,0.9999999999999997
THZPSN,0.9999999999999997
2HMHMBQMTm,0.9999999999999997
3DSPHR,0.9999999999999997
ACGAMPM,0.9999999999999997
AHCi,0.9999999999999997
AKGDam,0.9999999999999997
AMID2,0.9999999999999997
ARMT,0.9999999999999997
ASPGLU2m,0.9999999999999997
CITtcm,0.9999999999999997
CTPtm,0.9999999999999997
DESAT16,0.9999999999999997
D_LACDm,0.9999999999999997
ERGSTt,0.9999999999999997
FACOAL180,0.9999538198041591
FAS120,0.9999999999999997
FAS160,0.9999999999999997
FAS161,0.9999999999999997
FAS181,0.9999999999999997
GCC2cm,1.0000000000000004
GLUDxi,0.9999999999999976
GTPH1,0.9999999999999976
HEMEOSm,0.9999999999999976
ILETRSm,0.9999999999999976
LNS14DM,0.9999999999999976
MCITSm,0.9999999999999976
NAPRT,0.9999999999999976
NFTYROX,0.9999999999999976
ORNTA,0.9999999999999976
PDE5,0.9999999999999976
PI35BP5P_SC,0.9999999999999976
PIN3K_SC,0.9999999999999976
RNTR1,0.9999999999999976
RNTR2,0.9999999999999976
RNTR3,0.9999999999999976
SUCFUMtm,0.9999999999999976
SUCOASm,0.9999999999999976
THFGLUS,0.9999999999999976
THMPPt2m,0.9999999999999976
THRTRSm,0.9999999999999976
TMDPK,0.0
TMDPPK,1.0000000000000009
VALTRSm,1.0000000000000009
ZYMSTESTH_SC,1.0000000000000009
ZYMSTt,1.0000000000000009
4M2OPLOXRD,1.0000000000000009
GCCa,1.0000000000000009
HEXTT,1.0000000000000009
KAS1,1.0000000000000009
