reaction ids,reaction formulas,genes,upper_bounds,lower_bounds
2AGPGAT120,2agpg120_c + atp_c + ddca_c --> amp_c + pg120_c + ppi_c,"['Cvel_2306.t1-p1', 'Cvel_24841.t1-p1', 'Cvel_9659.t1-p1']",1000.0,0.0
2AGPGAT141,2agpg141_c + atp_c + ttdcea_c --> amp_c + pg141_c + ppi_c,"['Cvel_2306.t1-p1', 'Cvel_24841.t1-p1', 'Cvel_9659.t1-p1']",1000.0,0.0
2AGPGAT180,2agpg180_c + atp_c + ocdca_c --> amp_c + pg180_c + ppi_c,"['Cvel_2306.t1-p1', 'Cvel_24841.t1-p1', 'Cvel_9659.t1-p1']",1000.0,0.0
3HAD160,3hpalmACP_c --> h2o_c + tpalm2eACP_c,['Cvel_14912.t1-p1'],1000.0,0.0
3OAR120,3oddecACP_c + h_c + nadph_c --> 3hddecACP_c + nadp_c,"['Cvel_1862.t1-p1', 'Cvel_17356.t1-p1', 'Cvel_728.t1-p1', 'Cvel_18567.t1-p1', 'Cvel_3355.t1-p1', 'Cvel_10085.t1-p1', 'Cvel_3619.t1-p1', 'Cvel_17101.t1-p1', 'Cvel_8241.t1-p1', 'Cvel_19718.t1-p1', 'Cvel_2837.t1-p1', 'Cvel_11532.t1-p1']",1000.0,0.0
3OAR141,3ocmrs7eACP_c + h_c + nadph_c --> 3hcmrs7eACP_c + nadp_c,"['Cvel_1862.t1-p1', 'Cvel_17356.t1-p1', 'Cvel_728.t1-p1', 'Cvel_18567.t1-p1', 'Cvel_3355.t1-p1', 'Cvel_10085.t1-p1', 'Cvel_3619.t1-p1', 'Cvel_17101.t1-p1', 'Cvel_8241.t1-p1', 'Cvel_19718.t1-p1', 'Cvel_2837.t1-p1', 'Cvel_11532.t1-p1']",1000.0,0.0
3OAR161,3ocpalm9eACP_c + h_c + nadph_c --> 3hcpalm9eACP_c + nadp_c,"['Cvel_1862.t1-p1', 'Cvel_17356.t1-p1', 'Cvel_728.t1-p1', 'Cvel_18567.t1-p1', 'Cvel_3355.t1-p1', 'Cvel_10085.t1-p1', 'Cvel_3619.t1-p1', 'Cvel_17101.t1-p1', 'Cvel_8241.t1-p1', 'Cvel_19718.t1-p1', 'Cvel_2837.t1-p1', 'Cvel_11532.t1-p1']",1000.0,0.0
3OAS140,ddcaACP_c + h_c + malACP_c --> 3omrsACP_c + ACP_c + co2_c,"['Cvel_12437.t1-p1', 'Cvel_25041.t1-p1', 'Cvel_12573.t1-p1', 'Cvel_3910.t1-p1', 'Cvel_19611.t1-p1']",1000.0,0.0
3OAS161,h_c + malACP_c + tdeACP_c --> 3ocpalm9eACP_c + ACP_c + co2_c,"['Cvel_3910.t1-p1', 'Cvel_25041.t1-p1']",1000.0,0.0
4HTHRS,h2o_c + phthr_c --> 4hthr_c + pi_c,"['Cvel_15265.t1-p1', 'Cvel_3432.t1-p1']",1000.0,0.0
AACPS5,ACP_c + atp_c + ocdcea_c --> amp_c + octeACP_c + ppi_c,"['Cvel_32060.t1-p1', 'Cvel_2306.t1-p1', 'Cvel_24841.t1-p1', 'Cvel_9659.t1-p1']",1000.0,0.0
AACPS6,ACP_c + atp_c + ocdca_c --> amp_c + ocdcaACP_c + ppi_c,"['Cvel_32060.t1-p1', 'Cvel_2306.t1-p1', 'Cvel_24841.t1-p1', 'Cvel_9659.t1-p1']",1000.0,0.0
AACPS9,ACP_c + atp_c + octa_c --> amp_c + ocACP_c + ppi_c,"['Cvel_32060.t1-p1', 'Cvel_2306.t1-p1', 'Cvel_24841.t1-p1', 'Cvel_9659.t1-p1']",1000.0,0.0
ABTA,4abut_c + akg_c --> glu__L_c + sucsal_c,"['Cvel_28730.t1-p1', 'Cvel_22602.t1-p1', 'Cvel_29374.t1-p1', 'Cvel_9480.t1-p1', 'Cvel_17760.t1-p1', 'Cvel_14128', 'Cvel_2821.t1-p1']",1000.0,0.0
ACACT2r,accoa_c + btcoa_c --> 3ohcoa_c + coa_c,"['Cvel_14739.t1-p1', 'Cvel_5796.t1-p1']",1000.0,0.0
ACACT3r,accoa_c + hxcoa_c --> 3oocoa_c + coa_c,"['Cvel_14739.t1-p1', 'Cvel_5796.t1-p1']",1000.0,0.0
ACCOAL,atp_c + coa_c + ppa_c --> adp_c + pi_c + ppcoa_c,"['Cvel_1982.t1-p1', 'Cvel_15325.t1-p1']",1000.0,0.0
ACLS,h_c + 2.0 pyr_c --> alac__S_c + co2_c,"['Cvel_23250.t1-p1', 'Cvel_16307.t1-p1', 'Cvel_15928.t1-p1', 'Cvel_2861.t1-p1', 'Cvel_22789.t1-p1', 'Cvel_19529.t1-p1']",1000.0,0.0
ACOAD1f,btcoa_c + fad_c --> b2coa_c + fadh2_c,"['Cvel_6405.t1-p1', 'Cvel_14129.t1-p1', 'Cvel_9381.t1-p1', 'Cvel_19713.t1-p1', 'Cvel_24840.t1-p1', 'Cvel_34611.t1-p1']",1000.0,0.0
ACOAD7f,fad_c + pmtcoa_c --> fadh2_c + hdd2coa_c,"['Cvel_6405.t1-p1', 'Cvel_14129.t1-p1', 'Cvel_9381.t1-p1', 'Cvel_19713.t1-p1', 'Cvel_24840.t1-p1', 'Cvel_34611.t1-p1']",1000.0,0.0
ACOATA,ACP_c + accoa_c --> acACP_c + coa_c,"['Cvel_32060.t1-p1', 'Cvel_3823.t1-p1', 'Cvel_3910.t1-p1', 'Cvel_25041.t1-p1']",1000.0,0.0
ACOTA,acorn_c + akg_c --> acg5sa_c + glu__L_c,"['Cvel_22602.t1-p1', 'Cvel_21942.t1-p1', 'Cvel_9480.t1-p1', 'Cvel_17408.t1-p1', 'Cvel_2821.t1-p1']",1000.0,0.0
ACPPAT141,h_c + pi_c + tdeACP_c --> ACP_c + ttdceap_c,['Cvel_32060.t1-p1'],1000.0,0.0
ACPPAT161,h_c + hdeACP_c + pi_c --> ACP_c + hdceap_c,['Cvel_32060.t1-p1'],1000.0,0.0
ADCS,chor_c + gln__L_c --> 4adcho_c + glu__L_c,"['Cvel_2631.t1-p1', 'Cvel_20797.t1-p1']",1000.0,0.0
ADNK1,adn_c + atp_c --> adp_c + amp_c + h_c,"['Cvel_11511.t1-p1', 'Cvel_13699', 'Cvel_19810.t1-p1', 'Cvel_13725.t1-p1', 'Cvel_21453.t1-p1', 'Cvel_16171.t1-p1', 'Cvel_24802.t1-p1']",1000.0,0.0
ADNUC,adn_c + h2o_c --> ade_c + rib__D_c,"['Cvel_17676.t1-p1', 'Cvel_19383.t1-p1']",1000.0,0.0
AGPAT180,1odecg3p_c + ocdcaACP_c --> ACP_c + pa180_c,['Cvel_592.t1-p1'],1000.0,0.0
ALATA_L,akg_c + ala__L_c --> glu__L_c + pyr_c,"['Cvel_15617.t1-p1', 'Cvel_20894.t1-p1', 'Cvel_6130.t1-p1', 'Cvel_10193.t1-p1', 'Cvel_26375.t1-p1']",1000.0,0.0
ALATRS,ala__L_c + atp_c + trnaala_c --> alatrna_c + amp_c + ppi_c,"['Cvel_27720.t1-p1', 'Cvel_11640.t1-p1', 'Cvel_21018.t1-p1', 'Cvel_19371.t1-p1']",1000.0,0.0
ALCD2x,etoh_c + nad_c --> acald_c + h_c + nadh_c,"['Cvel_8076.t1-p1', 'Cvel_30834.t1-p1', 'Cvel_10101.t1-p1', 'Cvel_1146.t1-p1', 'Cvel_4060.t1-p1', 'Cvel_16873.t1-p1', 'Cvel_29426.t1-p1', 'Cvel_22780.t1-p1', 'Cvel_17560.t1-p1', 'Cvel_25152.t1-p1']",1000.0,0.0
ALLTAMH,alltt_c + 2.0 h2o_c + 2.0 h_c --> co2_c + 2.0 nh4_c + urdglyc_c,['Cvel_2872.t1-p1'],1000.0,0.0
ANPRT,anth_c + prpp_c --> ppi_c + pran_c,['Cvel_1585.t1-p1'],1000.0,0.0
AP5AH,ap5a_c + h2o_c --> adp_c + atp_c + 2.0 h_c,['Cvel_4925.t1-p1'],1000.0,0.0
ARGSS,asp__L_c + atp_c + citr__L_c --> amp_c + argsuc_c + h_c + ppi_c,"['Cvel_13771.t1-p1', 'Cvel_25076.t1-p1']",1000.0,0.0
ARGTRS,arg__L_c + atp_c + trnaarg_c --> amp_c + argtrna_c + ppi_c,"['Cvel_24660', 'Cvel_22194.t1-p1', 'Cvel_6028', 'Cvel_24639', 'Cvel_3008.t1-p1', 'Cvel_7363.t1-p1']",1000.0,0.0
ASPTA,akg_c + asp__L_c --> glu__L_c + oaa_c,"['Cvel_15617.t1-p1', 'Cvel_20894.t1-p1', 'Cvel_14591.t1-p1', 'Cvel_26067.t1-p1', 'Cvel_10193.t1-p1', 'Cvel_15981.t1-p1', 'Cvel_26375.t1-p1']",1000.0,0.0
ASPTRS,asp__L_c + atp_c + trnaasp_c --> amp_c + asptrna_c + ppi_c,"['Cvel_29834', 'Cvel_4486.t1-p1']",1000.0,0.0
BWCOS,mptamp_c + wco_c --> amp_c + bwco_c + cu2_c,['Cvel_19954.t1-p1'],1000.0,0.0
CBPS,2.0 atp_c + gln__L_c + h2o_c + hco3_c --> 2.0 adp_c + cbp_c + glu__L_c + 2.0 h_c + pi_c,['Cvel_10392.t1-p1'],1000.0,0.0
CFAS180E,2.0 amet_c + pe181_c --> 2.0 ahcys_c + cpe180_c + 2.0 h_c,['Cvel_6959.t1-p1'],1000.0,0.0
CRNDCAL2,atp_c + coa_c + crn__D_c --> adp_c + crnDcoa_c + pi_c,"['Cvel_3410.t1-p1', 'Cvel_10503.t1-p1', 'Cvel_18589.t1-p1', 'Cvel_29002.t1-p1', 'Cvel_9659.t1-p1']",1000.0,0.0
CTECOAI6,tdecoa_c --> td2coa_c,"['Cvel_11620.t1-p1', 'Cvel_6102.t1-p1', 'Cvel_1251.t1-p1', 'Cvel_1340.t1-p1']",1000.0,0.0
DASYN161,ctp_c + h_c + pa161_c --> cdpdhdec9eg_c + ppi_c,"['Cvel_16630.t1-p1', 'Cvel_4068.t1-p1']",1000.0,0.0
DHAD1,23dhmb_c --> 3mob_c + h2o_c,['Cvel_3915.t1-p1'],1000.0,0.0
DHFS,atp_c + dhpt_c + glu__L_c --> adp_c + dhf_c + h_c + pi_c,"['Cvel_4214.t1-p1', 'Cvel_7062.t1-p1']",1000.0,0.0
DPR,2dhp_c + h_c + nadph_c --> nadp_c + pant__R_c,"['Cvel_28537.t1-p1', 'Cvel_21548.t1-p1']",1000.0,0.0
DSERDHr,nadp_c + ser__D_c --> 2amsa_c + h_c + nadph_c,"['Cvel_25571.t1-p1', 'Cvel_21425.t1-p1']",1000.0,0.0
DUTPDP,dutp_c + h2o_c --> dump_c + h_c + ppi_c,"['Cvel_17117.t1-p1', 'Cvel_29847.t1-p1']",1000.0,0.0
DXPRIi,dxyl5p_c + h_c + nadph_c --> 2me4p_c + nadp_c,['Cvel_5503.t1-p1'],1000.0,0.0
E4PD,e4p_c + h2o_c + nad_c --> 4per_c + 2.0 h_c + nadh_c,"['Cvel_5775.t1-p1', 'Cvel_9420.t1-p1']",1000.0,0.0
EAR100x,h_c + nadh_c + tdec2eACP_c --> dcaACP_c + nad_c,"['Cvel_5563.t1-p1', 'Cvel_29925.t1-p1']",1000.0,0.0
EAR120y,h_c + nadph_c + tddec2eACP_c --> ddcaACP_c + nadp_c,['Cvel_5563.t1-p1'],1000.0,0.0
EAR140y,h_c + nadph_c + tmrs2eACP_c --> myrsACP_c + nadp_c,['Cvel_5563.t1-p1'],1000.0,0.0
EAR141x,h_c + nadh_c + t3c7mrseACP_c --> nad_c + tdeACP_c,"['Cvel_5563.t1-p1', 'Cvel_29925.t1-p1']",1000.0,0.0
EAR161y,h_c + nadph_c + t3c9palmeACP_c --> hdeACP_c + nadp_c,['Cvel_5563.t1-p1'],1000.0,0.0
EAR180x,h_c + nadh_c + toctd2eACP_c --> nad_c + ocdcaACP_c,"['Cvel_5563.t1-p1', 'Cvel_29925.t1-p1']",1000.0,0.0
EAR180y,h_c + nadph_c + toctd2eACP_c --> nadp_c + ocdcaACP_c,['Cvel_5563.t1-p1'],1000.0,0.0
EAR181y,h_c + nadph_c + t3c11vaceACP_c --> nadp_c + octeACP_c,['Cvel_5563.t1-p1'],1000.0,0.0
EAR40y,but2eACP_c + h_c + nadph_c --> butACP_c + nadp_c,['Cvel_5563.t1-p1'],1000.0,0.0
EAR80y,h_c + nadph_c + toct2eACP_c --> nadp_c + ocACP_c,['Cvel_5563.t1-p1'],1000.0,0.0
ECOAH1,3hbcoa_c --> b2coa_c + h2o_c,"['Cvel_11620.t1-p1', 'Cvel_6102.t1-p1', 'Cvel_12332.t1-p1', 'Cvel_1340.t1-p1', 'Cvel_1251.t1-p1']",1000.0,0.0
ECOAH2,3hhcoa_c --> h2o_c + hx2coa_c,"['Cvel_11620.t1-p1', 'Cvel_6102.t1-p1', 'Cvel_12332.t1-p1', 'Cvel_1340.t1-p1', 'Cvel_1251.t1-p1']",1000.0,0.0
ECOAH6,3htdcoa_c --> h2o_c + td2coa_c,"['Cvel_11620.t1-p1', 'Cvel_6102.t1-p1', 'Cvel_12332.t1-p1', 'Cvel_1340.t1-p1', 'Cvel_1251.t1-p1']",1000.0,0.0
ECOAH8,3hodcoa_c --> h2o_c + od2coa_c,"['Cvel_11620.t1-p1', 'Cvel_6102.t1-p1', 'Cvel_12332.t1-p1', 'Cvel_1340.t1-p1', 'Cvel_14912.t1-p1', 'Cvel_1251.t1-p1']",1000.0,0.0
EPMEACPR,epmeACP_c + h_c + nadph_c --> nadp_c + pmeACP_c,"['Cvel_5563.t1-p1', 'Cvel_23603']",1000.0,0.0
FA140ACPHi,h2o_c + myrsACP_c --> ACP_c + h_c + ttdca_c,['Cvel_3823.t1-p1'],1000.0,0.0
FA141ACPHi,h2o_c + tdeACP_c --> ACP_c + h_c + ttdcea_c,['Cvel_3823.t1-p1'],1000.0,0.0
FA160ACPHi,h2o_c + palmACP_c --> ACP_c + h_c + hdca_c,['Cvel_3823.t1-p1'],1000.0,0.0
FACOAE160,h2o_c + pmtcoa_c --> coa_c + h_c + hdca_c,['Cvel_5850.t1-p1'],1000.0,0.0
FBA,fdp_c --> dhap_c + g3p_c,['Cvel_24470.t1-p1'],1000.0,0.0
FBP,fdp_c + h2o_c --> f6p_c + pi_c,"['Cvel_4392.t1-p1', 'Cvel_3063.t1-p1', 'Cvel_26172.t1-p1', 'Cvel_4538.t1-p1', 'Cvel_3393.t1-p1', 'Cvel_26261.t1-p1']",1000.0,0.0
FRD2,fum_c + mql8_c --> mqn8_c + succ_c,"['Cvel_16668.t1-p1', 'Cvel_22763.t1-p1', 'Cvel_10039.t1-p1']",1000.0,0.0
FRD3,2dmmql8_c + fum_c --> 2dmmq8_c + succ_c,"['Cvel_16668.t1-p1', 'Cvel_22763.t1-p1', 'Cvel_10039.t1-p1']",1000.0,0.0
FUM,fum_c + h2o_c --> mal__L_c,"['Cvel_7908.t1-p1', 'Cvel_104.t1-p1']",1000.0,0.0
G3PAT141,glyc3p_c + tdeACP_c --> 1tdec7eg3p_c + ACP_c,"['Cvel_9000.t1-p1', 'Cvel_32060.t1-p1']",1000.0,0.0
G3PAT180,glyc3p_c + ocdcaACP_c --> 1odecg3p_c + ACP_c,"['Cvel_9000.t1-p1', 'Cvel_32060.t1-p1']",1000.0,0.0
GDMANE,gdpddman_c --> gdpofuc_c,['Cvel_24796.t1-p1'],1000.0,0.0
GLCP,glycogen_c + pi_c --> g1p_c,"['Cvel_4205.t1-p1', 'Cvel_18721.t1-p1', 'Cvel_22229.t1-p1', 'Cvel_9931.t1-p1']",1000.0,0.0
GLNS,atp_c + glu__L_c + nh4_c --> adp_c + gln__L_c + h_c + pi_c,['Cvel_26302.t1-p1'],1000.0,0.0
GLUSy,akg_c + gln__L_c + h_c + nadph_c --> 2.0 glu__L_c + nadp_c,"['Cvel_5785.t1-p1', 'Cvel_36465.t1-p1', 'Cvel_8240.t1-p1', 'Cvel_30583.t1-p1', 'Cvel_33731', 'Cvel_27772.t1-p1', 'Cvel_3850.t1-p1', 'Cvel_8300.t1-p1']",1000.0,0.0
GLUTRS,atp_c + glu__L_c + trnaglu_c --> amp_c + glutrna_c + ppi_c,"['Cvel_31597.t1-p1', 'Cvel_874.t1-p1']",1000.0,0.0
GLYCDx,glyc_c + nad_c --> dha_c + h_c + nadh_c,['Cvel_1915.t1-p1'],1000.0,0.0
GLYCL,gly_c + nad_c + thf_c --> co2_c + mlthf_c + nadh_c + nh4_c,"['Cvel_20601.t1-p1', 'Cvel_28152.t1-p1', 'Cvel_30900.t1-p1', 'Cvel_12729.t1-p1', 'Cvel_1172.t1-p1', 'Cvel_22994.t1-p1']",1000.0,0.0
GLYCTO3,glyclt_c + mqn8_c --> glx_c + mql8_c,"['Cvel_20317.t1-p1', 'Cvel_6082.t1-p1', 'Cvel_25550.t1-p1']",1000.0,0.0
