reaction ids,reaction formulas,genes,upper_bounds,lower_bounds
2AGPGAT120,2agpg120_c + atp_c + ddca_c --> amp_c + pg120_c + ppi_c,['EBH_0043580-t26_1-p1'],1000.0,0.0
2AGPGAT141,2agpg141_c + atp_c + ttdcea_c --> amp_c + pg141_c + ppi_c,['EBH_0043580-t26_1-p1'],1000.0,0.0
2AGPGAT180,2agpg180_c + atp_c + ocdca_c --> amp_c + pg180_c + ppi_c,['EBH_0043580-t26_1-p1'],1000.0,0.0
3OAS140,ddcaACP_c + h_c + malACP_c --> 3omrsACP_c + ACP_c + co2_c,"['EBH_0085870-t26_1-p1', 'EBH_0017680-t26_1-p1', 'EBH_0028320-t26_1-p1']",1000.0,0.0
3OAS161,h_c + malACP_c + tdeACP_c --> 3ocpalm9eACP_c + ACP_c + co2_c,"['EBH_0085870-t26_1-p1', 'EBH_0028320-t26_1-p1']",1000.0,0.0
AACPS5,ACP_c + atp_c + ocdcea_c --> amp_c + octeACP_c + ppi_c,['EBH_0043580-t26_1-p1'],1000.0,0.0
AACPS6,ACP_c + atp_c + ocdca_c --> amp_c + ocdcaACP_c + ppi_c,['EBH_0043580-t26_1-p1'],1000.0,0.0
AACPS9,ACP_c + atp_c + octa_c --> amp_c + ocACP_c + ppi_c,['EBH_0043580-t26_1-p1'],1000.0,0.0
ACACT2r,accoa_c + btcoa_c --> 3ohcoa_c + coa_c,['EBH_0020670-t26_1-p1'],1000.0,0.0
ACACT3r,accoa_c + hxcoa_c --> 3oocoa_c + coa_c,['EBH_0020670-t26_1-p1'],1000.0,0.0
ACCOAL,atp_c + coa_c + ppa_c --> adp_c + pi_c + ppcoa_c,['EBH_0087110-t26_1-p1'],1000.0,0.0
ACOATA,ACP_c + accoa_c --> acACP_c + coa_c,"['EBH_0085870-t26_1-p1', 'EBH_0017680-t26_1-p1', 'EBH_0028320-t26_1-p1']",1000.0,0.0
ADNK1,adn_c + atp_c --> adp_c + amp_c + h_c,['EBH_0003720-t26_1-p1'],1000.0,0.0
ALATA_L,akg_c + ala__L_c --> glu__L_c + pyr_c,['EBH_0063060-t26_1-p1'],1000.0,0.0
ALATRS,ala__L_c + atp_c + trnaala_c --> alatrna_c + amp_c + ppi_c,['EBH_0006660-t26_1-p1'],1000.0,0.0
ALCD2x,etoh_c + nad_c --> acald_c + h_c + nadh_c,['EBH_0007030-t26_1-p1'],1000.0,0.0
ASPTA,akg_c + asp__L_c --> glu__L_c + oaa_c,['EBH_0068310-t26_1-p1'],1000.0,0.0
ASPTRS,asp__L_c + atp_c + trnaasp_c --> amp_c + asptrna_c + ppi_c,['EBH_0054400-t26_1-p1'],1000.0,0.0
CTECOAI6,tdecoa_c --> td2coa_c,['EBH_0024580-t26_1-p1'],1000.0,0.0
DHFS,atp_c + dhpt_c + glu__L_c --> adp_c + dhf_c + h_c + pi_c,"['EBH_0004060-t26_1-p1', 'EBH_0055820-t26_1-p1']",1000.0,0.0
DUTPDP,dutp_c + h2o_c --> dump_c + h_c + ppi_c,['EBH_0024040-t26_1-p1'],1000.0,0.0
E4PD,e4p_c + h2o_c + nad_c --> 4per_c + 2.0 h_c + nadh_c,['EBH_0038970-t26_1-p1'],1000.0,0.0
EAR100x,h_c + nadh_c + tdec2eACP_c --> dcaACP_c + nad_c,['EBH_0037580-t26_1-p1'],1000.0,0.0
EAR120y,h_c + nadph_c + tddec2eACP_c --> ddcaACP_c + nadp_c,['EBH_0037580-t26_1-p1'],1000.0,0.0
EAR140y,h_c + nadph_c + tmrs2eACP_c --> myrsACP_c + nadp_c,['EBH_0037580-t26_1-p1'],1000.0,0.0
EAR141x,h_c + nadh_c + t3c7mrseACP_c --> nad_c + tdeACP_c,['EBH_0037580-t26_1-p1'],1000.0,0.0
EAR161y,h_c + nadph_c + t3c9palmeACP_c --> hdeACP_c + nadp_c,['EBH_0037580-t26_1-p1'],1000.0,0.0
EAR180x,h_c + nadh_c + toctd2eACP_c --> nad_c + ocdcaACP_c,['EBH_0037580-t26_1-p1'],1000.0,0.0
EAR180y,h_c + nadph_c + toctd2eACP_c --> nadp_c + ocdcaACP_c,['EBH_0037580-t26_1-p1'],1000.0,0.0
EAR181y,h_c + nadph_c + t3c11vaceACP_c --> nadp_c + octeACP_c,['EBH_0037580-t26_1-p1'],1000.0,0.0
EAR40y,but2eACP_c + h_c + nadph_c --> butACP_c + nadp_c,['EBH_0037580-t26_1-p1'],1000.0,0.0
EAR80y,h_c + nadph_c + toct2eACP_c --> nadp_c + ocACP_c,['EBH_0037580-t26_1-p1'],1000.0,0.0
ECOAH1,3hbcoa_c --> b2coa_c + h2o_c,['EBH_0024580-t26_1-p1'],1000.0,0.0
ECOAH2,3hhcoa_c --> h2o_c + hx2coa_c,['EBH_0024580-t26_1-p1'],1000.0,0.0
ECOAH6,3htdcoa_c --> h2o_c + td2coa_c,['EBH_0024580-t26_1-p1'],1000.0,0.0
ECOAH8,3hodcoa_c --> h2o_c + od2coa_c,['EBH_0024580-t26_1-p1'],1000.0,0.0
EPMEACPR,epmeACP_c + h_c + nadph_c --> nadp_c + pmeACP_c,['EBH_0037580-t26_1-p1'],1000.0,0.0
FBP,fdp_c + h2o_c --> f6p_c + pi_c,"['EBH_0053090-t26_1-p1', 'EBH_0038790-t26_1-p1', 'EBH_0063980-t26_1-p1']",1000.0,0.0
