reaction ids,reaction formulas,genes,upper_bounds,lower_bounds
2AGPGAT120,2agpg120_c + atp_c + ddca_c --> amp_c + pg120_c + ppi_c,['ECANGB1_2528-t39_1-p1'],1000.0,0.0
2AGPGAT141,2agpg141_c + atp_c + ttdcea_c --> amp_c + pg141_c + ppi_c,['ECANGB1_2528-t39_1-p1'],1000.0,0.0
2AGPGAT180,2agpg180_c + atp_c + ocdca_c --> amp_c + pg180_c + ppi_c,['ECANGB1_2528-t39_1-p1'],1000.0,0.0
AACPS5,ACP_c + atp_c + ocdcea_c --> amp_c + octeACP_c + ppi_c,['ECANGB1_2528-t39_1-p1'],1000.0,0.0
AACPS6,ACP_c + atp_c + ocdca_c --> amp_c + ocdcaACP_c + ppi_c,['ECANGB1_2528-t39_1-p1'],1000.0,0.0
AACPS9,ACP_c + atp_c + octa_c --> amp_c + ocACP_c + ppi_c,['ECANGB1_2528-t39_1-p1'],1000.0,0.0
ADNK1,adn_c + atp_c --> adp_c + amp_c + h_c,['ECANGB1_2091-t39_1-p1'],1000.0,0.0
ALATRS,ala__L_c + atp_c + trnaala_c --> alatrna_c + amp_c + ppi_c,['ECANGB1_702-t39_1-p1'],1000.0,0.0
ARGTRS,arg__L_c + atp_c + trnaarg_c --> amp_c + argtrna_c + ppi_c,['ECANGB1_2458-t39_1-p1'],1000.0,0.0
ASPTRS,asp__L_c + atp_c + trnaasp_c --> amp_c + asptrna_c + ppi_c,['ECANGB1_630-t39_1-p1'],1000.0,0.0
DASYN161,ctp_c + h_c + pa161_c --> cdpdhdec9eg_c + ppi_c,['ECANGB1_306-t39_1-p1'],1000.0,0.0
DUTPDP,dutp_c + h2o_c --> dump_c + h_c + ppi_c,"['ECANGB1_2515-t39_1-p1', 'ECANGB1_2196-t39_1-p1']",1000.0,0.0
E4PD,e4p_c + h2o_c + nad_c --> 4per_c + 2.0 h_c + nadh_c,['ECANGB1_38-t39_1-p1'],1000.0,0.0
GLUTRS,atp_c + glu__L_c + trnaglu_c --> amp_c + glutrna_c + ppi_c,['ECANGB1_705-t39_1-p1'],1000.0,0.0
GTHOr,gthox_c + h_c + nadph_c --> 2.0 gthrd_c + nadp_c,"['ECANGB1_2601', 'ECANGB1_312-t39_1-p1']",1000.0,0.0
I4FE4ST,4.0 h_c + iscu_4fe4s_c --> 4fe4s_c + iscu_c,['ECANGB1_2338-t39_1-p1'],1000.0,0.0
LYSTRS,atp_c + lys__L_c + trnalys_c --> amp_c + lystrna_c + ppi_c,"['ECANGB1_1108-t39_1-p1', 'ECANGB1_630-t39_1-p1']",1000.0,0.0
MAN1PT2,gdp_c + h_c + man1p_c --> gdpmann_c + pi_c,['ECANGB1_1659-t39_1-p1'],1000.0,0.0
MOADSUx,iscssh_c + moadamp_c + nadh_c --> amp_c + iscs_c + moadcosh_c + nad_c,['ECANGB1_1802-t39_1-p1'],1000.0,0.0
NDPK3,atp_c + cdp_c --> adp_c + ctp_c,"['ECANGB1_1656-t39_1-p1', 'ECANGB1_2091-t39_1-p1']",1000.0,0.0
NDPK5,atp_c + dgdp_c --> adp_c + dgtp_c,"['ECANGB1_1656-t39_1-p1', 'ECANGB1_2091-t39_1-p1']",1000.0,0.0
NDPK6,atp_c + dudp_c --> adp_c + dutp_c,"['ECANGB1_1656-t39_1-p1', 'ECANGB1_2091-t39_1-p1']",1000.0,0.0
NTP1,atp_c + h2o_c --> adp_c + h_c + pi_c,"['ECANGB1_757-t39_1-p1', 'ECANGB1_2247-t39_1-p1', 'ECANGB1_958-t39_1-p1']",1000.0,0.0
PANTS,ala_B_c + atp_c + pant__R_c --> amp_c + h_c + pnto__R_c + ppi_c,['ECANGB1_2447-t39_1-p1'],1000.0,0.0
PNTK,atp_c + pnto__R_c --> 4ppan_c + adp_c + h_c,['ECANGB1_1765-t39_1-p1'],1000.0,0.0
RNDR3,cdp_c + trdrd_c --> dcdp_c + h2o_c + trdox_c,"['ECANGB1_1552-t39_1-p1', 'ECANGB1_2431-t39_1-p1', 'ECANGB1_235-t39_1-p1']",1000.0,0.0
THFAT,h2o_c + methf_c --> 5fthf_c + h_c,['ECANGB1_1839-t39_1-p1'],1000.0,0.0
TRDR,h_c + nadph_c + trdox_c --> nadp_c + trdrd_c,['ECANGB1_2444-t39_1-p1'],1000.0,0.0
VALTRS,atp_c + trnaval_c + val__L_c --> amp_c + ppi_c + valtrna_c,"['ECANGB1_2254-t39_1-p1', 'ECANGB1_636-t39_1-p1']",1000.0,0.0
THZPSN,atp_c + cys__L_c + dxyl5p_c + tyr__L_c --> 4hba_c + 4mpetz_c + ala__L_c + amp_c + co2_c + h2o_c + h_c + ppi_c,"['ECANGB1_1802-t39_1-p1', 'ECANGB1_633-t39_1-p1']",1000.0,0.0
CHTNS,udpacgal_c --> chitin_c + h_c + udp_c,['ECANGB1_1954-t39_1-p1'],1000.0,0.0
ERGSTt,ergst_e --> ergst_c,['ECANGB1_2072-t39_1-p1'],1000.0,0.0
FACOAL180,atp_c + coa_c + ocdca_c --> amp_c + ppi_c + stcoa_c,['ECANGB1_2528-t39_1-p1'],1000.0,0.0
H2Ot,h2o_e --> h2o_c,"['spontaneous', 'ECANGB1_2176-t39_1-p1']",1000.0,0.0
PI35BP5P_SC,h2o_c + 0.01 ptd135bp_SC_c --> pi_c + 0.01 ptd3ino_SC_c,['ECANGB1_1120-t39_1-p1'],1000.0,0.0
PIN3K_SC,atp_c + 0.01 ptd1ino_SC_c --> adp_c + h_c + 0.01 ptd3ino_SC_c,['ECANGB1_1779-t39_1-p1'],1000.0,0.0
ZYMSTt,zymst_e --> zymst_c,['ECANGB1_2072-t39_1-p1'],1000.0,0.0
SULabc,atp_c + h2o_c + so4_e --> adp_c + h_c + pi_c + so4_c,['ECANGB1_2072-t39_1-p1'],1000.0,0.0
ARABDI,arab__D_c --> rbl__D_c,['ECANGB1_2438-t39_1-p1'],1000.0,0.0
DASYN_HP,ctp_c + h_c + pa_Hp_c --> cdpdag_HP_c + ppi_c,['ECANGB1_306-t39_1-p1'],1000.0,0.0
TSULabc,atp_c + h2o_c + tsul_e --> adp_c + h_c + pi_c + tsul_c,['ECANGB1_2072-t39_1-p1'],1000.0,0.0
ARGabc,arg__L_e + atp_c + h2o_c --> adp_c + arg__L_c + h_c + pi_c,['ECANGB1_2072-t39_1-p1'],1000.0,0.0
METDabc,atp_c + h2o_c + met__D_e --> adp_c + h_c + met__D_c + pi_c,['ECANGB1_2072-t39_1-p1'],1000.0,0.0
DASYN181_9,ctp_c + h_c + pa181_9_c --> cdpdodec9eg_c + ppi_c,['ECANGB1_306-t39_1-p1'],1000.0,0.0
DASYN182_9_12,ctp_c + h_c + pa182_9_12_c --> cdpdodec912eg_c + ppi_c,['ECANGB1_306-t39_1-p1'],1000.0,0.0
DASYN184_6_9_12_15,ctp_c + h_c + pa184_6_9_12_15_c --> cdpdodec691215eg_c + ppi_c,['ECANGB1_306-t39_1-p1'],1000.0,0.0
DGDG161,mgdg161_c + udpgal_c --> dgdg161_c + udp_c,['ECANGB1_2486-t39_1-p1'],1000.0,0.0
DGDG180,mgdg180_c + udpgal_c --> dgdg180_c + udp_c,['ECANGB1_2486-t39_1-p1'],1000.0,0.0
DGDG181,mgdg181_c + udpgal_c --> dgdg181_c + udp_c,['ECANGB1_2486-t39_1-p1'],1000.0,0.0
MGDG160,12dgr160_c + udpgal_c --> h_c + mgdg160_c + udp_c,['ECANGB1_2486-t39_1-p1'],1000.0,0.0
MGDG180,12dgr180_c + udpgal_c --> h_c + mgdg180_c + udp_c,['ECANGB1_2486-t39_1-p1'],1000.0,0.0
MGDG181_9,12dgr181_9_c + udpgal_c --> h_c + mgdg181_9_c + udp_c,['ECANGB1_2486-t39_1-p1'],1000.0,0.0
MGDG183_9_12_15,12dgr183_9_12_15_c + udpgal_c --> h_c + mgdg183_9_12_15_c + udp_c,['ECANGB1_2486-t39_1-p1'],1000.0,0.0
CYTDK1,atp_c + cytd_c --> adp_c + cmp_c + h_c,['ECANGB1_1765-t39_1-p1'],1000.0,0.0
FACOAL1821,atp_c + coa_c + lnlc_c --> amp_c + lnlccoa_c + ppi_c,['ECANGB1_2528-t39_1-p1'],1000.0,0.0
GRTT2,3hgrdp_c + ipdp_c --> 3hfrdp_c + ppi_c,['ECANGB1_1504-t39_1-p1'],1000.0,0.0
