reaction ids,reaction formulas,genes,upper_bounds,lower_bounds
2AGPGAT120,2agpg120_c + atp_c + ddca_c --> amp_c + pg120_c + ppi_c,"['EHI7A_102110-t26_1-p1', 'EHI7A_040940-t26_1-p1', 'EHI7A_176350-t26_1-p1']",1000.0,0.0
2AGPGAT141,2agpg141_c + atp_c + ttdcea_c --> amp_c + pg141_c + ppi_c,"['EHI7A_102110-t26_1-p1', 'EHI7A_176350-t26_1-p1', 'EHI7A_040940-t26_1-p1']",1000.0,0.0
2AGPGAT180,2agpg180_c + atp_c + ocdca_c --> amp_c + pg180_c + ppi_c,"['EHI7A_102110-t26_1-p1', 'EHI7A_040940-t26_1-p1', 'EHI7A_176350-t26_1-p1']",1000.0,0.0
3OAR120,3oddecACP_c + h_c + nadph_c --> 3hddecACP_c + nadp_c,"['EHI7A_033190-t26_1-p1', 'EHI7A_078810-t26_1-p1', 'EHI7A_151770-t26_1-p1', 'EHI7A_047420-t26_1-p1', 'EHI7A_054290-t26_1-p1']",1000.0,0.0
3OAR141,3ocmrs7eACP_c + h_c + nadph_c --> 3hcmrs7eACP_c + nadp_c,"['EHI7A_033190-t26_1-p1', 'EHI7A_078810-t26_1-p1', 'EHI7A_151770-t26_1-p1', 'EHI7A_047420-t26_1-p1', 'EHI7A_054290-t26_1-p1']",1000.0,0.0
3OAR161,3ocpalm9eACP_c + h_c + nadph_c --> 3hcpalm9eACP_c + nadp_c,"['EHI7A_033190-t26_1-p1', 'EHI7A_078810-t26_1-p1', 'EHI7A_151770-t26_1-p1', 'EHI7A_047420-t26_1-p1', 'EHI7A_054290-t26_1-p1']",1000.0,0.0
3OAS140,ddcaACP_c + h_c + malACP_c --> 3omrsACP_c + ACP_c + co2_c,['EHI7A_079790-t26_1-p1'],1000.0,0.0
3OAS161,h_c + malACP_c + tdeACP_c --> 3ocpalm9eACP_c + ACP_c + co2_c,['EHI7A_079790-t26_1-p1'],1000.0,0.0
5DOAN,dad_5_c + h2o_c --> 5drib_c + ade_c,['EHI7A_053060-t26_1-p1'],1000.0,0.0
AACPS5,ACP_c + atp_c + ocdcea_c --> amp_c + octeACP_c + ppi_c,"['EHI7A_102110-t26_1-p1', 'EHI7A_040940-t26_1-p1', 'EHI7A_176350-t26_1-p1']",1000.0,0.0
AACPS6,ACP_c + atp_c + ocdca_c --> amp_c + ocdcaACP_c + ppi_c,"['EHI7A_102110-t26_1-p1', 'EHI7A_176350-t26_1-p1', 'EHI7A_040940-t26_1-p1']",1000.0,0.0
AACPS9,ACP_c + atp_c + octa_c --> amp_c + ocACP_c + ppi_c,"['EHI7A_102110-t26_1-p1', 'EHI7A_040940-t26_1-p1', 'EHI7A_176350-t26_1-p1']",1000.0,0.0
ACCOAL,atp_c + coa_c + ppa_c --> adp_c + pi_c + ppcoa_c,"['EHI7A_036580-t26_1-p1', 'EHI7A_117210-t26_1-p1', 'EHI7A_108280-t26_1-p1']",1000.0,0.0
ACOATA,ACP_c + accoa_c --> acACP_c + coa_c,"['EHI7A_082370-t26_1-p1', 'EHI7A_079790-t26_1-p1']",1000.0,0.0
ACODA,acorn_c + h2o_c --> ac_c + orn_c,"['EHI7A_188140', 'EHI7A_145260', 'EHI7A_189510-t26_1-p1']",1000.0,0.0
ACONMT,acon_T_c + amet_c --> aconm_c + ahcys_c,['EHI7A_152640-t26_1-p1'],1000.0,0.0
ADNK1,adn_c + atp_c --> adp_c + amp_c + h_c,"['EHI7A_018950-t26_1-p1', 'EHI7A_057040-t26_1-p1']",1000.0,0.0
ADNUC,adn_c + h2o_c --> ade_c + rib__D_c,['EHI7A_200280-t26_1-p1'],1000.0,0.0
ALATA_L,akg_c + ala__L_c --> glu__L_c + pyr_c,"['EHI7A_017830-t26_1-p1', 'EHI7A_108530-t26_1-p1', 'EHI7A_051410-t26_1-p1']",1000.0,0.0
ALATRS,ala__L_c + atp_c + trnaala_c --> alatrna_c + amp_c + ppi_c,['EHI7A_059310-t26_1-p1'],1000.0,0.0
ALCD2x,etoh_c + nad_c --> acald_c + h_c + nadh_c,"['EHI7A_107300-t26_1-p1', 'EHI7A_198240-t26_1-p1', 'EHI7A_198850-t26_1-p1', 'EHI7A_076710-t26_1-p1', 'EHI7A_086570-t26_1-p1', 'EHI7A_026130-t26_1-p1']",1000.0,0.0
AP5AH,ap5a_c + h2o_c --> adp_c + atp_c + 2.0 h_c,['EHI7A_143540-t26_1-p1'],1000.0,0.0
ARGTRS,arg__L_c + atp_c + trnaarg_c --> amp_c + argtrna_c + ppi_c,['EHI7A_003310-t26_1-p1'],1000.0,0.0
ASPTA,akg_c + asp__L_c --> glu__L_c + oaa_c,"['EHI7A_017830-t26_1-p1', 'EHI7A_051410-t26_1-p1']",1000.0,0.0
ASPTRS,asp__L_c + atp_c + trnaasp_c --> amp_c + asptrna_c + ppi_c,['EHI7A_022480-t26_1-p1'],1000.0,0.0
CRNDCAL2,atp_c + coa_c + crn__D_c --> adp_c + crnDcoa_c + pi_c,"['EHI7A_102110-t26_1-p1', 'EHI7A_117210-t26_1-p1']",1000.0,0.0
DASYN161,ctp_c + h_c + pa161_c --> cdpdhdec9eg_c + ppi_c,['EHI7A_128490-t26_1-p1'],1000.0,0.0
DSERDHr,nadp_c + ser__D_c --> 2amsa_c + h_c + nadph_c,"['EHI7A_052160-t26_1-p1', 'EHI7A_063040-t26_1-p1']",1000.0,0.0
DURIK1,atp_c + duri_c --> adp_c + dump_c + h_c,['EHI7A_018450-t26_1-p1'],1000.0,0.0
DUTPDP,dutp_c + h2o_c --> dump_c + h_c + ppi_c,['EHI7A_106570-t26_1-p1'],1000.0,0.0
FBP,fdp_c + h2o_c --> f6p_c + pi_c,['EHI7A_131350-t26_1-p1'],1000.0,0.0
FUM,fum_c + h2o_c --> mal__L_c,['EHI7A_060150-t26_1-p1'],1000.0,0.0
G1PACT,accoa_c + gam1p_c --> acgam1p_c + coa_c + h_c,['EHI7A_051430-t26_1-p1'],1000.0,0.0
GLCP,glycogen_c + pi_c --> g1p_c,"['EHI7A_165570-t26_1-p1', 'EHI7A_186250-t26_1-p1', 'EHI7A_190430-t26_1-p1']",1000.0,0.0
GLNS,atp_c + glu__L_c + nh4_c --> adp_c + gln__L_c + h_c + pi_c,"['EHI7A_101260-t26_1-p1', 'EHI7A_058720-t26_1-p1']",1000.0,0.0
GLUSy,akg_c + gln__L_c + h_c + nadph_c --> 2.0 glu__L_c + nadp_c,['EHI7A_202860-t26_1-p1'],1000.0,0.0
GLUTRS,atp_c + glu__L_c + trnaglu_c --> amp_c + glutrna_c + ppi_c,['EHI7A_056490-t26_1-p1'],1000.0,0.0
GLYCK2,atp_c + glyc__R_c --> 2pg_c + adp_c + h_c,['EHI7A_149140-t26_1-p1'],1000.0,0.0
GMHEPAT,atp_c + gmhep1p_c + h_c --> adphep_DD_c + ppi_c,['EHI7A_087790-t26_1-p1'],1000.0,0.0
GPDDA2,g3pe_c + h2o_c --> etha_c + glyc3p_c + h_c,"['EHI7A_180410-t26_1-p1', 'EHI7A_107410-t26_1-p1', 'EHI7A_029270-t26_1-p1', 'EHI7A_116740-t26_1-p1']",1000.0,0.0
GPDDA3,g3ps_c + h2o_c --> glyc3p_c + h_c + ser__L_c,"['EHI7A_029270-t26_1-p1', 'EHI7A_116740-t26_1-p1']",1000.0,0.0
I4FE4ST,4.0 h_c + iscu_4fe4s_c --> 4fe4s_c + iscu_c,"['EHI7A_036130-t26_1-p1', 'EHI7A_017660-t26_1-p1']",1000.0,0.0
ILETA,akg_c + ile__L_c --> 3mop_c + glu__L_c,['EHI7A_074510-t26_1-p1'],1000.0,0.0
L_LACD3,lac__L_c + mqn8_c --> mql8_c + pyr_c,['EHI7A_005160-t26_1-p1'],1000.0,0.0
LCADi,h2o_c + lald__L_c + nad_c --> 2.0 h_c + lac__L_c + nadh_c,"['EHI7A_063350-t26_1-p1', 'EHI7A_107300-t26_1-p1']",1000.0,0.0
LYSTRS,atp_c + lys__L_c + trnalys_c --> amp_c + lystrna_c + ppi_c,['EHI7A_109900-t26_1-p1'],1000.0,0.0
MACPD,h_c + malACP_c --> acACP_c + co2_c,['EHI7A_079790-t26_1-p1'],1000.0,0.0
MAN1PT2,gdp_c + h_c + man1p_c --> gdpmann_c + pi_c,['EHI7A_054110-t26_1-p1'],1000.0,0.0
ME1,mal__L_c + nad_c --> co2_c + nadh_c + pyr_c,['EHI7A_118190-t26_1-p1'],1000.0,0.0
METAT,atp_c + h2o_c + met__L_c --> amet_c + pi_c + ppi_c,['EHI7A_175400-t26_1-p1'],1000.0,0.0
MLTG5,h2o_c + malthp_c --> glc__D_c + malthx_c,"['EHI7A_041130-t26_1-p1', 'EHI7A_116600-t26_1-p1', 'EHI7A_128730-t26_1-p1']",1000.0,0.0
