reaction ids,reaction formulas,genes,upper_bounds,lower_bounds
2AGPGAT120,2agpg120_c + atp_c + ddca_c --> amp_c + pg120_c + ppi_c,"['EHI8A_108850-t26_1-p1', 'EHI8A_199710-t26_1-p1', 'EHI8A_037350-t26_1-p1']",1000.0,0.0
2AGPGAT141,2agpg141_c + atp_c + ttdcea_c --> amp_c + pg141_c + ppi_c,"['EHI8A_108850-t26_1-p1', 'EHI8A_037350-t26_1-p1', 'EHI8A_199710-t26_1-p1']",1000.0,0.0
2AGPGAT180,2agpg180_c + atp_c + ocdca_c --> amp_c + pg180_c + ppi_c,"['EHI8A_108850-t26_1-p1', 'EHI8A_199710-t26_1-p1', 'EHI8A_037350-t26_1-p1']",1000.0,0.0
3OAR120,3oddecACP_c + h_c + nadph_c --> 3hddecACP_c + nadp_c,"['EHI8A_057210-t26_1-p1', 'EHI8A_080090-t26_1-p1', 'EHI8A_049290-t26_1-p1', 'EHI8A_030330-t26_1-p1']",1000.0,0.0
3OAR141,3ocmrs7eACP_c + h_c + nadph_c --> 3hcmrs7eACP_c + nadp_c,"['EHI8A_057210-t26_1-p1', 'EHI8A_080090-t26_1-p1', 'EHI8A_049290-t26_1-p1', 'EHI8A_030330-t26_1-p1']",1000.0,0.0
3OAR161,3ocpalm9eACP_c + h_c + nadph_c --> 3hcpalm9eACP_c + nadp_c,"['EHI8A_057210-t26_1-p1', 'EHI8A_080090-t26_1-p1', 'EHI8A_049290-t26_1-p1', 'EHI8A_030330-t26_1-p1']",1000.0,0.0
3OAS140,ddcaACP_c + h_c + malACP_c --> 3omrsACP_c + ACP_c + co2_c,['EHI8A_082020-t26_1-p1'],1000.0,0.0
3OAS161,h_c + malACP_c + tdeACP_c --> 3ocpalm9eACP_c + ACP_c + co2_c,['EHI8A_082020-t26_1-p1'],1000.0,0.0
5DOAN,dad_5_c + h2o_c --> 5drib_c + ade_c,['EHI8A_017470-t26_1-p1'],1000.0,0.0
AACPS5,ACP_c + atp_c + ocdcea_c --> amp_c + octeACP_c + ppi_c,"['EHI8A_108850-t26_1-p1', 'EHI8A_199710-t26_1-p1', 'EHI8A_037350-t26_1-p1']",1000.0,0.0
AACPS6,ACP_c + atp_c + ocdca_c --> amp_c + ocdcaACP_c + ppi_c,"['EHI8A_108850-t26_1-p1', 'EHI8A_199710-t26_1-p1', 'EHI8A_037350-t26_1-p1']",1000.0,0.0
AACPS9,ACP_c + atp_c + octa_c --> amp_c + ocACP_c + ppi_c,"['EHI8A_108850-t26_1-p1', 'EHI8A_037350-t26_1-p1', 'EHI8A_199710-t26_1-p1']",1000.0,0.0
ACCOAL,atp_c + coa_c + ppa_c --> adp_c + pi_c + ppcoa_c,"['EHI8A_116640-t26_1-p1', 'EHI8A_126630-t26_1-p1', 'EHI8A_023700-t26_1-p1']",1000.0,0.0
ACLS,h_c + 2.0 pyr_c --> alac__S_c + co2_c,['EHI8A_206230-t26_1-p1'],1000.0,0.0
ACOATA,ACP_c + accoa_c --> acACP_c + coa_c,"['EHI8A_084970-t26_1-p1', 'EHI8A_082020-t26_1-p1']",1000.0,0.0
ACODA,acorn_c + h2o_c --> ac_c + orn_c,"['EHI8A_218980', 'EHI8A_220140-t26_1-p1', 'EHI8A_164390']",1000.0,0.0
ACONMT,acon_T_c + amet_c --> aconm_c + ahcys_c,['EHI8A_171750-t26_1-p1'],1000.0,0.0
ADNK1,adn_c + atp_c --> adp_c + amp_c + h_c,"['EHI8A_060050-t26_1-p1', 'EHI8A_014860-t26_1-p1']",1000.0,0.0
ADNUC,adn_c + h2o_c --> ade_c + rib__D_c,['EHI8A_238130-t26_1-p1'],1000.0,0.0
AGt3,ag_c + h_e --> ag_e + h_c,['EHI8A_115030-t26_1-p1'],1000.0,0.0
ALATA_L,akg_c + ala__L_c --> glu__L_c + pyr_c,"['EHI8A_038960-t26_1-p1', 'EHI8A_051100-t26_1-p1', 'EHI8A_113700-t26_1-p1']",1000.0,0.0
ALATRS,ala__L_c + atp_c + trnaala_c --> alatrna_c + amp_c + ppi_c,['EHI8A_151390-t26_1-p1'],1000.0,0.0
ALCD2x,etoh_c + nad_c --> acald_c + h_c + nadh_c,"['EHI8A_023010-t26_1-p1', 'EHI8A_114570-t26_1-p1', 'EHI8A_090460-t26_1-p1', 'EHI8A_086570-t26_1-p1', 'EHI8A_215180-t26_1-p1']",1000.0,0.0
AP5AH,ap5a_c + h2o_c --> adp_c + atp_c + 2.0 h_c,['EHI8A_161040-t26_1-p1'],1000.0,0.0
ARGTRS,arg__L_c + atp_c + trnaarg_c --> amp_c + argtrna_c + ppi_c,['EHI8A_021980-t26_1-p1'],1000.0,0.0
ASPTA,akg_c + asp__L_c --> glu__L_c + oaa_c,"['EHI8A_038960-t26_1-p1', 'EHI8A_051100-t26_1-p1']",1000.0,0.0
ASPTRS,asp__L_c + atp_c + trnaasp_c --> amp_c + asptrna_c + ppi_c,['EHI8A_027690-t26_1-p1'],1000.0,0.0
CRNDCAL2,atp_c + coa_c + crn__D_c --> adp_c + crnDcoa_c + pi_c,"['EHI8A_108850-t26_1-p1', 'EHI8A_126630-t26_1-p1']",1000.0,0.0
CTECOAI6,tdecoa_c --> td2coa_c,['EHI8A_034480-t26_1-p1'],1000.0,0.0
DASYN161,ctp_c + h_c + pa161_c --> cdpdhdec9eg_c + ppi_c,['EHI8A_177550-t26_1-p1'],1000.0,0.0
DSERDHr,nadp_c + ser__D_c --> 2amsa_c + h_c + nadph_c,"['EHI8A_051710-t26_1-p1', 'EHI8A_068940-t26_1-p1']",1000.0,0.0
DURIK1,atp_c + duri_c --> adp_c + dump_c + h_c,['EHI8A_017290-t26_1-p1'],1000.0,0.0
FBP,fdp_c + h2o_c --> f6p_c + pi_c,['EHI8A_056440-t26_1-p1'],1000.0,0.0
FUM,fum_c + h2o_c --> mal__L_c,['EHI8A_063060-t26_1-p1'],1000.0,0.0
G1PACT,accoa_c + gam1p_c --> acgam1p_c + coa_c + h_c,['EHI8A_051120-t26_1-p1'],1000.0,0.0
GLCP,glycogen_c + pi_c --> g1p_c,"['EHI8A_205380-t26_1-p1', 'EHI8A_221260-t26_1-p1', 'EHI8A_244150-t26_1-p1']",1000.0,0.0
GLNS,atp_c + glu__L_c + nh4_c --> adp_c + gln__L_c + h_c + pi_c,"['EHI8A_108600-t26_1-p1', 'EHI8A_060980-t26_1-p1']",1000.0,0.0
GLUTRS,atp_c + glu__L_c + trnaglu_c --> amp_c + glutrna_c + ppi_c,['EHI8A_127810-t26_1-p1'],1000.0,0.0
GLYCK2,atp_c + glyc__R_c --> 2pg_c + adp_c + h_c,['EHI8A_092110-t26_1-p1'],1000.0,0.0
GMAND,gdpmann_c --> gdpddman_c + h2o_c,['EHI8A_016300-t26_1-p1'],1000.0,0.0
