reaction ids,reaction formulas,genes,upper_bounds,lower_bounds
2AGPGAT120,2agpg120_c + atp_c + ddca_c --> amp_c + pg120_c + ppi_c,['EMWEY_00048720-t26_1-p1'],1000.0,0.0
2AGPGAT141,2agpg141_c + atp_c + ttdcea_c --> amp_c + pg141_c + ppi_c,['EMWEY_00048720-t26_1-p1'],1000.0,0.0
2AGPGAT180,2agpg180_c + atp_c + ocdca_c --> amp_c + pg180_c + ppi_c,['EMWEY_00048720-t26_1-p1'],1000.0,0.0
3OAR120,3oddecACP_c + h_c + nadph_c --> 3hddecACP_c + nadp_c,"['EMWEY_00012380-t26_1-p1', 'EMWEY_00027240-t26_1-p1', 'EMWEY_00027920-t26_1-p1']",1000.0,0.0
3OAR141,3ocmrs7eACP_c + h_c + nadph_c --> 3hcmrs7eACP_c + nadp_c,"['EMWEY_00012380-t26_1-p1', 'EMWEY_00027240-t26_1-p1', 'EMWEY_00027920-t26_1-p1']",1000.0,0.0
3OAR161,3ocpalm9eACP_c + h_c + nadph_c --> 3hcpalm9eACP_c + nadp_c,"['EMWEY_00012380-t26_1-p1', 'EMWEY_00027240-t26_1-p1', 'EMWEY_00027920-t26_1-p1']",1000.0,0.0
3OAS140,ddcaACP_c + h_c + malACP_c --> 3omrsACP_c + ACP_c + co2_c,"['EMWEY_00055660-t26_1-p1', 'EMWEY_00049230-t26_1-p1', 'EMWEY_00040090-t26_1-p1', 'EMWEY_00032070-t26_1-p1', 'EMWEY_00051690-t26_1-p1']",1000.0,0.0
3OAS161,h_c + malACP_c + tdeACP_c --> 3ocpalm9eACP_c + ACP_c + co2_c,"['EMWEY_00032070-t26_1-p1', 'EMWEY_00051690-t26_1-p1', 'EMWEY_00040090-t26_1-p1']",1000.0,0.0
AACPS5,ACP_c + atp_c + ocdcea_c --> amp_c + octeACP_c + ppi_c,['EMWEY_00048720-t26_1-p1'],1000.0,0.0
AACPS6,ACP_c + atp_c + ocdca_c --> amp_c + ocdcaACP_c + ppi_c,['EMWEY_00048720-t26_1-p1'],1000.0,0.0
AACPS9,ACP_c + atp_c + octa_c --> amp_c + ocACP_c + ppi_c,['EMWEY_00048720-t26_1-p1'],1000.0,0.0
ACACT2r,accoa_c + btcoa_c --> 3ohcoa_c + coa_c,['EMWEY_00034620-t26_1-p1'],1000.0,0.0
ACCOAL,atp_c + coa_c + ppa_c --> adp_c + pi_c + ppcoa_c,['EMWEY_00005940-t26_1-p1'],1000.0,0.0
ACOAD1f,btcoa_c + fad_c --> b2coa_c + fadh2_c,['EMWEY_00055960-t26_1-p1'],1000.0,0.0
ACOAD7f,fad_c + pmtcoa_c --> fadh2_c + hdd2coa_c,['EMWEY_00055960-t26_1-p1'],1000.0,0.0
ACOATA,ACP_c + accoa_c --> acACP_c + coa_c,"['EMWEY_00032070-t26_1-p1', 'EMWEY_00051690-t26_1-p1', 'EMWEY_00040090-t26_1-p1']",1000.0,0.0
ACONMT,acon_T_c + amet_c --> aconm_c + ahcys_c,['EMWEY_00051720-t26_1-p1'],1000.0,0.0
ACOTA,acorn_c + akg_c --> acg5sa_c + glu__L_c,['EMWEY_00025400-t26_1-p1'],1000.0,0.0
ADNK1,adn_c + atp_c --> adp_c + amp_c + h_c,"['EMWEY_00027970-t26_1-p1', 'EMWEY_00010660-t26_1-p1', 'EMWEY_00002320-t26_1-p1']",1000.0,0.0
AGPAT180,1odecg3p_c + ocdcaACP_c --> ACP_c + pa180_c,['EMWEY_00050590-t26_1-p1'],1000.0,0.0
ALATA_L,akg_c + ala__L_c --> glu__L_c + pyr_c,['EMWEY_00030550-t26_1-p1'],1000.0,0.0
ALATRS,ala__L_c + atp_c + trnaala_c --> alatrna_c + amp_c + ppi_c,['EMWEY_00008260-t26_1-p1'],1000.0,0.0
ALCD2x,etoh_c + nad_c --> acald_c + h_c + nadh_c,['EMWEY_00054400-t26_1-p1'],1000.0,0.0
ARGTRS,arg__L_c + atp_c + trnaarg_c --> amp_c + argtrna_c + ppi_c,"['EMWEY_00026990-t26_1-p1', 'EMWEY_00048550', 'EMWEY_00032830-t26_1-p1']",1000.0,0.0
ASPTA,akg_c + asp__L_c --> glu__L_c + oaa_c,"['EMWEY_00030550-t26_1-p1', 'EMWEY_00054680-t26_1-p1']",1000.0,0.0
CBPS,2.0 atp_c + gln__L_c + h2o_c + hco3_c --> 2.0 adp_c + cbp_c + glu__L_c + 2.0 h_c + pi_c,"['EMWEY_00056660-t26_1-p1', 'EMWEY_00056360-t26_1-p1', 'EMWEY_00023470-t26_1-p1']",1000.0,0.0
CTECOAI6,tdecoa_c --> td2coa_c,['EMWEY_00048520-t26_1-p1'],1000.0,0.0
DASYN161,ctp_c + h_c + pa161_c --> cdpdhdec9eg_c + ppi_c,['EMWEY_00022640-t26_1-p1'],1000.0,0.0
DHFS,atp_c + dhpt_c + glu__L_c --> adp_c + dhf_c + h_c + pi_c,"['EMWEY_00039680-t26_1-p1', 'EMWEY_00055780-t26_1-p1']",1000.0,0.0
DUTPDP,dutp_c + h2o_c --> dump_c + h_c + ppi_c,['EMWEY_00048200-t26_1-p1'],1000.0,0.0
E4PD,e4p_c + h2o_c + nad_c --> 4per_c + 2.0 h_c + nadh_c,['EMWEY_00033060-t26_1-p1'],1000.0,0.0
EAR100x,h_c + nadh_c + tdec2eACP_c --> dcaACP_c + nad_c,['EMWEY_00034200-t26_1-p1'],1000.0,0.0
EAR120y,h_c + nadph_c + tddec2eACP_c --> ddcaACP_c + nadp_c,['EMWEY_00034200-t26_1-p1'],1000.0,0.0
EAR140y,h_c + nadph_c + tmrs2eACP_c --> myrsACP_c + nadp_c,['EMWEY_00034200-t26_1-p1'],1000.0,0.0
EAR141x,h_c + nadh_c + t3c7mrseACP_c --> nad_c + tdeACP_c,['EMWEY_00034200-t26_1-p1'],1000.0,0.0
EAR161y,h_c + nadph_c + t3c9palmeACP_c --> hdeACP_c + nadp_c,['EMWEY_00034200-t26_1-p1'],1000.0,0.0
EAR180x,h_c + nadh_c + toctd2eACP_c --> nad_c + ocdcaACP_c,['EMWEY_00034200-t26_1-p1'],1000.0,0.0
EAR180y,h_c + nadph_c + toctd2eACP_c --> nadp_c + ocdcaACP_c,['EMWEY_00034200-t26_1-p1'],1000.0,0.0
EAR181y,h_c + nadph_c + t3c11vaceACP_c --> nadp_c + octeACP_c,['EMWEY_00034200-t26_1-p1'],1000.0,0.0
EAR40y,but2eACP_c + h_c + nadph_c --> butACP_c + nadp_c,['EMWEY_00034200-t26_1-p1'],1000.0,0.0
EAR80y,h_c + nadph_c + toct2eACP_c --> nadp_c + ocACP_c,['EMWEY_00034200-t26_1-p1'],1000.0,0.0
ECOAH1,3hbcoa_c --> b2coa_c + h2o_c,['EMWEY_00048520-t26_1-p1'],1000.0,0.0
ECOAH2,3hhcoa_c --> h2o_c + hx2coa_c,['EMWEY_00048520-t26_1-p1'],1000.0,0.0
ECOAH6,3htdcoa_c --> h2o_c + td2coa_c,['EMWEY_00048520-t26_1-p1'],1000.0,0.0
ECOAH8,3hodcoa_c --> h2o_c + od2coa_c,['EMWEY_00048520-t26_1-p1'],1000.0,0.0
EPMEACPR,epmeACP_c + h_c + nadph_c --> nadp_c + pmeACP_c,['EMWEY_00034200-t26_1-p1'],1000.0,0.0
FBP,fdp_c + h2o_c --> f6p_c + pi_c,"['EMWEY_00001500-t26_1-p1', 'EMWEY_00053610-t26_1-p1']",1000.0,0.0
FUM,fum_c + h2o_c --> mal__L_c,['EMWEY_00059340-t26_1-p1'],1000.0,0.0
GDMANE,gdpddman_c --> gdpofuc_c,['EMWEY_00032220-t26_1-p1'],1000.0,0.0
GLCP,glycogen_c + pi_c --> g1p_c,"['EMWEY_00016840-t26_1-p1', 'EMWEY_00059120-t26_1-p1']",1000.0,0.0
GLUTRS,atp_c + glu__L_c + trnaglu_c --> amp_c + glutrna_c + ppi_c,"['EMWEY_00040370-t26_1-p1', 'EMWEY_00049700-t26_1-p1']",1000.0,0.0
GLYCL,gly_c + nad_c + thf_c --> co2_c + mlthf_c + nadh_c + nh4_c,"['EMWEY_00054790-t26_1-p1', 'EMWEY_00002090-t26_1-p1']",1000.0,0.0
GLYCTO3,glyclt_c + mqn8_c --> glx_c + mql8_c,['EMWEY_00008030-t26_1-p1'],1000.0,0.0
GLYCTO4,2dmmq8_c + glyclt_c --> 2dmmql8_c + glx_c,['EMWEY_00008030-t26_1-p1'],1000.0,0.0
GMAND,gdpmann_c --> gdpddman_c + h2o_c,['EMWEY_00019710-t26_1-p1'],1000.0,0.0
GTHOr,gthox_c + h_c + nadph_c --> 2.0 gthrd_c + nadp_c,"['EMWEY_00041210-t26_1-p1', 'EMWEY_00020830-t26_1-p1', 'EMWEY_00054790-t26_1-p1', 'EMWEY_00023840', 'EMWEY_00020590']",1000.0,0.0
HYPOE,h2o_c + pyam5p_c --> pi_c + pydam_c,['EMWEY_00000640-t26_1-p1'],1000.0,0.0
I4FE4ST,4.0 h_c + iscu_4fe4s_c --> 4fe4s_c + iscu_c,"['EMWEY_00055060-t26_1-p1', 'EMWEY_00025120-t26_1-p1']",1000.0,0.0
IMPD,h2o_c + imp_c + nad_c --> h_c + nadh_c + xmp_c,['EMWEY_00005140-t26_1-p1'],1000.0,0.0
LALDO3,h_c + mthgxl_c + nadph_c --> lald__L_c + nadp_c,['EMWEY_00008410-t26_1-p1'],1000.0,0.0
