reaction ids,reaction formulas,genes,upper_bounds,lower_bounds
2AGPGAT120,2agpg120_c + atp_c + ddca_c --> amp_c + pg120_c + ppi_c,"['ENU1_074720-t26_1-p1', 'ENU1_138300-t26_1-p1', 'ENU1_197170-t26_1-p1']",1000.0,0.0
2AGPGAT141,2agpg141_c + atp_c + ttdcea_c --> amp_c + pg141_c + ppi_c,"['ENU1_074720-t26_1-p1', 'ENU1_138300-t26_1-p1', 'ENU1_197170-t26_1-p1']",1000.0,0.0
2AGPGAT180,2agpg180_c + atp_c + ocdca_c --> amp_c + pg180_c + ppi_c,"['ENU1_074720-t26_1-p1', 'ENU1_138300-t26_1-p1', 'ENU1_197170-t26_1-p1']",1000.0,0.0
3OAR120,3oddecACP_c + h_c + nadph_c --> 3hddecACP_c + nadp_c,"['ENU1_182110-t26_1-p1', 'ENU1_136390-t26_1-p1', 'ENU1_147690-t26_1-p1', 'ENU1_166180-t26_1-p1', 'ENU1_032760-t26_1-p1']",1000.0,0.0
3OAR141,3ocmrs7eACP_c + h_c + nadph_c --> 3hcmrs7eACP_c + nadp_c,"['ENU1_182110-t26_1-p1', 'ENU1_136390-t26_1-p1', 'ENU1_147690-t26_1-p1', 'ENU1_166180-t26_1-p1', 'ENU1_032760-t26_1-p1']",1000.0,0.0
3OAR161,3ocpalm9eACP_c + h_c + nadph_c --> 3hcpalm9eACP_c + nadp_c,"['ENU1_182110-t26_1-p1', 'ENU1_136390-t26_1-p1', 'ENU1_147690-t26_1-p1', 'ENU1_166180-t26_1-p1', 'ENU1_032760-t26_1-p1']",1000.0,0.0
3OAS140,ddcaACP_c + h_c + malACP_c --> 3omrsACP_c + ACP_c + co2_c,['ENU1_166730-t26_1-p1'],1000.0,0.0
3OAS161,h_c + malACP_c + tdeACP_c --> 3ocpalm9eACP_c + ACP_c + co2_c,['ENU1_166730-t26_1-p1'],1000.0,0.0
5DOAN,dad_5_c + h2o_c --> 5drib_c + ade_c,['ENU1_154520-t26_1-p1'],1000.0,0.0
AACPS5,ACP_c + atp_c + ocdcea_c --> amp_c + octeACP_c + ppi_c,"['ENU1_074720-t26_1-p1', 'ENU1_138300-t26_1-p1', 'ENU1_197170-t26_1-p1']",1000.0,0.0
AACPS6,ACP_c + atp_c + ocdca_c --> amp_c + ocdcaACP_c + ppi_c,"['ENU1_074720-t26_1-p1', 'ENU1_138300-t26_1-p1', 'ENU1_197170-t26_1-p1']",1000.0,0.0
AACPS9,ACP_c + atp_c + octa_c --> amp_c + ocACP_c + ppi_c,"['ENU1_074720-t26_1-p1', 'ENU1_138300-t26_1-p1', 'ENU1_197170-t26_1-p1']",1000.0,0.0
ACCOAL,atp_c + coa_c + ppa_c --> adp_c + pi_c + ppcoa_c,"['ENU1_139000-t26_1-p1', 'ENU1_138300-t26_1-p1', 'ENU1_102730-t26_1-p1']",1000.0,0.0
ACOATA,ACP_c + accoa_c --> acACP_c + coa_c,['ENU1_166730-t26_1-p1'],1000.0,0.0
