reaction ids,reaction formulas,genes,upper_bounds,lower_bounds
2AGPGAT120,2agpg120_c + atp_c + ddca_c --> amp_c + pg120_c + ppi_c,"['GLP15_2964-t26_1-p1', 'GLP15_4443-t26_1-p1', 'GLP15_2620-t26_1-p1']",1000.0,0.0
2AGPGAT141,2agpg141_c + atp_c + ttdcea_c --> amp_c + pg141_c + ppi_c,"['GLP15_2964-t26_1-p1', 'GLP15_4443-t26_1-p1', 'GLP15_2620-t26_1-p1']",1000.0,0.0
2AGPGAT180,2agpg180_c + atp_c + ocdca_c --> amp_c + pg180_c + ppi_c,"['GLP15_2964-t26_1-p1', 'GLP15_4443-t26_1-p1', 'GLP15_2620-t26_1-p1']",1000.0,0.0
5DOAN,dad_5_c + h2o_c --> 5drib_c + ade_c,"['GLP15_2403-t26_1-p1', 'GLP15_3270-t26_1-p1']",1000.0,0.0
AACPS5,ACP_c + atp_c + ocdcea_c --> amp_c + octeACP_c + ppi_c,"['GLP15_2964-t26_1-p1', 'GLP15_4443-t26_1-p1', 'GLP15_2620-t26_1-p1']",1000.0,0.0
AACPS6,ACP_c + atp_c + ocdca_c --> amp_c + ocdcaACP_c + ppi_c,"['GLP15_2964-t26_1-p1', 'GLP15_4443-t26_1-p1', 'GLP15_2620-t26_1-p1']",1000.0,0.0
AACPS9,ACP_c + atp_c + octa_c --> amp_c + ocACP_c + ppi_c,"['GLP15_2964-t26_1-p1', 'GLP15_4443-t26_1-p1', 'GLP15_2620-t26_1-p1']",1000.0,0.0
ACACT2r,accoa_c + btcoa_c --> 3ohcoa_c + coa_c,['GLP15_1917-t26_1-p1'],1000.0,0.0
ACACT3r,accoa_c + hxcoa_c --> 3oocoa_c + coa_c,['GLP15_1917-t26_1-p1'],1000.0,0.0
ADNK1,adn_c + atp_c --> adp_c + amp_c + h_c,"['GLP15_1290-t26_1-p1', 'GLP15_2807-t26_1-p1']",1000.0,0.0
ALATA_L,akg_c + ala__L_c --> glu__L_c + pyr_c,"['GLP15_3991-t26_1-p1', 'GLP15_43-t26_1-p1']",1000.0,0.0
ALATRS,ala__L_c + atp_c + trnaala_c --> alatrna_c + amp_c + ppi_c,['GLP15_1039-t26_1-p1'],1000.0,0.0
ALCD2x,etoh_c + nad_c --> acald_c + h_c + nadh_c,"['GLP15_2750-t26_1-p1', 'GLP15_696-t26_1-p1', 'GLP15_4141-t26_1-p1']",1000.0,0.0
