reaction ids,reaction formulas,genes,upper_bounds,lower_bounds
2AGPGAT120,2agpg120_c + atp_c + ddca_c --> amp_c + pg120_c + ppi_c,"['LdCL_030007200-t42_1-p1', 'LdCL_010010200-t42_1-p1', 'LdCL_010010400-t42_1-p1', 'LdCL_010010100-t42_1-p1', 'LdCL_010009900-t42_1-p1']",1000.0,0.0
2AGPGAT141,2agpg141_c + atp_c + ttdcea_c --> amp_c + pg141_c + ppi_c,"['LdCL_030007200-t42_1-p1', 'LdCL_010010200-t42_1-p1', 'LdCL_010010400-t42_1-p1', 'LdCL_010010100-t42_1-p1', 'LdCL_010009900-t42_1-p1']",1000.0,0.0
2AGPGAT180,2agpg180_c + atp_c + ocdca_c --> amp_c + pg180_c + ppi_c,"['LdCL_030007200-t42_1-p1', 'LdCL_010010200-t42_1-p1', 'LdCL_010010400-t42_1-p1', 'LdCL_010010100-t42_1-p1', 'LdCL_010009900-t42_1-p1']",1000.0,0.0
3OAR120,3oddecACP_c + h_c + nadph_c --> 3hddecACP_c + nadp_c,"['LdCL_340005000-t42_1-p1', 'LdCL_350008300-t42_1-p1', 'LdCL_340005100-t42_1-p1', 'LdCL_340005200-t42_1-p1', 'LdCL_350017200-t42_1-p1', 'LdCL_230008500-t42_1-p1']",1000.0,0.0
3OAR141,3ocmrs7eACP_c + h_c + nadph_c --> 3hcmrs7eACP_c + nadp_c,"['LdCL_340005000-t42_1-p1', 'LdCL_350008300-t42_1-p1', 'LdCL_340005100-t42_1-p1', 'LdCL_340005200-t42_1-p1', 'LdCL_350017200-t42_1-p1', 'LdCL_230008500-t42_1-p1']",1000.0,0.0
3OAR161,3ocpalm9eACP_c + h_c + nadph_c --> 3hcpalm9eACP_c + nadp_c,"['LdCL_340005000-t42_1-p1', 'LdCL_350008300-t42_1-p1', 'LdCL_340005100-t42_1-p1', 'LdCL_340005200-t42_1-p1', 'LdCL_350017200-t42_1-p1', 'LdCL_230008500-t42_1-p1']",1000.0,0.0
3OAS140,ddcaACP_c + h_c + malACP_c --> 3omrsACP_c + ACP_c + co2_c,['LdCL_330035700-t42_1-p1'],1000.0,0.0
3OAS161,h_c + malACP_c + tdeACP_c --> 3ocpalm9eACP_c + ACP_c + co2_c,['LdCL_330035700-t42_1-p1'],1000.0,0.0
4HTHRS,h2o_c + phthr_c --> 4hthr_c + pi_c,['LdCL_140008500-t42_1-p1'],1000.0,0.0
AACPS5,ACP_c + atp_c + ocdcea_c --> amp_c + octeACP_c + ppi_c,"['LdCL_030007200-t42_1-p1', 'LdCL_010010200-t42_1-p1', 'LdCL_270007800-t42_1-p1', 'LdCL_010010400-t42_1-p1', 'LdCL_010010100-t42_1-p1', 'LdCL_010009900-t42_1-p1']",1000.0,0.0
AACPS6,ACP_c + atp_c + ocdca_c --> amp_c + ocdcaACP_c + ppi_c,"['LdCL_030007200-t42_1-p1', 'LdCL_010010200-t42_1-p1', 'LdCL_270007800-t42_1-p1', 'LdCL_010010400-t42_1-p1', 'LdCL_010010100-t42_1-p1', 'LdCL_010009900-t42_1-p1']",1000.0,0.0
AACPS9,ACP_c + atp_c + octa_c --> amp_c + ocACP_c + ppi_c,"['LdCL_030007200-t42_1-p1', 'LdCL_010010200-t42_1-p1', 'LdCL_270007800-t42_1-p1', 'LdCL_010010400-t42_1-p1', 'LdCL_010010100-t42_1-p1', 'LdCL_010009900-t42_1-p1']",1000.0,0.0
ACACT2r,accoa_c + btcoa_c --> 3ohcoa_c + coa_c,"['LdCL_310023700-t42_1-p1', 'LdCL_230015200-t42_1-p1', 'LdCL_340039300', 'LdCL_310023800-t42_1-p1']",1000.0,0.0
ACACT3r,accoa_c + hxcoa_c --> 3oocoa_c + coa_c,"['LdCL_310023700-t42_1-p1', 'LdCL_230015200-t42_1-p1', 'LdCL_310023800-t42_1-p1']",1000.0,0.0
ACCOAL,atp_c + coa_c + ppa_c --> adp_c + pi_c + ppcoa_c,"['LdCL_230011300-t42_1-p1', 'LdCL_230015400-t42_1-p1']",1000.0,0.0
ACLS,h_c + 2.0 pyr_c --> alac__S_c + co2_c,['LdCL_340039100-t42_1-p1'],1000.0,0.0
ACOAD1f,btcoa_c + fad_c --> b2coa_c + fadh2_c,"['LdCL_060014200-t42_1-p1', 'LdCL_280032100-t42_1-p1', 'LdCL_350032700-t42_1-p1']",1000.0,0.0
ACOAD7f,fad_c + pmtcoa_c --> fadh2_c + hdd2coa_c,"['LdCL_060014200-t42_1-p1', 'LdCL_280032100-t42_1-p1', 'LdCL_350032700-t42_1-p1']",1000.0,0.0
ACOATA,ACP_c + accoa_c --> acACP_c + coa_c,"['LdCL_270007800-t42_1-p1', 'LdCL_330035700-t42_1-p1']",1000.0,0.0
