reaction ids,reaction formulas,genes,upper_bounds,lower_bounds
2AGPGAT120,2agpg120_c + atp_c + ddca_c --> amp_c + pg120_c + ppi_c,"['LGELEM452_010009900.1-p1', 'LGELEM452_010010300.1-p1', 'LGELEM452_030007200.1-p1', 'LGELEM452_010010100.1-p1']",1000.0,0.0
2AGPGAT141,2agpg141_c + atp_c + ttdcea_c --> amp_c + pg141_c + ppi_c,"['LGELEM452_010009900.1-p1', 'LGELEM452_010010300.1-p1', 'LGELEM452_030007200.1-p1', 'LGELEM452_010010100.1-p1']",1000.0,0.0
2AGPGAT180,2agpg180_c + atp_c + ocdca_c --> amp_c + pg180_c + ppi_c,"['LGELEM452_010009900.1-p1', 'LGELEM452_010010300.1-p1', 'LGELEM452_030007200.1-p1', 'LGELEM452_010010100.1-p1']",1000.0,0.0
3OAR120,3oddecACP_c + h_c + nadph_c --> 3hddecACP_c + nadp_c,"['LGELEM452_350018100.1-p1', 'LGELEM452_350008400.1-p1', 'LGELEM452_340005100.1-p1', 'LGELEM452_230007900.1-p1']",1000.0,0.0
3OAR141,3ocmrs7eACP_c + h_c + nadph_c --> 3hcmrs7eACP_c + nadp_c,"['LGELEM452_350018100.1-p1', 'LGELEM452_350008400.1-p1', 'LGELEM452_340005100.1-p1', 'LGELEM452_230007900.1-p1']",1000.0,0.0
3OAR161,3ocpalm9eACP_c + h_c + nadph_c --> 3hcpalm9eACP_c + nadp_c,"['LGELEM452_350018100.1-p1', 'LGELEM452_350008400.1-p1', 'LGELEM452_340005100.1-p1', 'LGELEM452_230007900.1-p1']",1000.0,0.0
3OAS140,ddcaACP_c + h_c + malACP_c --> 3omrsACP_c + ACP_c + co2_c,['LGELEM452_330036700.1-p1'],1000.0,0.0
3OAS161,h_c + malACP_c + tdeACP_c --> 3ocpalm9eACP_c + ACP_c + co2_c,['LGELEM452_330036700.1-p1'],1000.0,0.0
4HTHRS,h2o_c + phthr_c --> 4hthr_c + pi_c,['LGELEM452_140009000.1-p1'],1000.0,0.0
AACPS5,ACP_c + atp_c + ocdcea_c --> amp_c + octeACP_c + ppi_c,"['LGELEM452_010009900.1-p1', 'LGELEM452_010010100.1-p1', 'LGELEM452_270008000.1-p1', 'LGELEM452_010010300.1-p1', 'LGELEM452_030007200.1-p1']",1000.0,0.0
AACPS6,ACP_c + atp_c + ocdca_c --> amp_c + ocdcaACP_c + ppi_c,"['LGELEM452_010009900.1-p1', 'LGELEM452_010010100.1-p1', 'LGELEM452_270008000.1-p1', 'LGELEM452_010010300.1-p1', 'LGELEM452_030007200.1-p1']",1000.0,0.0
AACPS9,ACP_c + atp_c + octa_c --> amp_c + ocACP_c + ppi_c,"['LGELEM452_010009900.1-p1', 'LGELEM452_010010100.1-p1', 'LGELEM452_270008000.1-p1', 'LGELEM452_010010300.1-p1', 'LGELEM452_030007200.1-p1']",1000.0,0.0
ACACT2r,accoa_c + btcoa_c --> 3ohcoa_c + coa_c,"['LGELEM452_310022500.1-p1', 'LGELEM452_230015100.1-p1']",1000.0,0.0
ACACT3r,accoa_c + hxcoa_c --> 3oocoa_c + coa_c,"['LGELEM452_310022500.1-p1', 'LGELEM452_230015100.1-p1']",1000.0,0.0
ACCOAL,atp_c + coa_c + ppa_c --> adp_c + pi_c + ppcoa_c,"['LGELEM452_230011000.1-p1', 'LGELEM452_230015300.1-p1']",1000.0,0.0
ACLS,h_c + 2.0 pyr_c --> alac__S_c + co2_c,['LGELEM452_340031600.1-p1'],1000.0,0.0
ACOAD1f,btcoa_c + fad_c --> b2coa_c + fadh2_c,"['LGELEM452_280033300.1-p1', 'LGELEM452_350033400.1-p1', 'LGELEM452_060014300.1-p1']",1000.0,0.0
ACOAD7f,fad_c + pmtcoa_c --> fadh2_c + hdd2coa_c,"['LGELEM452_280033300.1-p1', 'LGELEM452_350033400.1-p1', 'LGELEM452_060014300.1-p1']",1000.0,0.0
ACOATA,ACP_c + accoa_c --> acACP_c + coa_c,"['LGELEM452_270008000.1-p1', 'LGELEM452_330036700.1-p1']",1000.0,0.0
ACODA,acorn_c + h2o_c --> ac_c + orn_c,"['LGELEM452_070008400.1-p1', 'LGELEM452_290023100.1-p1']",1000.0,0.0
ACPPAT141,h_c + pi_c + tdeACP_c --> ACP_c + ttdceap_c,['LGELEM452_270008000.1-p1'],1000.0,0.0
ACPPAT161,h_c + hdeACP_c + pi_c --> ACP_c + hdceap_c,['LGELEM452_270008000.1-p1'],1000.0,0.0
ADNK1,adn_c + atp_c --> adp_c + amp_c + h_c,"['LGELEM452_340006300.1-p1', 'LGELEM452_300014300.1-p1', 'LGELEM452_210019900.1-p1']",1000.0,0.0
ALATA_L,akg_c + ala__L_c --> glu__L_c + pyr_c,"['LGELEM452_330020700.1-p1', 'LGELEM452_120012300.1-p1', 'LGELEM452_360030400.1-p1']",1000.0,0.0
ALATRS,ala__L_c + atp_c + trnaala_c --> alatrna_c + amp_c + ppi_c,['LGELEM452_220019000.1-p1'],1000.0,0.0
ALCD2x,etoh_c + nad_c --> acald_c + h_c + nadh_c,['LGELEM452_300027200.1-p1'],1000.0,0.0
AP5AH,ap5a_c + h2o_c --> adp_c + atp_c + 2.0 h_c,"['LGELEM452_220019700.1-p1', 'LGELEM452_000008600.1-p1']",1000.0,0.0
ARGSS,asp__L_c + atp_c + citr__L_c --> amp_c + argsuc_c + h_c + ppi_c,['LGELEM452_230007800.1-p1'],1000.0,0.0
ARGTRS,arg__L_c + atp_c + trnaarg_c --> amp_c + argtrna_c + ppi_c,['LGELEM452_270019600.1-p1'],1000.0,0.0
ASPTA,akg_c + asp__L_c --> glu__L_c + oaa_c,"['LGELEM452_350013400.1-p1', 'LGELEM452_120012300.1-p1', 'LGELEM452_330020700.1-p1', 'LGELEM452_360030400.1-p1', 'LGELEM452_240009100.1-p1']",1000.0,0.0
ASPTRS,asp__L_c + atp_c + trnaasp_c --> amp_c + asptrna_c + ppi_c,"['LGELEM452_300010000.1-p1', 'LGELEM452_210016100.1-p1']",1000.0,0.0
CBPS,2.0 atp_c + gln__L_c + h2o_c + hco3_c --> 2.0 adp_c + cbp_c + glu__L_c + 2.0 h_c + pi_c,['LGELEM452_160011000.1-p1'],1000.0,0.0
CFAS180E,2.0 amet_c + pe181_c --> 2.0 ahcys_c + cpe180_c + 2.0 h_c,['LGELEM452_080010800.1-p1'],1000.0,0.0
CRNDCAL2,atp_c + coa_c + crn__D_c --> adp_c + crnDcoa_c + pi_c,"['LGELEM452_280018400.1-p1', 'LGELEM452_010010100.1-p1']",1000.0,0.0
CTECOAI6,tdecoa_c --> td2coa_c,"['LGELEM452_350008700.1-p1', 'LGELEM452_290031200.1-p1']",1000.0,0.0
DASYN161,ctp_c + h_c + pa161_c --> cdpdhdec9eg_c + ppi_c,"['LGELEM452_320036500.1-p1', 'LGELEM452_260021500.1-p1']",1000.0,0.0
DHFS,atp_c + dhpt_c + glu__L_c --> adp_c + dhf_c + h_c + pi_c,['LGELEM452_360033700.1-p1'],1000.0,0.0
DURIK1,atp_c + duri_c --> adp_c + dump_c + h_c,['LGELEM452_210019500.1-p1'],1000.0,0.0
DUTPDP,dutp_c + h2o_c --> dump_c + h_c + ppi_c,['LGELEM452_360056500.1-p1'],1000.0,0.0
E4PD,e4p_c + h2o_c + nad_c --> 4per_c + 2.0 h_c + nadh_c,"['LGELEM452_350054300.1-p1', 'LGELEM452_360030300.1-p1']",1000.0,0.0
EAR100x,h_c + nadh_c + tdec2eACP_c --> dcaACP_c + nad_c,['LGELEM452_340011700.1-p1'],1000.0,0.0
EAR141x,h_c + nadh_c + t3c7mrseACP_c --> nad_c + tdeACP_c,['LGELEM452_340011700.1-p1'],1000.0,0.0
EAR180x,h_c + nadh_c + toctd2eACP_c --> nad_c + ocdcaACP_c,['LGELEM452_340011700.1-p1'],1000.0,0.0
