reaction ids,reaction formulas,genes,upper_bounds,lower_bounds
2AGPGAT120,2agpg120_c + atp_c + ddca_c --> amp_c + pg120_c + ppi_c,"['LPMP_030220-t37_1-p1', 'LPMP_010510-t37_1-p1', 'LPMP_010480-t37_1-p1', 'LPMP_010520-t37_1-p1']",1000.0,0.0
2AGPGAT141,2agpg141_c + atp_c + ttdcea_c --> amp_c + pg141_c + ppi_c,"['LPMP_030220-t37_1-p1', 'LPMP_010510-t37_1-p1', 'LPMP_010480-t37_1-p1', 'LPMP_010520-t37_1-p1']",1000.0,0.0
2AGPGAT180,2agpg180_c + atp_c + ocdca_c --> amp_c + pg180_c + ppi_c,"['LPMP_030220-t37_1-p1', 'LPMP_010510-t37_1-p1', 'LPMP_010480-t37_1-p1', 'LPMP_010520-t37_1-p1']",1000.0,0.0
3OAR120,3oddecACP_c + h_c + nadph_c --> 3hddecACP_c + nadp_c,"['LPMP_200260-t37_1-p1', 'LPMP_340310-t37_1-p1', 'LPMP_341100-t37_1-p1']",1000.0,0.0
3OAR141,3ocmrs7eACP_c + h_c + nadph_c --> 3hcmrs7eACP_c + nadp_c,"['LPMP_200260-t37_1-p1', 'LPMP_340310-t37_1-p1', 'LPMP_341100-t37_1-p1']",1000.0,0.0
3OAR161,3ocpalm9eACP_c + h_c + nadph_c --> 3hcpalm9eACP_c + nadp_c,"['LPMP_200260-t37_1-p1', 'LPMP_340310-t37_1-p1', 'LPMP_341100-t37_1-p1']",1000.0,0.0
3OAS140,ddcaACP_c + h_c + malACP_c --> 3omrsACP_c + ACP_c + co2_c,['LPMP_332840-t37_1-p1'],1000.0,0.0
4HTHRS,h2o_c + phthr_c --> 4hthr_c + pi_c,['LPMP_140350-t37_1-p1'],1000.0,0.0
AACPS5,ACP_c + atp_c + ocdcea_c --> amp_c + octeACP_c + ppi_c,"['LPMP_030220-t37_1-p1', 'LPMP_270280-t37_1-p1', 'LPMP_010520-t37_1-p1', 'LPMP_010510-t37_1-p1', 'LPMP_010480-t37_1-p1']",1000.0,0.0
AACPS6,ACP_c + atp_c + ocdca_c --> amp_c + ocdcaACP_c + ppi_c,"['LPMP_270280-t37_1-p1', 'LPMP_030220-t37_1-p1', 'LPMP_010520-t37_1-p1', 'LPMP_010510-t37_1-p1', 'LPMP_010480-t37_1-p1']",1000.0,0.0
AACPS9,ACP_c + atp_c + octa_c --> amp_c + ocACP_c + ppi_c,"['LPMP_270280-t37_1-p1', 'LPMP_030220-t37_1-p1', 'LPMP_010520-t37_1-p1', 'LPMP_010510-t37_1-p1', 'LPMP_010480-t37_1-p1']",1000.0,0.0
ACACT2r,accoa_c + btcoa_c --> 3ohcoa_c + coa_c,"['LPMP_230850-t37_1-p1', 'LPMP_311560-t37_1-p1']",1000.0,0.0
ACACT3r,accoa_c + hxcoa_c --> 3oocoa_c + coa_c,"['LPMP_230850-t37_1-p1', 'LPMP_311560-t37_1-p1']",1000.0,0.0
ACCOAL,atp_c + coa_c + ppa_c --> adp_c + pi_c + ppcoa_c,['LPMP_230860-t37_1-p1'],1000.0,0.0
ACLS,h_c + 2.0 pyr_c --> alac__S_c + co2_c,['LPMP_202950-t37_1-p1'],1000.0,0.0
ACOAD1f,btcoa_c + fad_c --> b2coa_c + fadh2_c,"['LPMP_282660-t37_1-p1', 'LPMP_342570-t37_1-p1', 'LPMP_060860-t37_1-p1']",1000.0,0.0
ACOAD7f,fad_c + pmtcoa_c --> fadh2_c + hdd2coa_c,"['LPMP_282660-t37_1-p1', 'LPMP_342570-t37_1-p1', 'LPMP_060860-t37_1-p1']",1000.0,0.0
ACOATA,ACP_c + accoa_c --> acACP_c + coa_c,['LPMP_270280-t37_1-p1'],1000.0,0.0
ACODA,acorn_c + h2o_c --> ac_c + orn_c,"['LPMP_205850', 'LPMP_070300-t37_1-p1', 'LPMP_345100', 'LPMP_291620-t37_1-p1']",1000.0,0.0
ACPPAT141,h_c + pi_c + tdeACP_c --> ACP_c + ttdceap_c,['LPMP_270280-t37_1-p1'],1000.0,0.0
ACPPAT161,h_c + hdeACP_c + pi_c --> ACP_c + hdceap_c,['LPMP_270280-t37_1-p1'],1000.0,0.0
