reaction ids,reaction formulas,genes,upper_bounds,lower_bounds
2AGPGAT120,2agpg120_c + atp_c + ddca_c --> amp_c + pg120_c + ppi_c,"['PCON_0023640.mRNA-p1', 'PCON_0064480.mRNA-p1']",1000.0,0.0
2AGPGAT141,2agpg141_c + atp_c + ttdcea_c --> amp_c + pg141_c + ppi_c,"['PCON_0023640.mRNA-p1', 'PCON_0064480.mRNA-p1']",1000.0,0.0
2AGPGAT180,2agpg180_c + atp_c + ocdca_c --> amp_c + pg180_c + ppi_c,"['PCON_0023640.mRNA-p1', 'PCON_0064480.mRNA-p1']",1000.0,0.0
3KGK,3dhguln_c + atp_c --> 3dhgulnp_c + adp_c + h_c,['PCON_0007650.mRNA-p1'],1000.0,0.0
3OAR120,3oddecACP_c + h_c + nadph_c --> 3hddecACP_c + nadp_c,"['PCON_0083740.mRNA-p1', 'PCON_0010400.mRNA-p1', 'PCON_0066170.mRNA-p1']",1000.0,0.0
3OAR141,3ocmrs7eACP_c + h_c + nadph_c --> 3hcmrs7eACP_c + nadp_c,"['PCON_0083740.mRNA-p1', 'PCON_0010400.mRNA-p1', 'PCON_0066170.mRNA-p1']",1000.0,0.0
3OAR161,3ocpalm9eACP_c + h_c + nadph_c --> 3hcpalm9eACP_c + nadp_c,"['PCON_0083740.mRNA-p1', 'PCON_0010400.mRNA-p1', 'PCON_0066170.mRNA-p1']",1000.0,0.0
3OAS140,ddcaACP_c + h_c + malACP_c --> 3omrsACP_c + ACP_c + co2_c,['PCON_0011140.mRNA-p1'],1000.0,0.0
3OAS161,h_c + malACP_c + tdeACP_c --> 3ocpalm9eACP_c + ACP_c + co2_c,['PCON_0011140.mRNA-p1'],1000.0,0.0
4HTHRS,h2o_c + phthr_c --> 4hthr_c + pi_c,['PCON_0038840.mRNA-p1'],1000.0,0.0
AACPS5,ACP_c + atp_c + ocdcea_c --> amp_c + octeACP_c + ppi_c,"['PCON_0023640.mRNA-p1', 'PCON_0084300.mRNA-p1', 'PCON_0064480.mRNA-p1']",1000.0,0.0
AACPS6,ACP_c + atp_c + ocdca_c --> amp_c + ocdcaACP_c + ppi_c,"['PCON_0023640.mRNA-p1', 'PCON_0084300.mRNA-p1', 'PCON_0064480.mRNA-p1']",1000.0,0.0
AACPS9,ACP_c + atp_c + octa_c --> amp_c + ocACP_c + ppi_c,"['PCON_0023640.mRNA-p1', 'PCON_0084300.mRNA-p1', 'PCON_0064480.mRNA-p1']",1000.0,0.0
ACACT2r,accoa_c + btcoa_c --> 3ohcoa_c + coa_c,"['PCON_0084610.mRNA-p1', 'PCON_0074000.mRNA-p1', 'PCON_0081170.mRNA-p1']",1000.0,0.0
ACACT3r,accoa_c + hxcoa_c --> 3oocoa_c + coa_c,"['PCON_0084610.mRNA-p1', 'PCON_0074000.mRNA-p1', 'PCON_0081170.mRNA-p1']",1000.0,0.0
ACCOAL,atp_c + coa_c + ppa_c --> adp_c + pi_c + ppcoa_c,"['PCON_0076180.mRNA-p1', 'PCON_0059280.mRNA-p1', 'PCON_0054170.mRNA-p1', 'PCON_0059270.mRNA-p1']",1000.0,0.0
ACOAD1f,btcoa_c + fad_c --> b2coa_c + fadh2_c,"['PCON_0007550.mRNA-p1', 'PCON_0001430.mRNA-p1', 'PCON_0024090.mRNA-p1', 'PCON_0044810.mRNA-p1', 'PCON_0004410.mRNA-p1', 'PCON_0058140.mRNA-p1']",1000.0,0.0
ACOAD7f,fad_c + pmtcoa_c --> fadh2_c + hdd2coa_c,"['PCON_0007550.mRNA-p1', 'PCON_0001430.mRNA-p1', 'PCON_0024090.mRNA-p1', 'PCON_0044810.mRNA-p1', 'PCON_0004410.mRNA-p1', 'PCON_0058140.mRNA-p1']",1000.0,0.0
ACOATA,ACP_c + accoa_c --> acACP_c + coa_c,"['PCON_0084300.mRNA-p1', 'PCON_0011140.mRNA-p1']",1000.0,0.0
ACODA,acorn_c + h2o_c --> ac_c + orn_c,['PCON_0035980.mRNA-p1'],1000.0,0.0
ACPPAT141,h_c + pi_c + tdeACP_c --> ACP_c + ttdceap_c,['PCON_0084300.mRNA-p1'],1000.0,0.0
ACPPAT161,h_c + hdeACP_c + pi_c --> ACP_c + hdceap_c,['PCON_0084300.mRNA-p1'],1000.0,0.0
