reaction ids,reaction formulas,genes,upper_bounds,lower_bounds
ACCOAL,atp_c + coa_c + ppa_c --> adp_c + pi_c + ppcoa_c,"['M153_236710001-t31_1-p1', 'M153_9253000998-t31_1-p1']",1000.0,0.0
ALATRS,ala__L_c + atp_c + trnaala_c --> alatrna_c + amp_c + ppi_c,['M153_1490006452-t31_1-p1'],1000.0,0.0
ARGTRS,arg__L_c + atp_c + trnaarg_c --> amp_c + argtrna_c + ppi_c,['M153_210004843-t31_1-p1'],1000.0,0.0
ASPTRS,asp__L_c + atp_c + trnaasp_c --> amp_c + asptrna_c + ppi_c,['M153_9400015697-t31_1-p1'],1000.0,0.0
DASYN161,ctp_c + h_c + pa161_c --> cdpdhdec9eg_c + ppi_c,['M153_13780002107-t31_1-p1'],1000.0,0.0
DSERDHr,nadp_c + ser__D_c --> 2amsa_c + h_c + nadph_c,['M153_8950002643-t31_1-p1'],1000.0,0.0
DUTPDP,dutp_c + h2o_c --> dump_c + h_c + ppi_c,['M153_6500017573-t31_1-p1'],1000.0,0.0
E4PD,e4p_c + h2o_c + nad_c --> 4per_c + 2.0 h_c + nadh_c,['M153_5947000186-t31_1-p1'],1000.0,0.0
G1PACT,accoa_c + gam1p_c --> acgam1p_c + coa_c + h_c,['M153_1295900081-t31_1-p1'],1000.0,0.0
GLNS,atp_c + glu__L_c + nh4_c --> adp_c + gln__L_c + h_c + pi_c,['M153_726000583-t31_1-p1'],1000.0,0.0
GLUTRS,atp_c + glu__L_c + trnaglu_c --> amp_c + glutrna_c + ppi_c,['M153_1800003755-t31_1-p1'],1000.0,0.0
GMHEPAT,atp_c + gmhep1p_c + h_c --> adphep_DD_c + ppi_c,['M153_2740000635-t31_1-p1'],1000.0,0.0
GRXR,grxox_c + 2.0 gthrd_c --> grxrd_c + gthox_c,['M153_887000939-t31_1-p1'],1000.0,0.0
GTHOr,gthox_c + h_c + nadph_c --> 2.0 gthrd_c + nadp_c,"['M153_887000939-t31_1-p1', 'M153_1000120258', 'M153_22300011454', 'M153_7880003079-t31_1-p1', 'M153_1238000268', 'M153_4190006709']",1000.0,0.0
I4FE4ST,4.0 h_c + iscu_4fe4s_c --> 4fe4s_c + iscu_c,['M153_1640008755-t31_1-p1'],1000.0,0.0
LALDO3,h_c + mthgxl_c + nadph_c --> lald__L_c + nadp_c,['M153_2100048694-t31_1-p1'],1000.0,0.0
LYSTRS,atp_c + lys__L_c + trnalys_c --> amp_c + lystrna_c + ppi_c,"['M153_1100062646-t31_1-p1', 'M153_65170001-t31_1-p1', 'M153_2289000809-t31_1-p1', 'M153_814000782-t31_1-p1', 'M153_12698000833-t31_1-p1', 'M153_11240003342-t31_1-p1']",1000.0,0.0
MAN1PT2,gdp_c + h_c + man1p_c --> gdpmann_c + pi_c,['M153_1295900081-t31_1-p1'],1000.0,0.0
METAT,atp_c + h2o_c + met__L_c --> amet_c + pi_c + ppi_c,"['M153_5740002994-t31_1-p1', 'M153_4750005693', 'M153_211000210-t31_1-p1']",1000.0,0.0
MOADSUx,iscssh_c + moadamp_c + nadh_c --> amp_c + iscs_c + moadcosh_c + nad_c,['M153_3660002060-t31_1-p1'],1000.0,0.0
MPTSS,atp_c + h_c + moadcoo_c --> moadamp_c + ppi_c,['M153_110006348-t31_1-p1'],1000.0,0.0
NDPK3,atp_c + cdp_c --> adp_c + ctp_c,['M153_14900013446-t31_1-p1'],1000.0,0.0
NDPK5,atp_c + dgdp_c --> adp_c + dgtp_c,['M153_14900013446-t31_1-p1'],1000.0,0.0
NDPK6,atp_c + dudp_c --> adp_c + dutp_c,['M153_14900013446-t31_1-p1'],1000.0,0.0
NTP1,atp_c + h2o_c --> adp_c + h_c + pi_c,"['M153_7950001396-t31_1-p1', 'M153_19600011630-t31_1-p1', 'M153_3510005249-t31_1-p1', 'M153_213700093-t31_1-p1', 'M153_35100001-t31_1-p1']",1000.0,0.0
PANTS,ala_B_c + atp_c + pant__R_c --> amp_c + h_c + pnto__R_c + ppi_c,['M153_110007909-t31_1-p1'],1000.0,0.0
PFK,atp_c + f6p_c --> adp_c + fdp_c + h_c,['M153_3910005435-t31_1-p1'],1000.0,0.0
PSD120,h_c + ps120_c --> co2_c + pe120_c,['M153_2200026179-t31_1-p1'],1000.0,0.0
PSD160,h_c + ps160_c --> co2_c + pe160_c,['M153_2200026179-t31_1-p1'],1000.0,0.0
PYK,adp_c + h_c + pep_c --> atp_c + pyr_c,['M153_100058818-t31_1-p1'],1000.0,0.0
RNDR1b,adp_c + grxrd_c --> dadp_c + grxox_c + h2o_c,"['M153_887000939-t31_1-p1', 'M153_6680004595-t31_1-p1']",1000.0,0.0
RNDR2b,gdp_c + grxrd_c --> dgdp_c + grxox_c + h2o_c,"['M153_887000939-t31_1-p1', 'M153_6680004595-t31_1-p1']",1000.0,0.0
RNDR3,cdp_c + trdrd_c --> dcdp_c + h2o_c + trdox_c,"['M153_6680004595-t31_1-p1', 'M153_19030001338-t31_1-p1']",1000.0,0.0
RNDR3b,cdp_c + grxrd_c --> dcdp_c + grxox_c + h2o_c,"['M153_887000939-t31_1-p1', 'M153_6680004595-t31_1-p1']",1000.0,0.0
RNDR4b,grxrd_c + udp_c --> dudp_c + grxox_c + h2o_c,"['M153_887000939-t31_1-p1', 'M153_6680004595-t31_1-p1']",1000.0,0.0
THFAT,h2o_c + methf_c --> 5fthf_c + h_c,['M153_3268000477-t31_1-p1'],1000.0,0.0
TPI,dhap_c --> g3p_c,['M153_2100013203-t31_1-p1'],1000.0,0.0
TRDR,h_c + nadph_c + trdox_c --> nadp_c + trdrd_c,['M153_3180006388-t31_1-p1'],1000.0,0.0
VALTRS,atp_c + trnaval_c + val__L_c --> amp_c + ppi_c + valtrna_c,"['M153_27570001651-t31_1-p1', 'M153_23820002-t31_1-p1']",1000.0,0.0
THZPSN,atp_c + cys__L_c + dxyl5p_c + tyr__L_c --> 4hba_c + 4mpetz_c + ala__L_c + amp_c + co2_c + h2o_c + h_c + ppi_c,"['M153_3660002060-t31_1-p1', 'M153_110009793-t31_1-p1', 'M153_110006348-t31_1-p1']",1000.0,0.0
ACGAMPM,acgam6p_c --> acgam1p_c,['M153_23090002134-t31_1-p1'],1000.0,0.0
ALCD19y,glyald_c + h_c + nadph_c --> glyc_c + nadp_c,['M153_2100048694-t31_1-p1'],1000.0,0.0
ARAB1D2,arab__D_c + nadp_c --> Dara14lac_c + h_c + nadph_c,['M153_2100048694-t31_1-p1'],1000.0,0.0
CHTNS,udpacgal_c --> chitin_c + h_c + udp_c,['M153_15700013990-t31_1-p1'],1000.0,0.0
ERGSTt,ergst_e --> ergst_c,"['M153_7890002214-t31_1-p1', 'M153_4020004482-t31_1-p1']",1000.0,0.0
FAS120,dca_c + 3.0 h_c + malcoa_c + 2.0 nadph_c --> co2_c + coa_c + ddca_c + h2o_c + 2.0 nadp_c,['M153_288920003-t31_1-p1'],1000.0,0.0
FAS160,3.0 h_c + malcoa_c + 2.0 nadph_c + ttdca_c --> co2_c + coa_c + h2o_c + hdca_c + 2.0 nadp_c,['M153_288920003-t31_1-p1'],1000.0,0.0
GLYCDy,glyc_c + nadp_c --> dha_c + h_c + nadph_c,['M153_2100048694-t31_1-p1'],1000.0,0.0
H2Ot,h2o_e --> h2o_c,"['spontaneous', 'M153_9933000924-t31_1-p1']",1000.0,0.0
INSTt2,h_e + inost_e --> h_c + inost_c,['M153_1188000788-t31_1-p1'],1000.0,0.0
NTP4,dgtp_c + h2o_c --> dgdp_c + h_c + pi_c,['M153_19600011630-t31_1-p1'],1000.0,0.0
PI35BP5P_SC,h2o_c + 0.01 ptd135bp_SC_c --> pi_c + 0.01 ptd3ino_SC_c,['M153_19240002-t31_1-p1'],1000.0,0.0
PIN3K_SC,atp_c + 0.01 ptd1ino_SC_c --> adp_c + h_c + 0.01 ptd3ino_SC_c,['M153_10270003-t31_1-p1'],1000.0,0.0
ZYMSTt,zymst_e --> zymst_c,"['M153_7890002214-t31_1-p1', 'M153_4020004482-t31_1-p1']",1000.0,0.0
CRNabc,atp_c + crn_e + h2o_c --> adp_c + crn_c + h_c + pi_c,['M153_1890002928-t31_1-p1'],1000.0,0.0
G3PCT,ctp_c + glyc3p_c + h_c --> cdpglyc_c + ppi_c,['M153_2740000635-t31_1-p1'],1000.0,0.0
MOBDabc,atp_c + h2o_c + mobd_e --> adp_c + h_c + mobd_c + pi_c,"['M153_1300005994-t31_1-p1', 'M153_5000037947-t31_1-p1', 'M153_7890002214-t31_1-p1']",1000.0,0.0
SULabc,atp_c + h2o_c + so4_e --> adp_c + h_c + pi_c + so4_c,"['M153_5000037947-t31_1-p1', 'M153_7890002214-t31_1-p1']",1000.0,0.0
ARABDI,arab__D_c --> rbl__D_c,['M153_2100019407-t31_1-p1'],1000.0,0.0
PDHa,h_c + lpam_c + pyr_c --> adhlam_c + co2_c,['M153_2350009583-t31_1-p1'],1000.0,0.0
DASYN_HP,ctp_c + h_c + pa_Hp_c --> cdpdag_HP_c + ppi_c,['M153_13780002107-t31_1-p1'],1000.0,0.0
TSULabc,atp_c + h2o_c + tsul_e --> adp_c + h_c + pi_c + tsul_c,"['M153_5000037947-t31_1-p1', 'M153_7890002214-t31_1-p1']",1000.0,0.0
CAATPS,atp_c + 2.0 ca2_c + h2o_c --> adp_c + 2.0 ca2_e + h_e + pi_c,['M153_2880002575-t31_1-p1'],1000.0,0.0
METDabc,atp_c + h2o_c + met__D_e --> adp_c + h_c + met__D_c + pi_c,['M153_1300005994-t31_1-p1'],1000.0,0.0
FACOAL1821,atp_c + coa_c + lnlc_c --> amp_c + lnlccoa_c + ppi_c,['M153_1313000491-t31_1-p1'],1000.0,0.0
NTP2,datp_c + h2o_c --> dadp_c + h_c + pi_c,['M153_19600011630-t31_1-p1'],1000.0,0.0
NTP9,dttp_c + h2o_c --> dtdp_c + h_c + pi_c,['M153_19600011630-t31_1-p1'],1000.0,0.0
HCO3abc,atp_c + h2o_c + hco3_e --> adp_c + h_c + hco3_c + pi_c,['M153_1890002928-t31_1-p1'],1000.0,0.0
PE1801829Z12Zt,atp_c + h2o_c + pe1801829Z12Z_c --> adp_c + h_c + pe1801829Z12Z_e + pi_c,['M153_2750007406-t31_1-p1'],1000.0,0.0
PE18111Z1829Z12Zt,atp_c + h2o_c + pe18111Z1829Z12Z_c --> adp_c + h_c + pe18111Z1829Z12Z_e + pi_c,['M153_2750007406-t31_1-p1'],1000.0,0.0
PE18111Z1835Z9Z12Zt,atp_c + h2o_c + pe18111Z1835Z9Z12Z_c --> adp_c + h_c + pe18111Z1835Z9Z12Z_e + pi_c,['M153_2750007406-t31_1-p1'],1000.0,0.0
PE1819Z1819Zt,atp_c + h2o_c + pe1819Z1819Z_c --> adp_c + h_c + pe1819Z1819Z_e + pi_c,['M153_2750007406-t31_1-p1'],1000.0,0.0
PE1819Z1845Z9Z12Z15Zt,atp_c + h2o_c + pe1819Z1845Z9Z12Z15Z_c --> adp_c + h_c + pe1819Z1845Z9Z12Z15Z_e + pi_c,['M153_2750007406-t31_1-p1'],1000.0,0.0
PGP18111Z160t,atp_c + h2o_c + pgp18111Z160_c --> adp_c + h_c + pgp18111Z160_e + pi_c,['M153_2750007406-t31_1-p1'],1000.0,0.0
MEGLYXYLAMH,h2o_e + meglyxyl_e --> 26dmani_e + egly_e + h_e,['M153_13480000801-t31_1-p1'],1000.0,0.0
FACOAL18111Z,atp_c + coa_c + ocdcea_c --> amp_c + ocdcecoa_c + ppi_c,['M153_1313000491-t31_1-p1'],1000.0,0.0
G3PAT180_1,glyc3p_c + ocdccoa_c --> 1odecg3p_c + coa_c,['M153_12580001917-t31_1-p1'],1000.0,0.0
PLDAGAT16018111Z1819Z2,12dgr16018111Z_c + pa1801819Z_c --> 1odecg3p_c + tag16018111Z1819Z_c,['M153_869000619-t31_1-p1'],1000.0,0.0
PLDAGAT16018111Z1819Z4,12dgr16018111Z_c + pa1819Z1819Z_c --> 1odec9eg3p_c + tag16018111Z1819Z_c,['M153_869000619-t31_1-p1'],1000.0,0.0
PLDAGAT1601819Z1601,12dgr1601819Z_c + pa18111Z160_c --> 1odec11eg3p_c + tag1601819Z160_c,['M153_869000619-t31_1-p1'],1000.0,0.0
PLDAGAT1601819Z18111Z1,12dgr1601819Z_c + pa16018111Z_c --> 1hdecg3p_c + tag1601819Z18111Z_c,['M153_869000619-t31_1-p1'],1000.0,0.0
PLDAGAT1601819Z1819Z3,12dgr1601819Z_c + pa18111Z1819Z_c --> 1odec11eg3p_c + tag1601819Z1819Z_c,['M153_869000619-t31_1-p1'],1000.0,0.0
PLDAGAT1601819Z1819Z4,12dgr1601819Z_c + pa1819Z1819Z_c --> 1odec9eg3p_c + tag1601819Z1819Z_c,['M153_869000619-t31_1-p1'],1000.0,0.0
PLDAGAT18111Z1819Z1601,12dgr18111Z1819Z_c + pa18111Z160_c --> 1odec11eg3p_c + tag18111Z1819Z160_c,['M153_869000619-t31_1-p1'],1000.0,0.0
PLDAGAT18111Z1819Z1602,12dgr18111Z1819Z_c + pa1819Z160_c --> 1odec9eg3p_c + tag18111Z1819Z160_c,['M153_869000619-t31_1-p1'],1000.0,0.0
PLDAGAT18111Z1819Z18111Z1,12dgr18111Z1819Z_c + pa16018111Z_c --> 1hdecg3p_c + tag18111Z1819Z18111Z_c,['M153_869000619-t31_1-p1'],1000.0,0.0
PLDAGAT1819Z18111Z1601,12dgr1819Z18111Z_c + pa18111Z160_c --> 1odec11eg3p_c + tag1819Z18111Z160_c,['M153_869000619-t31_1-p1'],1000.0,0.0
PLDAGAT1819Z18111Z1819Z1,12dgr1819Z18111Z_c + pa1601819Z_c --> 1hdecg3p_c + tag1819Z18111Z1819Z_c,['M153_869000619-t31_1-p1'],1000.0,0.0
PLDAGAT1819Z18111Z1819Z4,12dgr1819Z18111Z_c + pa1819Z1819Z_c --> 1odec9eg3p_c + tag1819Z18111Z1819Z_c,['M153_869000619-t31_1-p1'],1000.0,0.0
PLDAGAT1819Z1819Z18111Z1,12dgr1819Z1819Z_c + pa16018111Z_c --> 1hdecg3p_c + tag1819Z1819Z18111Z_c,['M153_869000619-t31_1-p1'],1000.0,0.0
PLDAGAT1819Z1819Z18111Z2,12dgr1819Z1819Z_c + pa18111Z18111Z_c --> 1odec11eg3p_c + tag1819Z1819Z18111Z_c,['M153_869000619-t31_1-p1'],1000.0,0.0
PLDAGAT1819Z1819Z18111Z3,12dgr1819Z1819Z_c + pa1819Z18111Z_c --> 1odec9eg3p_c + tag1819Z1819Z18111Z_c,['M153_869000619-t31_1-p1'],1000.0,0.0
1AGPEAT1801835Z9Z12Z,1agpe180_c + pacoa_c --> coa_c + pe1801835Z9Z12Z_c,['M153_12580001917-t31_1-p1'],1000.0,0.0
1AGPEAT1819Z1829Z12Z,1agpe1819Z_c + lnlccoa_c --> coa_c + pe1819Z1829Z12Z_c,['M153_12580001917-t31_1-p1'],1000.0,0.0
1AGPEAT1819Z1835Z9Z12Z,1agpe1819Z_c + pacoa_c --> coa_c + pe1819Z1835Z9Z12Z_c,['M153_12580001917-t31_1-p1'],1000.0,0.0
CDPDAGS1819Z160,ctp_c + 3.0 h_c + pa1819Z160_c --> cdp12dgr1819Z160_c + ppi_c,['M153_13780002107-t31_1-p1'],1000.0,0.0
ETHAPT1801819Z,12dgr1801819Z_c + cdpea_c --> cmp_c + h_c + pe1801819Z_c,['M153_320001940-t31_1-p1'],1000.0,0.0
