reaction ids,reaction formulas,genes,upper_bounds,lower_bounds
2AGPGAT120,2agpg120_c + atp_c + ddca_c --> amp_c + pg120_c + ppi_c,"['TcCLB.503575.50:mRNA-p1', 'TcCLB.506829.100:mRNA-p1', 'TcCLB.506829.110:mRNA-p1']",1000.0,0.0
2AGPGAT141,2agpg141_c + atp_c + ttdcea_c --> amp_c + pg141_c + ppi_c,"['TcCLB.503575.50:mRNA-p1', 'TcCLB.506829.100:mRNA-p1', 'TcCLB.506829.110:mRNA-p1']",1000.0,0.0
2AGPGAT180,2agpg180_c + atp_c + ocdca_c --> amp_c + pg180_c + ppi_c,"['TcCLB.503575.50:mRNA-p1', 'TcCLB.506829.100:mRNA-p1', 'TcCLB.506829.110:mRNA-p1']",1000.0,0.0
3OAR120,3oddecACP_c + h_c + nadph_c --> 3hddecACP_c + nadp_c,"['TcCLB.509767.170:mRNA-p1', 'TcCLB.506567.70:mRNA-p1', 'TcCLB.510757.20:mRNA-p1', 'TcCLB.508805.80:mRNA-p1', 'TcCLB.511627.150:mRNA-p1']",1000.0,0.0
3OAR141,3ocmrs7eACP_c + h_c + nadph_c --> 3hcmrs7eACP_c + nadp_c,"['TcCLB.509767.170:mRNA-p1', 'TcCLB.506567.70:mRNA-p1', 'TcCLB.510757.20:mRNA-p1', 'TcCLB.508805.80:mRNA-p1', 'TcCLB.511627.150:mRNA-p1']",1000.0,0.0
3OAR161,3ocpalm9eACP_c + h_c + nadph_c --> 3hcpalm9eACP_c + nadp_c,"['TcCLB.509767.170:mRNA-p1', 'TcCLB.506567.70:mRNA-p1', 'TcCLB.510757.20:mRNA-p1', 'TcCLB.508805.80:mRNA-p1', 'TcCLB.511627.150:mRNA-p1']",1000.0,0.0
3OAS140,ddcaACP_c + h_c + malACP_c --> 3omrsACP_c + ACP_c + co2_c,['TcCLB.511109.120:mRNA-p1'],1000.0,0.0
3OAS161,h_c + malACP_c + tdeACP_c --> 3ocpalm9eACP_c + ACP_c + co2_c,['TcCLB.511109.120:mRNA-p1'],1000.0,0.0
4HTHRS,h2o_c + phthr_c --> 4hthr_c + pi_c,['TcCLB.504213.80:mRNA-p1'],1000.0,0.0
AACPS5,ACP_c + atp_c + ocdcea_c --> amp_c + octeACP_c + ppi_c,"['TcCLB.511867.140:mRNA-p1', 'TcCLB.503575.50:mRNA-p1', 'TcCLB.506829.100:mRNA-p1', 'TcCLB.506829.110:mRNA-p1']",1000.0,0.0
AACPS6,ACP_c + atp_c + ocdca_c --> amp_c + ocdcaACP_c + ppi_c,"['TcCLB.511867.140:mRNA-p1', 'TcCLB.503575.50:mRNA-p1', 'TcCLB.506829.100:mRNA-p1', 'TcCLB.506829.110:mRNA-p1']",1000.0,0.0
AACPS9,ACP_c + atp_c + octa_c --> amp_c + ocACP_c + ppi_c,"['TcCLB.511867.140:mRNA-p1', 'TcCLB.503575.50:mRNA-p1', 'TcCLB.506829.100:mRNA-p1', 'TcCLB.506829.110:mRNA-p1']",1000.0,0.0
ACACT2r,accoa_c + btcoa_c --> 3ohcoa_c + coa_c,"['TcCLB.407477.10:mRNA-p1', 'TcCLB.510507.20:mRNA-p1']",1000.0,0.0
ACACT3r,accoa_c + hxcoa_c --> 3oocoa_c + coa_c,"['TcCLB.407477.10:mRNA-p1', 'TcCLB.510507.20:mRNA-p1']",1000.0,0.0
ACCOAL,atp_c + coa_c + ppa_c --> adp_c + pi_c + ppcoa_c,"['TcCLB.511581.20:mRNA-p1', 'TcCLB.504427.110:mRNA-p1']",1000.0,0.0
ACOAD1f,btcoa_c + fad_c --> b2coa_c + fadh2_c,"['TcCLB.508951.40:mRNA-p1', 'TcCLB.509153.120:mRNA-p1', 'TcCLB.508465.110:mRNA-p1']",1000.0,0.0
ACOAD7f,fad_c + pmtcoa_c --> fadh2_c + hdd2coa_c,"['TcCLB.508951.40:mRNA-p1', 'TcCLB.509153.120:mRNA-p1', 'TcCLB.508465.110:mRNA-p1']",1000.0,0.0
ACOATA,ACP_c + accoa_c --> acACP_c + coa_c,"['TcCLB.511867.140:mRNA-p1', 'TcCLB.511109.120:mRNA-p1', 'TcCLB.507011.120:mRNA-p1']",1000.0,0.0
ACODA,acorn_c + h2o_c --> ac_c + orn_c,"['TcCLB.507689.40:mRNA-p1', 'TcCLB.507689.30:mRNA-p1', 'TcCLB.507689.50:mRNA-p1']",1000.0,0.0
ACPPAT141,h_c + pi_c + tdeACP_c --> ACP_c + ttdceap_c,['TcCLB.511867.140:mRNA-p1'],1000.0,0.0
ACPPAT161,h_c + hdeACP_c + pi_c --> ACP_c + hdceap_c,['TcCLB.511867.140:mRNA-p1'],1000.0,0.0
ADCS,chor_c + gln__L_c --> 4adcho_c + glu__L_c,['TcCLB.508093.39:pseudogenic_transcript-p1'],1000.0,0.0
ADNK1,adn_c + atp_c --> adp_c + amp_c + h_c,"['TcCLB.509965.370:mRNA-p1', 'TcCLB.507883.80:mRNA-p1', 'TcCLB.503479.30:mRNA-p1']",1000.0,0.0
ALATA_L,akg_c + ala__L_c --> glu__L_c + pyr_c,"['TcCLB.506529.430:mRNA-p1', 'TcCLB.506529.420:mRNA-p1']",1000.0,0.0
ALATRS,ala__L_c + atp_c + trnaala_c --> alatrna_c + amp_c + ppi_c,['TcCLB.506863.10:mRNA-p1'],1000.0,0.0
ALCD2x,etoh_c + nad_c --> acald_c + h_c + nadh_c,['TcCLB.506357.50:mRNA-p1'],1000.0,0.0
AP5AH,ap5a_c + h2o_c --> adp_c + atp_c + 2.0 h_c,['TcCLB.506863.80:mRNA-p1'],1000.0,0.0
