reaction ids,reaction formulas,genes,upper_bounds,lower_bounds
2AGPGAT120,2agpg120_c + atp_c + ddca_c --> amp_c + pg120_c + ppi_c,"['C3747_264g22-t42_1-p1', 'C3747_14g267-t42_1-p1', 'C3747_196g5-t42_1-p1', 'C3747_34g373-t42_1-p1']",1000.0,0.0
2AGPGAT141,2agpg141_c + atp_c + ttdcea_c --> amp_c + pg141_c + ppi_c,"['C3747_264g22-t42_1-p1', 'C3747_14g267-t42_1-p1', 'C3747_196g5-t42_1-p1', 'C3747_34g373-t42_1-p1']",1000.0,0.0
2AGPGAT180,2agpg180_c + atp_c + ocdca_c --> amp_c + pg180_c + ppi_c,"['C3747_264g22-t42_1-p1', 'C3747_14g267-t42_1-p1', 'C3747_196g5-t42_1-p1', 'C3747_34g373-t42_1-p1']",1000.0,0.0
3OAR120,3oddecACP_c + h_c + nadph_c --> 3hddecACP_c + nadp_c,"['C3747_265g3-t42_1-p1', 'C3747_61g226-t42_1-p1', 'C3747_88g57-t42_1-p1', 'C3747_21g195-t42_1-p1', 'C3747_233g23-t42_1-p1']",1000.0,0.0
3OAR141,3ocmrs7eACP_c + h_c + nadph_c --> 3hcmrs7eACP_c + nadp_c,"['C3747_265g3-t42_1-p1', 'C3747_61g226-t42_1-p1', 'C3747_88g57-t42_1-p1', 'C3747_21g195-t42_1-p1', 'C3747_233g23-t42_1-p1']",1000.0,0.0
3OAR161,3ocpalm9eACP_c + h_c + nadph_c --> 3hcpalm9eACP_c + nadp_c,"['C3747_265g3-t42_1-p1', 'C3747_61g226-t42_1-p1', 'C3747_88g57-t42_1-p1', 'C3747_21g195-t42_1-p1', 'C3747_233g23-t42_1-p1']",1000.0,0.0
3OAS140,ddcaACP_c + h_c + malACP_c --> 3omrsACP_c + ACP_c + co2_c,"['C3747_111g168-t42_1-p1', 'C3747_470g11-t42_1-p1']",1000.0,0.0
3OAS161,h_c + malACP_c + tdeACP_c --> 3ocpalm9eACP_c + ACP_c + co2_c,['C3747_470g11-t42_1-p1'],1000.0,0.0
4HTHRS,h2o_c + phthr_c --> 4hthr_c + pi_c,"['C3747_101g83', 'C3747_35g141-t42_1-p1', 'C3747_35g142', 'C3747_101g82-t42_1-p1']",1000.0,0.0
AACPS5,ACP_c + atp_c + ocdcea_c --> amp_c + octeACP_c + ppi_c,"['C3747_258g25-t42_1-p1', 'C3747_34g373-t42_1-p1', 'C3747_264g22-t42_1-p1', 'C3747_14g267-t42_1-p1', 'C3747_276g6-t42_1-p1', 'C3747_196g5-t42_1-p1']",1000.0,0.0
AACPS6,ACP_c + atp_c + ocdca_c --> amp_c + ocdcaACP_c + ppi_c,"['C3747_258g25-t42_1-p1', 'C3747_34g373-t42_1-p1', 'C3747_264g22-t42_1-p1', 'C3747_14g267-t42_1-p1', 'C3747_276g6-t42_1-p1', 'C3747_196g5-t42_1-p1']",1000.0,0.0
AACPS9,ACP_c + atp_c + octa_c --> amp_c + ocACP_c + ppi_c,"['C3747_258g25-t42_1-p1', 'C3747_34g373-t42_1-p1', 'C3747_264g22-t42_1-p1', 'C3747_14g267-t42_1-p1', 'C3747_276g6-t42_1-p1', 'C3747_196g5-t42_1-p1']",1000.0,0.0
ACACT2r,accoa_c + btcoa_c --> 3ohcoa_c + coa_c,"['C3747_53g210-t42_1-p1', 'C3747_29g138-t42_1-p1', 'C3747_313g15-t42_1-p1']",1000.0,0.0
ACACT3r,accoa_c + hxcoa_c --> 3oocoa_c + coa_c,"['C3747_53g210-t42_1-p1', 'C3747_29g138-t42_1-p1', 'C3747_313g15-t42_1-p1']",1000.0,0.0
ACCOAL,atp_c + coa_c + ppa_c --> adp_c + pi_c + ppcoa_c,['C3747_21g63-t42_1-p1'],1000.0,0.0
ACOAD1f,btcoa_c + fad_c --> b2coa_c + fadh2_c,"['C3747_84g70-t42_1-p1', 'C3747_10g625-t42_1-p1', 'C3747_71g178-t42_1-p1', 'C3747_283g15-t42_1-p1', 'C3747_230g12-t42_1-p1', 'C3747_144g118-t42_1-p1']",1000.0,0.0
ACOAD7f,fad_c + pmtcoa_c --> fadh2_c + hdd2coa_c,"['C3747_84g70-t42_1-p1', 'C3747_10g625-t42_1-p1', 'C3747_71g178-t42_1-p1', 'C3747_283g15-t42_1-p1', 'C3747_230g12-t42_1-p1', 'C3747_144g118-t42_1-p1']",1000.0,0.0
ACOATA,ACP_c + accoa_c --> acACP_c + coa_c,"['C3747_258g25-t42_1-p1', 'C3747_276g6-t42_1-p1', 'C3747_470g11-t42_1-p1', 'C3747_1g688-t42_1-p1']",1000.0,0.0
ACODA,acorn_c + h2o_c --> ac_c + orn_c,"['C3747_304g18-t42_1-p1', 'C3747_229g24-t42_1-p1', 'C3747_240g50-t42_1-p1', 'C3747_15g50-t42_1-p1', 'C3747_338g33-t42_1-p1', 'C3747_366g13', 'C3747_338g39-t42_1-p1', 'C3747_102g37', 'C3747_220g6-t42_1-p1', 'C3747_1g386', 'C3747_457g2-t42_1-p1', 'C3747_439g15-t42_1-p1', 'C3747_457g9-t42_1-p1', 'C3747_229g23-t42_1-p1', 'C3747_439g19-t42_1-p1']",1000.0,0.0
ACPPAT141,h_c + pi_c + tdeACP_c --> ACP_c + ttdceap_c,"['C3747_258g25-t42_1-p1', 'C3747_276g6-t42_1-p1']",1000.0,0.0
ACPPAT161,h_c + hdeACP_c + pi_c --> ACP_c + hdceap_c,"['C3747_258g25-t42_1-p1', 'C3747_276g6-t42_1-p1']",1000.0,0.0
ADNK1,adn_c + atp_c --> adp_c + amp_c + h_c,"['C3747_89g145-t42_1-p1', 'C3747_40g189-t42_1-p1', 'C3747_63g121', 'C3747_60g123-t42_1-p1', 'C3747_29g176', 'C3747_80g76-t42_1-p1', 'C3747_41g223', 'C3747_14g176-t42_1-p1']",1000.0,0.0
ALATA_L,akg_c + ala__L_c --> glu__L_c + pyr_c,"['C3747_50g114', 'C3747_114g65-t42_1-p1', 'C3747_78g79', 'C3747_50g113-t42_1-p1', 'C3747_78g80', 'C3747_50g116-t42_1-p1']",1000.0,0.0
ALATRS,ala__L_c + atp_c + trnaala_c --> alatrna_c + amp_c + ppi_c,"['C3747_92g123-t42_1-p1', 'C3747_22g119-t42_1-p1']",1000.0,0.0
ALCD2x,etoh_c + nad_c --> acald_c + h_c + nadh_c,"['C3747_2g594-t42_1-p1', 'C3747_18g163-t42_1-p1']",1000.0,0.0
