reaction ids,reaction formulas,genes,upper_bounds,lower_bounds
2AGPGAT120,2agpg120_c + atp_c + ddca_c --> amp_c + pg120_c + ppi_c,"['TGVAND_297220-t30_1-p1', 'TGVAND_464976-t30_1-p1', 'TGVAND_310080-t30_1-p1']",1000.0,0.0
2AGPGAT141,2agpg141_c + atp_c + ttdcea_c --> amp_c + pg141_c + ppi_c,"['TGVAND_297220-t30_1-p1', 'TGVAND_464976-t30_1-p1', 'TGVAND_310080-t30_1-p1']",1000.0,0.0
2AGPGAT180,2agpg180_c + atp_c + ocdca_c --> amp_c + pg180_c + ppi_c,"['TGVAND_297220-t30_1-p1', 'TGVAND_464976-t30_1-p1', 'TGVAND_310080-t30_1-p1']",1000.0,0.0
3HAD160,3hpalmACP_c --> h2o_c + tpalm2eACP_c,['TGVAND_321570-t30_1-p1'],1000.0,0.0
3OAR120,3oddecACP_c + h_c + nadph_c --> 3hddecACP_c + nadp_c,"['TGVAND_226300-t30_1-p1', 'TGVAND_271888-t30_1-p1', 'TGVAND_217740-t30_1-p1', 'TGVAND_234570-t30_1-p1']",1000.0,0.0
3OAR141,3ocmrs7eACP_c + h_c + nadph_c --> 3hcmrs7eACP_c + nadp_c,"['TGVAND_226300-t30_1-p1', 'TGVAND_271888-t30_1-p1', 'TGVAND_217740-t30_1-p1', 'TGVAND_234570-t30_1-p1']",1000.0,0.0
3OAR161,3ocpalm9eACP_c + h_c + nadph_c --> 3hcpalm9eACP_c + nadp_c,"['TGVAND_226300-t30_1-p1', 'TGVAND_271888-t30_1-p1', 'TGVAND_217740-t30_1-p1', 'TGVAND_234570-t30_1-p1']",1000.0,0.0
3OAS140,ddcaACP_c + h_c + malACP_c --> 3omrsACP_c + ACP_c + co2_c,"['TGVAND_294820A-t30_1-p1', 'TGVAND_231890-t30_1-p1', 'TGVAND_293590-t30_1-p1', 'TGVAND_294820B-t30_1-p1']",1000.0,0.0
3OAS161,h_c + malACP_c + tdeACP_c --> 3ocpalm9eACP_c + ACP_c + co2_c,"['TGVAND_231890-t30_1-p1', 'TGVAND_293590-t30_1-p1']",1000.0,0.0
4HTHRS,h2o_c + phthr_c --> 4hthr_c + pi_c,['TGVAND_220840-t30_1-p1'],1000.0,0.0
AACPS5,ACP_c + atp_c + ocdcea_c --> amp_c + octeACP_c + ppi_c,"['TGVAND_297220-t30_1-p1', 'TGVAND_264080-t30_1-p1', 'TGVAND_464976-t30_1-p1', 'TGVAND_310080-t30_1-p1']",1000.0,0.0
AACPS6,ACP_c + atp_c + ocdca_c --> amp_c + ocdcaACP_c + ppi_c,"['TGVAND_297220-t30_1-p1', 'TGVAND_264080-t30_1-p1', 'TGVAND_464976-t30_1-p1', 'TGVAND_310080-t30_1-p1']",1000.0,0.0
AACPS9,ACP_c + atp_c + octa_c --> amp_c + ocACP_c + ppi_c,"['TGVAND_297220-t30_1-p1', 'TGVAND_264080-t30_1-p1', 'TGVAND_464976-t30_1-p1', 'TGVAND_310080-t30_1-p1']",1000.0,0.0
ACACT2r,accoa_c + btcoa_c --> 3ohcoa_c + coa_c,"['TGVAND_301120-t30_1-p1', 'TGVAND_273740-t30_1-p1']",1000.0,0.0
ACACT3r,accoa_c + hxcoa_c --> 3oocoa_c + coa_c,"['TGVAND_301120-t30_1-p1', 'TGVAND_273740-t30_1-p1']",1000.0,0.0
ACCOAL,atp_c + coa_c + ppa_c --> adp_c + pi_c + ppcoa_c,"['TGVAND_266640B-t30_1-p1', 'TGVAND_232580-t30_1-p1', 'TGVAND_266640A-t30_1-p1', 'TGVAND_219230-t30_1-p1']",1000.0,0.0
ACOAD1f,btcoa_c + fad_c --> b2coa_c + fadh2_c,"['TGVAND_205430-t30_1-p1', 'TGVAND_266270-t30_1-p1']",1000.0,0.0
ACOAD7f,fad_c + pmtcoa_c --> fadh2_c + hdd2coa_c,"['TGVAND_205430-t30_1-p1', 'TGVAND_266270-t30_1-p1']",1000.0,0.0
ACOATA,ACP_c + accoa_c --> acACP_c + coa_c,"['TGVAND_231890-t30_1-p1', 'TGVAND_264080-t30_1-p1', 'TGVAND_293590-t30_1-p1']",1000.0,0.0
ACOTA,acorn_c + akg_c --> acg5sa_c + glu__L_c,['TGVAND_269110-t30_1-p1'],1000.0,0.0
ACPPAT141,h_c + pi_c + tdeACP_c --> ACP_c + ttdceap_c,['TGVAND_264080-t30_1-p1'],1000.0,0.0
ACPPAT161,h_c + hdeACP_c + pi_c --> ACP_c + hdceap_c,['TGVAND_264080-t30_1-p1'],1000.0,0.0
ADCS,chor_c + gln__L_c --> 4adcho_c + glu__L_c,['TGVAND_202920-t30_1-p1'],1000.0,0.0
ADNK1,adn_c + atp_c --> adp_c + amp_c + h_c,"['TGVAND_288320-t30_1-p1', 'TGVAND_224900-t30_1-p1', 'TGVAND_250880-t30_1-p1']",1000.0,0.0
