reaction ids,reaction formulas,genes,upper_bounds,lower_bounds
2AGPGAT120,2agpg120_c + atp_c + ddca_c --> amp_c + pg120_c + ppi_c,"['TRSC58_05627-t26_1-p1', 'TRSC58_07121-t26_1-p1', 'TRSC58_03581-t26_1-p1']",1000.0,0.0
2AGPGAT141,2agpg141_c + atp_c + ttdcea_c --> amp_c + pg141_c + ppi_c,"['TRSC58_05627-t26_1-p1', 'TRSC58_07121-t26_1-p1', 'TRSC58_03581-t26_1-p1']",1000.0,0.0
2AGPGAT180,2agpg180_c + atp_c + ocdca_c --> amp_c + pg180_c + ppi_c,"['TRSC58_05627-t26_1-p1', 'TRSC58_07121-t26_1-p1', 'TRSC58_03581-t26_1-p1']",1000.0,0.0
3OAR120,3oddecACP_c + h_c + nadph_c --> 3hddecACP_c + nadp_c,"['TRSC58_06325-t26_1-p1', 'TRSC58_03303-t26_1-p1', 'TRSC58_04853-t26_1-p1', 'TRSC58_02233-t26_1-p1']",1000.0,0.0
3OAR141,3ocmrs7eACP_c + h_c + nadph_c --> 3hcmrs7eACP_c + nadp_c,"['TRSC58_06325-t26_1-p1', 'TRSC58_03303-t26_1-p1', 'TRSC58_04853-t26_1-p1', 'TRSC58_02233-t26_1-p1']",1000.0,0.0
3OAR161,3ocpalm9eACP_c + h_c + nadph_c --> 3hcpalm9eACP_c + nadp_c,"['TRSC58_06325-t26_1-p1', 'TRSC58_03303-t26_1-p1', 'TRSC58_04853-t26_1-p1', 'TRSC58_02233-t26_1-p1']",1000.0,0.0
3OAS140,ddcaACP_c + h_c + malACP_c --> 3omrsACP_c + ACP_c + co2_c,['TRSC58_01215-t26_1-p1'],1000.0,0.0
3OAS161,h_c + malACP_c + tdeACP_c --> 3ocpalm9eACP_c + ACP_c + co2_c,['TRSC58_01215-t26_1-p1'],1000.0,0.0
4HTHRS,h2o_c + phthr_c --> 4hthr_c + pi_c,"['TRSC58_03615', 'TRSC58_02778-t26_1-p1']",1000.0,0.0
AACPS5,ACP_c + atp_c + ocdcea_c --> amp_c + octeACP_c + ppi_c,"['TRSC58_05627-t26_1-p1', 'TRSC58_07121-t26_1-p1', 'TRSC58_03581-t26_1-p1']",1000.0,0.0
AACPS6,ACP_c + atp_c + ocdca_c --> amp_c + ocdcaACP_c + ppi_c,"['TRSC58_05627-t26_1-p1', 'TRSC58_07121-t26_1-p1', 'TRSC58_03581-t26_1-p1']",1000.0,0.0
AACPS9,ACP_c + atp_c + octa_c --> amp_c + ocACP_c + ppi_c,"['TRSC58_05627-t26_1-p1', 'TRSC58_07121-t26_1-p1', 'TRSC58_03581-t26_1-p1']",1000.0,0.0
ACACT2r,accoa_c + btcoa_c --> 3ohcoa_c + coa_c,['TRSC58_01887-t26_1-p1'],1000.0,0.0
ACACT3r,accoa_c + hxcoa_c --> 3oocoa_c + coa_c,['TRSC58_01887-t26_1-p1'],1000.0,0.0
ACCOAL,atp_c + coa_c + ppa_c --> adp_c + pi_c + ppcoa_c,"['TRSC58_00504-t26_1-p1', 'TRSC58_06078-t26_1-p1', 'TRSC58_06230-t26_1-p1', 'TRSC58_01059-t26_1-p1']",1000.0,0.0
ACOAD1f,btcoa_c + fad_c --> b2coa_c + fadh2_c,"['TRSC58_04369-t26_1-p1', 'TRSC58_02224-t26_1-p1', 'TRSC58_03419-t26_1-p1']",1000.0,0.0
ACOAD7f,fad_c + pmtcoa_c --> fadh2_c + hdd2coa_c,"['TRSC58_04369-t26_1-p1', 'TRSC58_02224-t26_1-p1']",1000.0,0.0
ACOATA,ACP_c + accoa_c --> acACP_c + coa_c,"['TRSC58_05666-t26_1-p1', 'TRSC58_01215-t26_1-p1']",1000.0,0.0
ACODA,acorn_c + h2o_c --> ac_c + orn_c,"['TRSC58_06296-t26_1-p1', 'TRSC58_02403', 'TRSC58_06350', 'TRSC58_03315', 'TRSC58_06786-t26_1-p1']",1000.0,0.0
ADNK1,adn_c + atp_c --> adp_c + amp_c + h_c,"['TRSC58_01680-t26_1-p1', 'TRSC58_04501-t26_1-p1', 'TRSC58_04874-t26_1-p1', 'TRSC58_02653-t26_1-p1']",1000.0,0.0
ADNUC,adn_c + h2o_c --> ade_c + rib__D_c,['TRSC58_05154-t26_1-p1'],1000.0,0.0
AGPAT180,1odecg3p_c + ocdcaACP_c --> ACP_c + pa180_c,['TRSC58_03249-t26_1-p1'],1000.0,0.0
ALATA_L,akg_c + ala__L_c --> glu__L_c + pyr_c,"['TRSC58_06538-t26_1-p1', 'TRSC58_02005-t26_1-p1', 'TRSC58_01347-t26_1-p1']",1000.0,0.0
ALATRS,ala__L_c + atp_c + trnaala_c --> alatrna_c + amp_c + ppi_c,"['TRSC58_03727-t26_1-p1', 'TRSC58_05304-t26_1-p1']",1000.0,0.0
ALCD2x,etoh_c + nad_c --> acald_c + h_c + nadh_c,['TRSC58_05738-t26_1-p1'],1000.0,0.0
AP5AH,ap5a_c + h2o_c --> adp_c + atp_c + 2.0 h_c,"['TRSC58_02161-t26_1-p1', 'TRSC58_05574-t26_1-p1']",1000.0,0.0
APH140,h2o_c + ttdcap_c --> 2.0 h_c + pi_c + ttdca_c,['TRSC58_02775-t26_1-p1'],1000.0,0.0
APH160,h2o_c + hdcap_c --> 2.0 h_c + hdca_c + pi_c,['TRSC58_02775-t26_1-p1'],1000.0,0.0
APH161,h2o_c + hdceap_c --> 2.0 h_c + hdcea_c + pi_c,['TRSC58_02775-t26_1-p1'],1000.0,0.0
ARGTRS,arg__L_c + atp_c + trnaarg_c --> amp_c + argtrna_c + ppi_c,"['TRSC58_00604-t26_1-p1', 'TRSC58_06984']",1000.0,0.0
ASPTA,akg_c + asp__L_c --> glu__L_c + oaa_c,"['TRSC58_04043-t26_1-p1', 'TRSC58_01347-t26_1-p1', 'TRSC58_02005-t26_1-p1', 'TRSC58_05843-t26_1-p1', 'TRSC58_02148-t26_1-p1']",1000.0,0.0
ASPTRS,asp__L_c + atp_c + trnaasp_c --> amp_c + asptrna_c + ppi_c,"['TRSC58_01959-t26_1-p1', 'TRSC58_02324-t26_1-p1', 'TRSC58_05583']",1000.0,0.0
CBPS,2.0 atp_c + gln__L_c + h2o_c + hco3_c --> 2.0 adp_c + cbp_c + glu__L_c + 2.0 h_c + pi_c,"['TRSC58_07032-t26_1-p1', 'TRSC58_01558-t26_1-p1']",1000.0,0.0
CTECOAI6,tdecoa_c --> td2coa_c,"['TRSC58_00230-t26_1-p1', 'TRSC58_05658-t26_1-p1', 'TRSC58_06933-t26_1-p1', 'TRSC58_03729-t26_1-p1']",1000.0,0.0
DASYN161,ctp_c + h_c + pa161_c --> cdpdhdec9eg_c + ppi_c,"['TRSC58_01252-t26_1-p1', 'TRSC58_00730-t26_1-p1']",1000.0,0.0
DURIK1,atp_c + duri_c --> adp_c + dump_c + h_c,['TRSC58_02032-t26_1-p1'],1000.0,0.0
DUTPDP,dutp_c + h2o_c --> dump_c + h_c + ppi_c,['TRSC58_00535-t26_1-p1'],1000.0,0.0
E4PD,e4p_c + h2o_c + nad_c --> 4per_c + 2.0 h_c + nadh_c,"['TRSC58_06452-t26_1-p1', 'TRSC58_06402-t26_1-p1']",1000.0,0.0
ECOAH1,3hbcoa_c --> b2coa_c + h2o_c,"['TRSC58_05658-t26_1-p1', 'TRSC58_03729-t26_1-p1', 'TRSC58_05930-t26_1-p1', 'TRSC58_06043-t26_1-p1', 'TRSC58_00230-t26_1-p1', 'TRSC58_06933-t26_1-p1']",1000.0,0.0
ECOAH2,3hhcoa_c --> h2o_c + hx2coa_c,"['TRSC58_05658-t26_1-p1', 'TRSC58_05930-t26_1-p1', 'TRSC58_03729-t26_1-p1', 'TRSC58_06043-t26_1-p1', 'TRSC58_00230-t26_1-p1', 'TRSC58_06933-t26_1-p1']",1000.0,0.0
ECOAH6,3htdcoa_c --> h2o_c + td2coa_c,"['TRSC58_05658-t26_1-p1', 'TRSC58_03729-t26_1-p1', 'TRSC58_05930-t26_1-p1', 'TRSC58_06043-t26_1-p1', 'TRSC58_00230-t26_1-p1', 'TRSC58_06933-t26_1-p1']",1000.0,0.0
ECOAH8,3hodcoa_c --> h2o_c + od2coa_c,"['TRSC58_05658-t26_1-p1', 'TRSC58_03729-t26_1-p1', 'TRSC58_06043-t26_1-p1', 'TRSC58_00230-t26_1-p1', 'TRSC58_06933-t26_1-p1']",1000.0,0.0
FA140ACPHi,h2o_c + myrsACP_c --> ACP_c + h_c + ttdca_c,['TRSC58_05666-t26_1-p1'],1000.0,0.0
FA141ACPHi,h2o_c + tdeACP_c --> ACP_c + h_c + ttdcea_c,['TRSC58_05666-t26_1-p1'],1000.0,0.0
FA160ACPHi,h2o_c + palmACP_c --> ACP_c + h_c + hdca_c,['TRSC58_05666-t26_1-p1'],1000.0,0.0
FBP,fdp_c + h2o_c --> f6p_c + pi_c,"['TRSC58_03732-t26_1-p1', 'TRSC58_02909-t26_1-p1', 'TRSC58_05296-t26_1-p1']",1000.0,0.0
FRD2,fum_c + mql8_c --> mqn8_c + succ_c,['TRSC58_04930-t26_1-p1'],1000.0,0.0
FRD3,2dmmql8_c + fum_c --> 2dmmq8_c + succ_c,['TRSC58_04930-t26_1-p1'],1000.0,0.0
