reaction ids,reaction formulas,genes,upper_bounds,lower_bounds
2AGPGAT120,2agpg120_c + atp_c + ddca_c --> amp_c + pg120_c + ppi_c,"['TvY486_0901430:mRNA-p1', 'TvY486_1003210:mRNA-p1']",1000.0,0.0
2AGPGAT141,2agpg141_c + atp_c + ttdcea_c --> amp_c + pg141_c + ppi_c,"['TvY486_0901430:mRNA-p1', 'TvY486_1003210:mRNA-p1']",1000.0,0.0
2AGPGAT180,2agpg180_c + atp_c + ocdca_c --> amp_c + pg180_c + ppi_c,"['TvY486_0901430:mRNA-p1', 'TvY486_1003210:mRNA-p1']",1000.0,0.0
3OAR120,3oddecACP_c + h_c + nadph_c --> 3hddecACP_c + nadp_c,"['TvY486_0201780:mRNA-p1', 'TvY486_0801700:mRNA-p1', 'TvY486_0500800:mRNA-p1', 'TvY486_0906970:mRNA-p1']",1000.0,0.0
3OAR141,3ocmrs7eACP_c + h_c + nadph_c --> 3hcmrs7eACP_c + nadp_c,"['TvY486_0201780:mRNA-p1', 'TvY486_0801700:mRNA-p1', 'TvY486_0500800:mRNA-p1', 'TvY486_0906970:mRNA-p1']",1000.0,0.0
3OAR161,3ocpalm9eACP_c + h_c + nadph_c --> 3hcpalm9eACP_c + nadp_c,"['TvY486_0201780:mRNA-p1', 'TvY486_0801700:mRNA-p1', 'TvY486_0500800:mRNA-p1', 'TvY486_0906970:mRNA-p1']",1000.0,0.0
3OAS140,ddcaACP_c + h_c + malACP_c --> 3omrsACP_c + ACP_c + co2_c,['TvY486_0200930:mRNA-p1'],1000.0,0.0
3OAS161,h_c + malACP_c + tdeACP_c --> 3ocpalm9eACP_c + ACP_c + co2_c,['TvY486_0200930:mRNA-p1'],1000.0,0.0
AACPS5,ACP_c + atp_c + ocdcea_c --> amp_c + octeACP_c + ppi_c,"['TvY486_0901430:mRNA-p1', 'TvY486_0300270:mRNA-p1', 'TvY486_1003210:mRNA-p1']",1000.0,0.0
AACPS6,ACP_c + atp_c + ocdca_c --> amp_c + ocdcaACP_c + ppi_c,"['TvY486_0901430:mRNA-p1', 'TvY486_0300270:mRNA-p1', 'TvY486_1003210:mRNA-p1']",1000.0,0.0
AACPS9,ACP_c + atp_c + octa_c --> amp_c + ocACP_c + ppi_c,"['TvY486_0901430:mRNA-p1', 'TvY486_0300270:mRNA-p1', 'TvY486_1003210:mRNA-p1']",1000.0,0.0
ACACT2r,accoa_c + btcoa_c --> 3ohcoa_c + coa_c,['TvY486_0802010:mRNA-p1'],1000.0,0.0
ACACT3r,accoa_c + hxcoa_c --> 3oocoa_c + coa_c,['TvY486_0802010:mRNA-p1'],1000.0,0.0
ACCOAL,atp_c + coa_c + ppa_c --> adp_c + pi_c + ppcoa_c,['TvY486_0801980:mRNA-p1'],1000.0,0.0
ACOAD1f,btcoa_c + fad_c --> b2coa_c + fadh2_c,['TvY486_1101480:mRNA-p1'],1000.0,0.0
ACOAD7f,fad_c + pmtcoa_c --> fadh2_c + hdd2coa_c,['TvY486_1101480:mRNA-p1'],1000.0,0.0
ACOATA,ACP_c + accoa_c --> acACP_c + coa_c,"['TvY486_0200930:mRNA-p1', 'TvY486_0905610:mRNA-p1', 'TvY486_0300270:mRNA-p1']",1000.0,0.0
ACPPAT141,h_c + pi_c + tdeACP_c --> ACP_c + ttdceap_c,['TvY486_0300270:mRNA-p1'],1000.0,0.0
ACPPAT161,h_c + hdeACP_c + pi_c --> ACP_c + hdceap_c,['TvY486_0300270:mRNA-p1'],1000.0,0.0
ADNK1,adn_c + atp_c --> adp_c + amp_c + h_c,"['TvY486_0601850:mRNA-p1', 'TvY486_1002540:mRNA-p1', 'TvY486_1002560:mRNA-p1']",1000.0,0.0
ALATA_L,akg_c + ala__L_c --> glu__L_c + pyr_c,['TvY486_0101720:mRNA-p1'],1000.0,0.0
ALATRS,ala__L_c + atp_c + trnaala_c --> alatrna_c + amp_c + ppi_c,['TvY486_0600210:mRNA-p1'],1000.0,0.0
ALCD2x,etoh_c + nad_c --> acald_c + h_c + nadh_c,['TvY486_0803350:mRNA-p1'],1000.0,0.0
AP5AH,ap5a_c + h2o_c --> adp_c + atp_c + 2.0 h_c,['TvY486_0600140:mRNA-p1'],1000.0,0.0
ARGTRS,arg__L_c + atp_c + trnaarg_c --> amp_c + argtrna_c + ppi_c,['TvY486_1101970:mRNA-p1'],1000.0,0.0
ASPTA,akg_c + asp__L_c --> glu__L_c + oaa_c,"['TvY486_0101720:mRNA-p1', 'TvY486_1003680:mRNA-p1', 'TvY486_0008920:mRNA-p1', 'TvY486_1003700:mRNA-p1', 'TvY486_1105240:mRNA-p1']",1000.0,0.0
ASPTRS,asp__L_c + atp_c + trnaasp_c --> amp_c + asptrna_c + ppi_c,['TvY486_0601330:mRNA-p1'],1000.0,0.0
CBPS,2.0 atp_c + gln__L_c + h2o_c + hco3_c --> 2.0 adp_c + cbp_c + glu__L_c + 2.0 h_c + pi_c,['TvY486_0503230:mRNA-p1'],1000.0,0.0
CRNDCAL2,atp_c + coa_c + crn__D_c --> adp_c + crnDcoa_c + pi_c,['TvY486_1108240:mRNA-p1'],1000.0,0.0
CTECOAI6,tdecoa_c --> td2coa_c,"['TvY486_0806950:mRNA-p1', 'TvY486_1004040:mRNA-p1', 'TvY486_0304210:mRNA-p1', 'TvY486_0201070:mRNA-p1']",1000.0,0.0
DASYN161,ctp_c + h_c + pa161_c --> cdpdhdec9eg_c + ppi_c,['TvY486_0700060:mRNA-p1'],1000.0,0.0
DHFS,atp_c + dhpt_c + glu__L_c --> adp_c + dhf_c + h_c + pi_c,['TvY486_0041450:mRNA-p1'],1000.0,0.0
DURIK1,atp_c + duri_c --> adp_c + dump_c + h_c,['TvY486_1000840:mRNA-p1'],1000.0,0.0
DUTPDP,dutp_c + h2o_c --> dump_c + h_c + ppi_c,['TvY486_1009870:mRNA-p1'],1000.0,0.0
E4PD,e4p_c + h2o_c + nad_c --> 4per_c + 2.0 h_c + nadh_c,['TvY486_1006840:mRNA-p1'],1000.0,0.0
ECOAH1,3hbcoa_c --> b2coa_c + h2o_c,"['TvY486_1004040:mRNA-p1', 'TvY486_1008390:mRNA-p1', 'TvY486_0201070:mRNA-p1', 'TvY486_0806950:mRNA-p1', 'TvY486_0304210:mRNA-p1']",1000.0,0.0
ECOAH2,3hhcoa_c --> h2o_c + hx2coa_c,"['TvY486_0806950:mRNA-p1', 'TvY486_1004040:mRNA-p1', 'TvY486_0304210:mRNA-p1', 'TvY486_0201070:mRNA-p1']",1000.0,0.0
ECOAH6,3htdcoa_c --> h2o_c + td2coa_c,"['TvY486_0806950:mRNA-p1', 'TvY486_1004040:mRNA-p1', 'TvY486_0304210:mRNA-p1', 'TvY486_0201070:mRNA-p1']",1000.0,0.0
ECOAH8,3hodcoa_c --> h2o_c + od2coa_c,"['TvY486_0806950:mRNA-p1', 'TvY486_1004040:mRNA-p1', 'TvY486_0304210:mRNA-p1', 'TvY486_0201070:mRNA-p1']",1000.0,0.0
FA140ACPHi,h2o_c + myrsACP_c --> ACP_c + h_c + ttdca_c,['TvY486_0905610:mRNA-p1'],1000.0,0.0
FA141ACPHi,h2o_c + tdeACP_c --> ACP_c + h_c + ttdcea_c,['TvY486_0905610:mRNA-p1'],1000.0,0.0
FA160ACPHi,h2o_c + palmACP_c --> ACP_c + h_c + hdca_c,['TvY486_0905610:mRNA-p1'],1000.0,0.0
FBP,fdp_c + h2o_c --> f6p_c + pi_c,"['TvY486_0903560:mRNA-p1', 'TvY486_0201960:mRNA-p1', 'TvY486_0502050:mRNA-p1']",1000.0,0.0
FRD2,fum_c + mql8_c --> mqn8_c + succ_c,['TvY486_0500500:mRNA-p1'],1000.0,0.0
FRD3,2dmmql8_c + fum_c --> 2dmmq8_c + succ_c,['TvY486_0500500:mRNA-p1'],1000.0,0.0
FUM,fum_c + h2o_c --> mal__L_c,"['TvY486_1105200:mRNA-p1', 'TvY486_0303770:mRNA-p1']",1000.0,0.0
G3PAT141,glyc3p_c + tdeACP_c --> 1tdec7eg3p_c + ACP_c,"['TvY486_0300270:mRNA-p1', 'TvY486_0403030:mRNA-p1']",1000.0,0.0
G3PAT180,glyc3p_c + ocdcaACP_c --> 1odecg3p_c + ACP_c,"['TvY486_0300270:mRNA-p1', 'TvY486_0403030:mRNA-p1']",1000.0,0.0
GDMANE,gdpddman_c --> gdpofuc_c,['TvY486_1114850:mRNA-p1'],1000.0,0.0
GLNS,atp_c + glu__L_c + nh4_c --> adp_c + gln__L_c + h_c + pi_c,['TvY486_0705050:mRNA-p1'],1000.0,0.0
GLUTRS,atp_c + glu__L_c + trnaglu_c --> amp_c + glutrna_c + ppi_c,['TvY486_0801410:mRNA-p1'],1000.0,0.0
GLYCL,gly_c + nad_c + thf_c --> co2_c + mlthf_c + nadh_c + nh4_c,"['TvY486_1117730:mRNA-p1', 'TvY486_0002690:mRNA-p1', 'TvY486_0701740:mRNA-p1', 'TvY486_1010120:mRNA-p1', 'TvY486_0701750:mRNA-p1', 'TvY486_0904300:mRNA-p1', 'TvY486_0001980:mRNA-p1', 'TvY486_1110320:mRNA-p1']",1000.0,0.0
GMAND,gdpmann_c --> gdpddman_c + h2o_c,['TvY486_1014870:mRNA-p1'],1000.0,0.0
GMHEPAT,atp_c + gmhep1p_c + h_c --> adphep_DD_c + ppi_c,['TvY486_1114980:mRNA-p1'],1000.0,0.0
GPDDA2,g3pe_c + h2o_c --> etha_c + glyc3p_c + h_c,"['TvY486_0200380:mRNA-p1', 'TvY486_0805620:mRNA-p1']",1000.0,0.0
GPDDA3,g3ps_c + h2o_c --> glyc3p_c + h_c + ser__L_c,['TvY486_0805620:mRNA-p1'],1000.0,0.0
GRXR,grxox_c + 2.0 gthrd_c --> grxrd_c + gthox_c,"['TvY486_0500540:mRNA-p1', 'TvY486_1010310:mRNA-p1']",1000.0,0.0
GSPMDA,gtspmd_c + h2o_c --> gthrd_c + spmd_c,"['TvY486_0801870:mRNA-p1', 'TvY486_0201160:mRNA-p1']",1000.0,0.0
GTHOr,gthox_c + h_c + nadph_c --> 2.0 gthrd_c + nadp_c,"['TvY486_0500540:mRNA-p1', 'TvY486_1010290:mRNA-p1', 'TvY486_0100830:mRNA-p1']",1000.0,0.0
GTHS,atp_c + glucys_c + gly_c --> adp_c + gthrd_c + h_c + pi_c,['TvY486_0704000:mRNA-p1'],1000.0,0.0
HBZOPT,4hbz_c + octdp_c --> 3ophb_c + ppi_c,['TvY486_1109890:mRNA-p1'],1000.0,0.0
I4FE4ST,4.0 h_c + iscu_4fe4s_c --> 4fe4s_c + iscu_c,"['TvY486_0905440:mRNA-p1', 'TvY486_0906330:mRNA-p1']",1000.0,0.0
ILETA,akg_c + ile__L_c --> 3mop_c + glu__L_c,['TvY486_0201360:mRNA-p1'],1000.0,0.0
IMPD,h2o_c + imp_c + nad_c --> h_c + nadh_c + xmp_c,"['TvY486_0501510:mRNA-p1', 'TvY486_0027160:mRNA-p1']",1000.0,0.0
LALDO3,h_c + mthgxl_c + nadph_c --> lald__L_c + nadp_c,['TvY486_0401230:mRNA-p1'],1000.0,0.0
LCADi,h2o_c + lald__L_c + nad_c --> 2.0 h_c + lac__L_c + nadh_c,['TvY486_0602540:mRNA-p1'],1000.0,0.0
LIPATPT,atp_c + lipoate_c --> lipoamp_c + ppi_c,['TvY486_0800090:mRNA-p1'],1000.0,0.0
LYSTRS,atp_c + lys__L_c + trnalys_c --> amp_c + lystrna_c + ppi_c,"['TvY486_0600930:mRNA-p1', 'TvY486_0801050:mRNA-p1']",1000.0,0.0
MACPD,h_c + malACP_c --> acACP_c + co2_c,['TvY486_0200930:mRNA-p1'],1000.0,0.0
MAN1PT2,gdp_c + h_c + man1p_c --> gdpmann_c + pi_c,['TvY486_0801550:mRNA-p1'],1000.0,0.0
ME1,mal__L_c + nad_c --> co2_c + nadh_c + pyr_c,"['TvY486_1105630:mRNA-p1', 'TvY486_1105620:mRNA-p1']",1000.0,0.0
METAT,atp_c + h2o_c + met__L_c --> amet_c + pi_c + ppi_c,"['TvY486_0604240:mRNA-p1', 'TvY486_0604220:mRNA-p1', 'TvY486_0604210:mRNA-p1', 'TvY486_0604250:mRNA-p1']",1000.0,0.0
MOADSUx,iscssh_c + moadamp_c + nadh_c --> amp_c + iscs_c + moadcosh_c + nad_c,"['TvY486_1101600:mRNA-p1', 'TvY486_0906330:mRNA-p1']",1000.0,0.0
MPTSS,atp_c + h_c + moadcoo_c --> moadamp_c + ppi_c,"['TvY486_0503220:mRNA-p1', 'TvY486_1102310:mRNA-p1']",1000.0,0.0
NADK,atp_c + nad_c --> adp_c + h_c + nadp_c,['TvY486_0705140:mRNA-p1'],1000.0,0.0
NDPK3,atp_c + cdp_c --> adp_c + ctp_c,"['TvY486_0905190:mRNA-p1', 'TvY486_1116970:mRNA-p1', 'TvY486_1002540:mRNA-p1', 'TvY486_1002560:mRNA-p1']",1000.0,0.0
NDPK5,atp_c + dgdp_c --> adp_c + dgtp_c,"['TvY486_0905190:mRNA-p1', 'TvY486_1116970:mRNA-p1', 'TvY486_1002540:mRNA-p1', 'TvY486_1002560:mRNA-p1']",1000.0,0.0
NDPK6,atp_c + dudp_c --> adp_c + dutp_c,"['TvY486_0905190:mRNA-p1', 'TvY486_1116970:mRNA-p1', 'TvY486_1002540:mRNA-p1', 'TvY486_1002560:mRNA-p1']",1000.0,0.0
NNAM,h2o_c + ncam_c --> nac_c + nh4_c,['TvY486_0901400:mRNA-p1'],1000.0,0.0
NTP1,atp_c + h2o_c --> adp_c + h_c + pi_c,"['TvY486_0603230:mRNA-p1', 'TvY486_1112290:mRNA-p1', 'TvY486_0030700:mRNA-p1', 'TvY486_1009870:mRNA-p1', 'TvY486_0803210:mRNA-p1', 'TvY486_0700860:mRNA-p1', 'TvY486_1112330:mRNA-p1', 'TvY486_1106740:mRNA-p1', 'TvY486_0025780:mRNA-p1']",1000.0,0.0
NTPP1,dgtp_c + h2o_c --> dgmp_c + h_c + ppi_c,['TvY486_1009870:mRNA-p1'],1000.0,0.0
OCTDPS,frdp_c + 5.0 ipdp_c --> octdp_c + 5.0 ppi_c,['TvY486_0902170:mRNA-p1'],1000.0,0.0
OMMBLHX,2ommbl_c + 0.5 o2_c --> 2omhmbl_c,['TvY486_0705940:mRNA-p1'],1000.0,0.0
PFK,atp_c + f6p_c --> adp_c + fdp_c + h_c,['TvY486_0302630:mRNA-p1'],1000.0,0.0
PNTK,atp_c + pnto__R_c --> 4ppan_c + adp_c + h_c,['TvY486_1107820:mRNA-p1'],1000.0,0.0
PPCDC,4ppcys_c + h_c --> co2_c + pan4p_c,['TvY486_0602420:mRNA-p1'],1000.0,0.0
PPCK,atp_c + oaa_c --> adp_c + co2_c + pep_c,['TvY486_0039220:mRNA-p1'],1000.0,0.0
PUNP1,adn_c + pi_c --> ade_c + r1p_c,['TvY486_0803870:mRNA-p1'],1000.0,0.0
PYK,adp_c + h_c + pep_c --> atp_c + pyr_c,"['TvY486_0200930:mRNA-p1', 'TvY486_1013590:mRNA-p1']",1000.0,0.0
RBK,atp_c + rib__D_c --> adp_c + h_c + r5p_c,"['TvY486_1100890:mRNA-p1', 'TvY486_1100900:mRNA-p1']",1000.0,0.0
RNDR1b,adp_c + grxrd_c --> dadp_c + grxox_c + h2o_c,"['TvY486_0500540:mRNA-p1', 'TvY486_1010310:mRNA-p1']",1000.0,0.0
RNDR2b,gdp_c + grxrd_c --> dgdp_c + grxox_c + h2o_c,"['TvY486_0500540:mRNA-p1', 'TvY486_1010310:mRNA-p1']",1000.0,0.0
RNDR3,cdp_c + trdrd_c --> dcdp_c + h2o_c + trdox_c,"['TvY486_0701000:mRNA-p1', 'TvY486_1108560:mRNA-p1', 'TvY486_0701120:mRNA-p1', 'TvY486_1113660:mRNA-p1']",1000.0,0.0
RNDR3b,cdp_c + grxrd_c --> dcdp_c + grxox_c + h2o_c,"['TvY486_0500540:mRNA-p1', 'TvY486_1010310:mRNA-p1']",1000.0,0.0
RNDR4b,grxrd_c + udp_c --> dudp_c + grxox_c + h2o_c,"['TvY486_0500540:mRNA-p1', 'TvY486_1010310:mRNA-p1']",1000.0,0.0
RPI,r5p_c --> ru5p__D_c,['TvY486_1109480:mRNA-p1'],1000.0,0.0
SELNPS,atp_c + h2o_c + seln_c --> amp_c + pi_c + selnp_c,['TvY486_1009330:mRNA-p1'],1000.0,0.0
SERD_L,ser__L_c --> nh4_c + pyr_c,['TvY486_0705390:mRNA-p1'],1000.0,0.0
SPMS,ametam_c + ptrc_c --> 5mta_c + h_c + spmd_c,['TvY486_0903050:mRNA-p1'],1000.0,0.0
SUCOAS,atp_c + coa_c + succ_c --> adp_c + pi_c + succoa_c,"['TvY486_1007240:mRNA-p1', 'TvY486_0301600:mRNA-p1']",1000.0,0.0
THRD_L,thr__L_c --> 2obut_c + nh4_c,['TvY486_0705390:mRNA-p1'],1000.0,0.0
TPI,dhap_c --> g3p_c,"['TvY486_1105700:mRNA-p1', 'TvY486_0100140:mRNA-p1']",1000.0,0.0
TRDR,h_c + nadph_c + trdox_c --> nadp_c + trdrd_c,"['TvY486_0701000:mRNA-p1', 'TvY486_0701120:mRNA-p1']",1000.0,0.0
VALTRS,atp_c + trnaval_c + val__L_c --> amp_c + ppi_c + valtrna_c,['TvY486_0603870:mRNA-p1'],1000.0,0.0
HACD1i,3hbcoa_c + nad_c --> aacoa_c + h_c + nadh_c,"['TvY486_0806950:mRNA-p1', 'TvY486_1004040:mRNA-p1', 'TvY486_1008390:mRNA-p1', 'TvY486_0201070:mRNA-p1']",1000.0,0.0
HACD4i,3hdcoa_c + nad_c --> 3odcoa_c + h_c + nadh_c,"['TvY486_0806950:mRNA-p1', 'TvY486_1004040:mRNA-p1', 'TvY486_0201070:mRNA-p1']",1000.0,0.0
HACD6i,3htdcoa_c + nad_c --> 3otdcoa_c + h_c + nadh_c,"['TvY486_0806950:mRNA-p1', 'TvY486_1004040:mRNA-p1', 'TvY486_0201070:mRNA-p1']",1000.0,0.0
THZPSN,atp_c + cys__L_c + dxyl5p_c + tyr__L_c --> 4hba_c + 4mpetz_c + ala__L_c + amp_c + co2_c + h2o_c + h_c + ppi_c,"['TvY486_1101600:mRNA-p1', 'TvY486_1102310:mRNA-p1']",1000.0,0.0
2HMHMBQMTm,2hpmhmbq_m + amet_m --> ahcys_m + h_m + q6_m,['TvY486_1009760:mRNA-p1'],1000.0,0.0
3DSPHR,3dsphgn_c + h_c + nadph_c --> nadp_c + sphgn_c,['TvY486_0806010:mRNA-p1'],1000.0,0.0
ACGAMPM,acgam6p_c --> acgam1p_c,['TvY486_0800460:mRNA-p1'],1000.0,0.0
AHCi,ahcys_c + h2o_c --> adn_c + hcys__L_c,['TvY486_1110190:mRNA-p1'],1000.0,0.0
AKGDam,akg_m + h_m + lpam_m --> co2_m + sdhlam_m,"['TvY486_1112710:mRNA-p1', 'TvY486_1117730:mRNA-p1', 'TvY486_1101420:mRNA-p1', 'TvY486_1110760:mRNA-p1']",1000.0,0.0
ALCD19y,glyald_c + h_c + nadph_c --> glyc_c + nadp_c,['TvY486_0007960:mRNA-p1'],1000.0,0.0
ALCD26xim,h_m + id3acald_m + nadh_m --> ind3eth_m + nad_m,['TvY486_0803350:mRNA-p1'],1000.0,0.0
AMETtm,amet_c --> amet_m,['TvY486_1013750:mRNA-p1'],1000.0,0.0
AMID2,h2o_c + pad_c --> nh4_c + pac_c,['TvY486_0804640:mRNA-p1'],1000.0,0.0
ARMT,amet_c + his__L_c --> NPmehis_c + ahcys_c + h_c,['TvY486_0102070:mRNA-p1'],1000.0,0.0
ASPGLU2m,asp__L_m + glu__L_c --> asp__L_c + glu__L_m,['TvY486_0905060:mRNA-p1'],1000.0,0.0
C5STDS,epist_c + h_c + nadph_c + o2_c --> ergtrol_c + 2.0 h2o_c + nadp_c,['TvY486_0003830:mRNA-p1'],1000.0,0.0
CERH124,cer1_24_c + h_c + nadph_c + o2_c --> cer2_24_c + h2o_c + nadp_c,['TvY486_1114490:mRNA-p1'],1000.0,0.0
CITtcm,cit_c + icit_m --> cit_m + icit_c,['TvY486_0905060:mRNA-p1'],1000.0,0.0
CTPtm,cmp_m + ctp_c + 2.0 h_c --> cmp_c + ctp_m + 2.0 h_m,['TvY486_1115140:mRNA-p1'],1000.0,0.0
CYSTS,hcys__L_c + ser__L_c --> cyst__L_c + h2o_c,['TvY486_1108080:mRNA-p1'],1000.0,0.0
DESAT16,h_c + nadph_c + o2_c + pmtcoa_c --> 2.0 h2o_c + hdcoa_c + nadp_c,['TvY486_0805520:mRNA-p1'],1000.0,0.0
D_LACDm,2.0 ficytc_m + lac__D_m --> 2.0 focytc_m + pyr_m,"['TvY486_0804690:mRNA-p1', 'TvY486_0600920:mRNA-p1']",1000.0,0.0
EHGLAT,akg_c + e4hglu_c --> 4h2oglt_c + glu__L_c,['TvY486_1105240:mRNA-p1'],1000.0,0.0
ERGSTt,ergst_e --> ergst_c,['TvY486_1007540:mRNA-p1'],1000.0,0.0
FA180ACPH,h2o_c + ocdcaACP_c --> ACP_c + h_c + ocdca_c,['TvY486_0905610:mRNA-p1'],1000.0,0.0
FACOAL180,atp_c + coa_c + ocdca_c --> amp_c + ppi_c + stcoa_c,['TvY486_1003210:mRNA-p1'],1000.0,0.0
FAS120,dca_c + 3.0 h_c + malcoa_c + 2.0 nadph_c --> co2_c + coa_c + ddca_c + h2o_c + 2.0 nadp_c,"['TvY486_0806620:mRNA-p1', 'TvY486_0905610:mRNA-p1']",1000.0,0.0
FAS141ACPm,ddcaACP_m + 4.0 h_m + malACP_m + 3.0 nadph_m + o2_m --> ACP_m + co2_m + 3.0 h2o_m + 3.0 nadp_m + tdeACP_m,"['TvY486_0200930:mRNA-p1', 'TvY486_0300270:mRNA-p1']",1000.0,0.0
FAS160,3.0 h_c + malcoa_c + 2.0 nadph_c + ttdca_c --> co2_c + coa_c + h2o_c + hdca_c + 2.0 nadp_c,"['TvY486_0905610:mRNA-p1', 'TvY486_0806620:mRNA-p1']",1000.0,0.0
FAS181ACPm,4.0 h_m + malACP_m + 3.0 nadph_m + o2_m + palmACP_m --> ACP_m + co2_m + 3.0 h2o_m + 3.0 nadp_m + octeACP_m,"['TvY486_0200930:mRNA-p1', 'TvY486_0300270:mRNA-p1']",1000.0,0.0
GCC2cm,dhlam_m + nad_m --> h_m + lpam_m + nadh_m,"['TvY486_1112710:mRNA-p1', 'TvY486_1117730:mRNA-p1', 'TvY486_1110320:mRNA-p1', 'TvY486_1110760:mRNA-p1']",1000.0,0.0
GLUDxi,glu__L_c + h2o_c + nad_c --> akg_c + h_c + nadh_c + nh4_c,['TvY486_0902180:mRNA-p1'],1000.0,0.0
GLUt2r,glu__L_e + h_e --> glu__L_c + h_c,['TvY486_0402140:mRNA-p1'],1000.0,0.0
GLYCDy,glyc_c + nadp_c --> dha_c + h_c + nadph_c,['TvY486_1105530:mRNA-p1'],1000.0,0.0
GLYCt,glyc_c --> glyc_e,['TvY486_1013610:mRNA-p1'],1000.0,0.0
GLYCt2,glyc_e + h_e --> glyc_c + h_c,['TvY486_1015320:mRNA-p1'],1000.0,0.0
GTPH1,gtp_c + 2.0 h2o_c --> gmp_c + 2.0 h_c + 2.0 pi_c,['TvY486_0803210:mRNA-p1'],1000.0,0.0
